[00:00] 歡迎大家來到今天的欺騰的介紹的作者
[02:21] 為什麼對申心健康這麼有興趣
[02:24] 今晚媽媽
[02:25] 都來證我全家
[02:26] 我癌症去世
[02:27] 那這個我們之後分段說
[02:30] 那這是我的自力
[02:32] 左邊這個是我在
[02:33] 申心健康產業的自力
[02:35] 那主要就是
[02:37] 我學了申心健康相關
[02:38] 學了二十幾年
[02:39] 從我媽
[02:40] 都癌症那一天開始
[02:41] 我們就一直在學
[02:42] 如何養生跟健康
[02:44] 我媽在我小學三年級的時候
[02:46] 也就是我
[02:47] 這很多年了
[02:48] 二十五年了
[02:49] 那行銷相關
[02:51] 因為我覺得好的東西
[02:53] 要跟大家
[02:54] 能夠出得去
[02:55] 所以我對行銷特別有興趣
[02:57] 其實我這跟我學小時候的
[02:59] 學生心靈有關
[03:01] 因為我學生心靈相關
[03:02] 我覺得我很有興趣
[03:03] 就是心靈相關
[03:05] 那行銷就是跟心靈有關
[03:07] 所以我非常地喜歡行銷方面
[03:11] 那你們也可以看得到
[03:14] 就是我主要在做的就是
[03:17] 其實我沒有在幫人家做什麼
[03:19] 我不會跟很多老師做衝突
[03:21] 就是我自己本身
[03:23] 也不是在幫人家做行銷的
[03:25] 很少
[03:26] 就是都在自己做而已
[03:27] 就是
[03:28] 然後
[03:29] 這是我自己的產業
[03:31] 我自己做
[03:32] 那我就是
[03:33] 本身自己在網上行銷
[03:35] 已經有十幾年的時間
[03:37] 然後也是我們自己的
[03:38] 產業內部的行銷掌師
[03:40] 那我們也有七年上課的經驗
[03:43] 所以大家可以放心
[03:44] 那行銷過的產業
[03:46] 也就是跟我身心健康產業
[03:48] 有相關的東西
[03:49] 還有有人
[03:50] 偶爾請人家找我
[03:52] 幫他處理一下這樣而已
[03:54] OK
[03:56] 那我自己本身在
[03:57] 我講一下我的過程跟背景
[03:59] 那跟大家可能會非常的有關係
[04:01] 在2013年的時候
[04:04] 那一年的粉絲業觸擊率
[04:06] 還非常的高
[04:07] 那我自己本身
[04:09] 在第一年我的粉絲就破萬了
[04:11] 然後
[04:13] 產生很多的客人
[04:15] 但是我在那一年
[04:16] 同時遇到的一件事情
[04:17] 我每個月的廣告費
[04:19] 本來是一萬塊
[04:20] 我自己創業
[04:21] 我本來是一萬塊錢
[04:23] 我覺得還可以
[04:24] 因為我收入大概十萬左右
[04:26] 但是它竟然
[04:28] 收入
[04:29] 竟然那一年的廣告費同時
[04:31] 同樣的錢
[04:32] 同樣的觸擊
[04:33] 我居然花到四萬塊錢
[04:35] 就是一樣的結果
[04:37] 我就突然覺得
[04:38] 粉絲業我真的是不想做
[04:39] 因為假設你把
[04:41] 四分之一的收入
[04:42] 都拿到廣告費上面
[04:44] 我覺得是太多了
[04:45] 所以我就開始
[04:46] 去那一年
[04:47] 我就在學習
[04:48] 怎麼樣透過個人版的社團
[04:50] 完全免費
[04:51] 的方式來經營
[04:52] 同時也是
[04:53] 幫助我的夥伴
[04:54] 因為我的
[04:55] 一起合作的夥伴
[04:56] 花好多錢
[04:57] 所以
[04:58] 我就在思考
[04:59] 怎麼樣
[05:00] 就是可以在簡單一點的方式
[05:02] 那
[05:03] 所以
[05:04] 我到後來我的個人版
[05:05] 就滿五千了
[05:06] 所以
[05:07] 然後我用個人版
[05:08] 就可以創造很多的
[05:09] 留言
[05:10] 包括社團
[05:11] 這樣子
[05:12] 那我覺得
[05:13] 夠用
[05:14] 我就覺得
[05:15] 其實到去年
[05:16] 我都還覺得還滿夠用的
[05:18] 但是
[05:19] 但是呢
[05:20] 這是我運動教室的
[05:22] 這個部分
[05:23] 然後
[05:24] 四個月
[05:25] 我就創造了
[05:26] 蠻多的體驗
[05:27] 就是
[05:28] 大概就是一般人的
[05:29] 二到五倍
[05:30] 然後
[05:31] 我們的團隊
[05:32] 透過
[05:33] 我們都學健康嘛
[05:34] 我就把經過是
[05:35] 防美容師
[05:36] 防這個
[05:37] 我們也要做
[05:38] 以前
[05:39] 我們現在
[05:40] 有做一些培訓
[05:41] 我們會培訓人成為
[05:42] 就是老師的部分
[05:44] 還有創
[05:45] 就是我們培訓人成為
[05:47] 店長
[05:48] 或是成為這個
[05:49] 教練等等
[05:50] 這些各方面的東西
[05:52] 我都有在幫忙做行銷
[05:54] 那後來呢
[05:55] 就是做到後來
[05:56] 就有一個副總
[05:57] 還找我做行銷
[05:58] 其實
[05:59] 我真的滿
[06:00] 然後他就
[06:01] 我就
[06:02] 不只是
[06:03] 我就試試看
[06:04] 我自己產業可以
[06:05] 那別人產業可不可以
[06:06] 然後他又
[06:07] 很乘肯
[06:08] 然後我就想說
[06:09] 那我就幫幫他
[06:10] 然後呢
[06:11] 就是我那時候去年
[06:12] 的產生結果
[06:14] 我去年
[06:15] 在這篇文章
[06:16] 產生了20萬的
[06:17] 觸及
[06:18] 而且我還是
[06:19] 用我的老糟
[06:20] 就是我從來
[06:21] 還是不用管告
[06:22] 一塊錢都不花
[06:23] 然後呢
[06:24] 但是我創造了
[06:25] 20萬的觸及
[06:26] 然後提升了三倍
[06:28] OK
[06:29] 那我覺得好像還不錯
[06:30] 我就覺得自己
[06:31] 好像
[06:32] 好像還可以
[06:33] 就是好像還不錯
[06:35] 但是呢
[06:36] 但是
[06:37] 就是覺得說
[06:39] 好像有一點
[06:40] 平靜在
[06:41] 就是我後來去
[06:43] 因為我後來
[06:44] 就是我自己自修
[06:46] 自己自修的過程中
[06:47] 我就看很多
[06:48] YouTube頻道
[06:49] 我發現大家
[06:50] 成長
[06:51] 我都不是在
[06:52] 兩倍五倍的啦
[06:53] 都是10倍
[06:54] 20倍
[06:55] 但是那個
[06:56] 400倍都有
[06:57] 我就覺得
[06:58] 哇這個
[06:59] 有這麼誇張嗎
[07:00] 我就看了很多人
[07:01] 行銷的文案
[07:02] 因為我對這些
[07:03] 文案都有興趣
[07:04] 我就看了一下
[07:05] 我張開發了人家的文案
[07:07] 那給他看
[07:08] 因為我這個
[07:09] 給他看數據
[07:10] 可以知道說
[07:11] 不用花錢就可以
[07:12] 達到這個結果
[07:13] 所以大家最後一談
[07:14] 各個可以
[07:15] 平一下不花錢
[07:16] 怎麼達到2到5倍
[07:18] 然後呢
[07:19] 這是
[07:20] 這是人數的差
[07:21] 五十二到192
[07:23] 差距沒有很多天
[07:25] 我開始大概
[07:26] 一兩週
[07:27] 就可以達到這個結果
[07:28] 但是呢
[07:29] 我要講的是
[07:30] 但是
[07:31] 因為我會講這段
[07:32] 是因為我遇到
[07:33] 好多
[07:35] 就是
[07:36] 這一次的
[07:37] 報名課程的同學
[07:38] 好多本來就是小編
[07:39] 本來也很厲害
[07:40] 那我會講
[07:41] 這一段是因為
[07:42] 我想要跟大家
[07:43] 就是我自己的感覺
[07:44] 是這樣子的
[07:45] 我自己發現
[07:46] 我自己學習之後
[07:47] 我發現
[07:48] 更新的速度太快了
[07:49] 同樣一個招
[07:50] 同樣一招已經
[07:52] 沒辦法
[07:53] 就是
[07:54] 我現在這一招
[07:55] 可能去年
[07:56] 8月還可以用
[07:57] 我到今年十二月
[07:58] 就沒辦法使用
[07:59] 我就發覺
[08:00] 其實免費其實
[08:01] 因為我知道一件事情
[08:02] FB
[08:03] 現在就在限制
[08:05] 就是限制
[08:07] 像我們這種不用花錢
[08:08] 就可以拿廣告的人
[08:09] 所以
[08:10] 所以我就
[08:11] 發覺這件事情
[08:12] 對我們而言事
[08:14] 會越來越下滑的
[08:15] 像以前
[08:16] 我舉例
[08:17] 以前我慢慢分享到
[08:18] 社團這件事情
[08:19] 可以
[08:20] 發超快
[08:21] 現在
[08:22] 他就給你限制下來
[08:23] 然後
[08:24] 很多東西都被限制了
[08:25] 所以我就知道
[08:26] 這件事情
[08:27] 所以我必須要趕快學新的東西了
[08:29] 而且FB的觸及率下滑
[08:31] 也會讓我思考
[08:32] 其他平台
[08:33] 同時
[08:34] 我今年有個很大的觸發
[08:36] 就是在這一次
[08:38] 疫情的時候
[08:39] 應該說在最近
[08:40] 這件事情
[08:41] 我們一起合作
[08:42] 就是我們一起
[08:43] 經營
[08:44] 健身教室的夥伴
[08:46] 有一個人
[08:47] 他的IG
[08:48] 有13萬份吃
[08:50] 我就覺得說
[08:51] 然後他的客人
[08:52] 多到一個爆
[08:53] 然後最遠從
[08:54] 我們在綜合
[08:55] 他最遠從新出來
[08:57] 我就覺得
[08:58] 這時候
[08:59] 太誇張了
[09:00] 我就覺得
[09:01] 哇
[09:02] 現在真的要成為KLL
[09:03] 是一個必然的趨勢
[09:05] 因為我看到
[09:06] 很多成為網紅的人
[09:07] 現在他就過得很輕鬆
[09:09] 所以
[09:10] 他做事越來越輕鬆
[09:12] 就是他
[09:13] 講句話邊
[09:14] 都會覺得
[09:15] 很容易去接受
[09:17] 可以接著很多的時間
[09:18] 我這個人
[09:19] 非常的覺得
[09:21] 我很喜歡做
[09:22] 一勞勇意的事情
[09:24] 我天鞋做
[09:25] 我喜歡一勞勇意
[09:26] 就是我可以
[09:27] 做一陣子
[09:28] 可以比較輕鬆一點
[09:30] 所以我就對KLL
[09:31] 很有興趣
[09:32] 到處上課
[09:33] 一直上
[09:34] 到處
[09:35] 就是上很多課
[09:36] 然後我就
[09:37] 覺察到一件事情
[09:38] 就是各家
[09:39] 我們每一個家要進場
[09:40] 我就要花好多錢
[09:42] 我可能進場
[09:43] 就要花個
[09:44] 五六萬
[09:45] 甚至
[09:46] 很多錢
[09:48] 然後
[09:49] 雖然之後好像
[09:50] 又不可用
[09:51] 就是又好像
[09:52] 還不夠
[09:53] 的感覺
[09:54] OK
[09:55] 然後呢
[09:56] 我看到現在
[09:57] 疫情的
[09:58] 我覺得
[09:59] 因為我們都需要
[10:02] 把更多好的東西
[10:03] 發出去
[10:04] 其實
[10:05] 這是很多好的
[10:06] 理念可以出去
[10:07] 但可以接受
[10:08] 很多溝通的時間
[10:09] 那
[10:10] 我又看到的
[10:11] 疫情對於
[10:12] 台灣產業的影響
[10:13] 武漢肺炎
[10:14] 這次影響得太大了
[10:15] 這次武漢肺炎
[10:16] 讓我們的
[10:18] 什麼東西
[10:20] 請求助結
[10:22] 共用的內容
[10:23] 什麼意思
[10:25] 太懂
[10:26] 好
[10:27] 這是呢
[10:28] 我們
[10:29] 這次武漢肺炎的
[10:30] 影響
[10:31] 讓我知道一件事情
[10:32] 現在是
[10:33] 這
[10:34] 我坦白跟大家講
[10:35] 這是這
[10:36] 被子
[10:37] 可以說這被子
[10:38] 唯一一次
[10:39] 成為網紅的
[10:40] 機會最輕鬆的
[10:41] 因為我們在
[10:42] 第一波已經錯過了
[10:43] 我相信大家都有這種感覺
[10:45] 我自己很有這種感覺
[10:46] 在第一波
[10:47] 2007-2008FB
[10:48] 我錯過了
[10:49] 然後IG來的那時候
[10:51] 那第一波
[10:52] 我也錯過了
[10:53] 但是這一波
[10:54] 我知道
[10:55] 現在因為這個
[10:56] 流氧增加了
[10:57] 這一波如果在錯過
[10:57] 這被子也沒什麼
[10:58] 太多機會
[10:59] 這是很實際的
[11:00] 所以我就到時候上課
[11:02] 然後我就會想
[11:03] 然後遇到我的同學
[11:04] 這樣
[11:05] 現在上課有我的同學
[11:06] 同學我就會
[11:07] 聊說
[11:08] 我就覺得他們就覺得
[11:09] 好像也花很多錢
[11:10] 那不如乾脆我自己開課好了
[11:12] 我自己來一家找到
[11:13] 我的老師來開
[11:14] 讓大家可以從裡面
[11:15] 去找到你真的覺得
[11:16] 合適的老師在去上
[11:17] 我就是大家
[11:18] 很有幫助
[11:19] 然後對我的顏
[11:20] 我可以學到
[11:21] 各方面的基礎
[11:22] 基礎之後
[11:23] 我在決定
[11:24] 我要不要去上
[11:25] 什麼樣的進階課
[11:26] 什麼樣的
[11:27] 我覺得這是一個
[11:28] 對我自己
[11:29] 好也對大家
[11:30] 好的一個機會點
[11:31] 那現在呢
[11:33] 然後也是希望
[11:34] 可以做公益
[11:35] 然後我希望可以
[11:36] 從裡面認識
[11:37] 很多未來可以
[11:38] 合作的對象
[11:39] 然後呢
[11:40] 也可以出境
[11:41] 大家的生意
[11:42] 因為這個
[11:43] 講起來下次再講
[11:45] 那班規呢
[11:46] 就是
[11:47] 我們的課程內容
[11:49] 不要散播
[11:50] 下載
[11:51] 其實一個很簡單的
[11:53] 概念要跟大家
[11:54] 溝通
[11:55] 如果你是老師
[11:58] 如果你是老師
[12:00] 你很
[12:01] 善良的
[12:02] 幫助了
[12:03] 這些同學
[12:06] 上課可以用很低的
[12:08] 價格上課
[12:09] 結果導致
[12:10] 它的收入下滑
[12:11] 因為網路上有人
[12:12] 幫了YouTuber
[12:13] 請問你的感覺
[12:14] 怎麼樣
[12:15] 這是老師的感覺
[12:17] 第二個呢
[12:18] 就是請問你
[12:19] 還會願意照顧
[12:20] 講課嗎
[12:21] 我想你也不太會了
[12:23] 所以
[12:24] 如果你的那一課
[12:25] 分享
[12:26] 這是你把方
[12:27] YouTuber
[12:28] 上你會照整幾個
[12:29] 我們會照整幾個結果
[12:30] 第一個
[12:31] 老師以後不講課了
[12:32] 所以我們下一堂課
[12:33] 也開不了
[12:34] 我們前面不是
[12:35] 有說嗎
[12:36] 網路行銷是一個
[12:37] 一直不斷
[12:38] 更新的過程
[12:39] 如果我們現在
[12:40] 就斷了我們的
[12:41] 後路
[12:42] 假設我現在下一堂課
[12:43] 你們各位
[12:44] 都可以繼續上下一期
[12:45] 然後呢
[12:48] 我們就斷了
[12:49] 我們後續
[12:50] 那我們之後
[12:51] 我們上課要很貴
[12:54] 老師也不願意講
[12:56] 公益的這個部分
[12:57] 可能就會消失
[12:58] 所以我要必須
[12:59] 很大家很認真
[13:00] 很嚴肅的
[13:03] 跟大家講說
[13:04] 千萬不要
[13:06] 下載跟分享
[13:08] 這次為了保障
[13:09] 我們以後還有課可以學
[13:11] OK
[13:12] 而且也不會
[13:14] 有人就幫你什麼
[13:15] 對象
[13:16] 這些都不會有人做的
[13:18] OK
[13:19] 然後會議的號碼
[13:21] 提供給報名的人
[13:23] 這是
[13:24] 想來講
[13:25] 我跟大家很坦白說
[13:26] 我們辦這個課程
[13:28] 後面的需要的成本
[13:29] 真的很多
[13:30] 人力支援啊
[13:32] 然後這個
[13:33] 各方面的成本
[13:34] 太高了
[13:35] 所以我們真的也需要有人做
[13:36] 好不好
[13:37] 所以不要給別人
[13:38] 那請不要
[13:39] 社團談論
[13:40] 宗教政治執銷微傷
[13:42] 為什麼呢
[13:43] 因為
[13:44] 只要談論這些話題
[13:45] 假設我們今天
[13:46] 談論死了
[13:48] 這些問題
[13:50] 我們就可能有真實
[13:52] 有真實的話
[13:53] 我們就無法合作
[13:54] 所以呢
[13:55] 我們避免在裡面
[13:56] 吵說誰
[13:57] 誰比較好啊
[13:58] 偶像比較好
[13:59] 一關到比較好
[14:00] 中文這個
[14:01] 基督教
[14:02] 然後我們
[14:03] 這些話題
[14:04] 我們就不談論了
[14:05] 討論區域提防
[14:07] 這個開放題目
[14:08] 我們會給公課
[14:10] 第五個就是
[14:11] 我們今天不要在裡面
[14:13] 想一些無關話題
[14:15] 譬如說
[14:17] 你可以講
[14:18] 不要講口罩
[14:19] 什麼那些話題
[14:20] 就不必在講
[14:21] 但是呢
[14:22] 如果你講說
[14:23] 你可以有些日文說
[14:24] 有好的
[14:25] 文章文章
[14:26] 我們是不排斥
[14:27] 相關的
[14:29] ok
[14:30] 那我們今天的講師呢
[14:32] 我已經聽過他的課
[14:34] 我覺得他的課講得非常棒
[14:36] 他的
[14:37] 人生
[14:39] 這個
[14:40] 這個歷程可能
[14:41] 大家會沒有感覺
[14:42] 那我講
[14:43] 他兩個講他的故事
[14:45] 那我當初呢
[14:46] 因為我在準備
[14:47] 我在背課
[14:48] 我是一個
[14:49] 我以前就是
[14:50] 因為我自己在
[14:51] 跟大家
[14:52] 跟我們內部人分享的時候
[14:53] 我就在想
[14:54] 我要背課
[14:55] 然後我應該
[14:56] 聽聽
[14:57] 專業的
[14:58] 我說
[14:59] 然後我就搜尋到他
[15:00] 這是已經是
[15:01] 很久以前的事了
[15:02] 然後我就覺得
[15:03] 這個人帥帥的
[15:04] 然後講的內容
[15:05] 也很有
[15:06] 很有邏輯
[15:07] 不廢話
[15:08] 然後呢
[15:09] 又很實在
[15:11] 然後呢
[15:12] 然後呢
[15:14] 然後呢
[15:15] 你在我採訪他的過程
[15:16] 我來知道
[15:17] 原來他的人生
[15:18] 創業過程
[15:19] 我覺得大家很有幫助
[15:20] 他會跟你講
[15:22] 什麼時階段
[15:23] 你該做什麼
[15:25] 他不會到時候我們
[15:26] 我們以前有很
[15:27] 大的問題
[15:28] 就是我們學了很多
[15:29] 或者是你
[15:30] 不知道現在該幹嘛
[15:31] 他會告訴你
[15:32] 這個階段你該做什麼
[15:34] 以及你該重視的重點
[15:35] 以及你該行銷的
[15:36] 結果是什麼
[15:37] 那他的故事是這樣
[15:39] 他就是原本是
[15:40] 大家有看到
[15:41] 他是那個研究所
[15:42] 然後呢
[15:43] 結果
[15:44] 他就是
[15:45] 他就是
[15:46] 他就是
[15:47] 他就是
[15:48] 他就是
[15:49] 他就是
[15:50] 他就是
[15:51] 他就是
[15:52] 他就是
[15:53] 他就是
[15:54] 他就是
[15:55] 他就是
[15:56] 他就是
[15:57] 他就是
[15:58] 他就是
[15:59] 他就是
[16:00] 他就是
[16:01] 他就是
[16:02] 他就是
[16:03] 他就是
[16:04] 他就是
[16:05] 他就是
[16:06] 他就是
[16:07] 他就是
[16:08] 他就是
[16:09] 他就是
[16:10] 他就是
[16:11] 他就是
[16:12] 他就是
[16:13] 所以等一下
[16:14] 麻煩大家
[16:15] 就算
[16:16] 就是你
[16:17] 認真的聽
[16:18] 準備指根筆
[16:19] 就是你邊聽
[16:20] 然後就被划出去了
[16:22] 就是你可能
[16:23] 就是
[16:24] 輕聽就划手機
[16:25] 回來
[16:26] 那其實很可惜
[16:27] 他每句話都是
[16:28] 很經典
[16:29] 然後手機
[16:30] 呢
[16:31] 盡量開網路
[16:32] 就是
[16:33] OK
[16:34] 那接下來
[16:35] 我們用
[16:36] 最熱烈的掌聲
[16:37] 歡迎
[16:38] 我們的掌聲
[16:40] 莫基良老師
[16:42] 很高興
[16:45] 你就是
[16:46] 今天可以來
[16:47] 參加這個工業獎做
[16:49] 也是
[16:50] 很謝謝這個主辦單位來邀請
[16:52] 因為他
[16:53] 我聽老爸老實講的時候
[16:55] 我會
[16:56] 其實我不知道
[16:57] 原來
[16:58] 他有看過我的影片
[16:59] 然後
[17:00] 等一下
[17:01] 我也會稍微分享一下
[17:02] 我那時候在錄影店的時候
[17:04] 其實也是
[17:06] 他剛有講
[17:08] 我在
[17:10] 創業的時候
[17:11] 把所有的錢都花完
[17:13] 等一下稍微會講一下
[17:14] 這個故事
[17:15] 然後在這邊
[17:16] 大家有辦法
[17:17] 看到
[17:18] 這個
[17:19] 我的投影片
[17:20] 如果有的話
[17:22] 幫我在
[17:23] 這個
[17:24] 聊天區
[17:25] 幫我愛一
[17:26] 好
[17:29] 好
[17:30] 然後今天呢
[17:31] 就是這個
[17:32] 工業場做
[17:33] 第一場
[17:34] 然後所以我在這邊
[17:35] 跟大家分享
[17:36] 就是網路行銷概論
[17:37] 然後這個概論
[17:38] 就是我
[17:39] 當時在學習網路行銷的時候
[17:42] 有很多人
[17:43] 可能會
[17:44] 學習的其中有區塊
[17:46] 然後呢
[17:47] 在這個
[17:49] 課程裡面
[17:50] 我要讓你看到
[17:51] 就是整個網路行銷
[17:52] 一個
[17:53] 全貌這樣
[17:54] 為什麼想要講這個主題
[17:56] 像今天
[17:57] 大家來做這個
[17:58] 先讓學習
[17:59] 大部分都是希望
[18:00] 可以透過學習
[18:01] 來讓自己增加收入
[18:03] 然後有沒有
[18:04] 一些已經開始創業的朋友
[18:06] 他就
[18:07] 因為你
[18:08] 已經是
[18:09] 有在創業的朋友
[18:10] 你可以讓
[18:11] 打在聊天室
[18:12] 讓我知道一下
[18:13] 我也愛你
[18:14] 因為等一下呢
[18:16] 這邊會有一些
[18:17] 我創業的一些
[18:18] 然後
[18:19] 我相信可能
[18:20] 有一些朋友
[18:21] 對
[18:22] 有一些是新手
[18:23] 然後因為你是新手的話
[18:25] 你
[18:26] 當了這個
[18:27] 網路行銷概論
[18:28] 對整個網路行銷來講
[18:30] 就會有一個
[18:31] 全貌
[18:32] 我主意來講
[18:33] 有一些人可能
[18:34] 一開始
[18:35] 有一個網路行銷
[18:36] 就是先學廣告
[18:37] 那你會發現
[18:38] 你廣告你學會之後
[18:40] 你到某一個程度之後
[18:41] 你會卡
[18:42] 卡住
[18:43] 然後那是不是
[18:44] 你
[18:45] 光學會廣告之後
[18:46] 你就會賺到錢
[18:47] 其實不一定
[18:48] 然後呢
[18:49] 有一些
[18:50] 有一些朋友
[18:51] 可能開始
[18:52] 你學網路行銷的時候
[18:54] 是學教網站
[18:55] 像我一開始
[18:56] 我就是
[18:57] 為什麼會學教站
[18:59] 就是當時
[19:00] 我創業的時候
[19:01] 我有
[19:02] 做蛋糕
[19:03] 在網路上賣
[19:04] 然後那你一定要
[19:05] 有一個地方放
[19:06] 所以我當時
[19:07] 就先學教網站
[19:09] 那你只有學會教網站的話
[19:11] 那是不是
[19:12] 就可以賺到錢呢
[19:13] 然後這個
[19:14] 就是我
[19:15] 大家可以先吃烤一下
[19:17] 然後那是不是
[19:18] 有一些
[19:19] 比較快方法
[19:20] 然後所以我在透過
[19:21] 這個網路行銷概論的時候
[19:23] 讓大家知道
[19:24] 這個網路行銷
[19:25] 全貌
[19:26] 然後你也讓你學習呢
[19:27] 你會知道你
[19:28] 現在你每一次學習的
[19:29] 它是在哪一個區塊
[19:31] 然後這些來
[19:33] 了解這些之後
[19:34] 對你的世界
[19:35] 會有哪些幫助這樣
[19:36] 好那我再這邊話
[19:37] 有一些
[19:38] 怎麼寫
[19:40] 好我先做稍微
[19:42] 自我介紹
[19:44] 然後
[19:45] 我
[19:48] 本名叫莫基良
[19:50] 然後在外面大家就叫我老莫
[19:53] 然後我
[19:54] 如果你有訂閱我的YouTube的話
[19:55] 我在上面
[19:56] 我會
[19:57] 叫Maxwell
[19:58] 或是叫老莫這樣
[20:00] 然後我在創業之前呢
[20:02] 我也是一個股票研究員
[20:04] 很研究員
[20:05] 然後我每天都在搞股票這樣
[20:07] 然後我大概在2015年的時候
[20:09] 就覺得
[20:10] 每天出來
[20:11] 都是跟
[20:12] 這些紅行都在聊股票
[20:13] 覺得非常罰位
[20:15] 而且我當時是
[20:16] 在一間大公司
[20:18] 然後所以我出去的時候
[20:20] 因為我們公司
[20:21] 有
[20:23] 所以大部分人
[20:24] 就是看我的名片之後
[20:25] 就會對我還不錯
[20:27] 然後當時我就覺得
[20:28] 這個是因為公司的關係
[20:29] 不是我自己的關係
[20:31] 所以我當時就是很想創業
[20:33] 然後後來我大概是
[20:35] 在2015年的時候創業
[20:37] 然後這個
[20:39] 正確時間其實
[20:40] 我有點忘了
[20:41] 因為時間就過了很快
[20:42] 然後我創業的前兩次呢
[20:44] 其實失敗
[20:45] 第一次呢
[20:46] 我是做什麼工單高這樣
[20:48] 因為當時準備
[20:50] 前大概是100萬
[20:52] 所以就想說直接從網路開始
[20:54] 然後所以我當時
[20:56] 用Facebook打網告
[20:58] 那個時候呢
[21:00] 我剛才就說
[21:02] 我剛才就說
[21:04] 我剛才就說
[21:06] 我剛才就說
[21:08] 我剛才就說
[21:10] 我剛才就說
[21:12] 我剛才就說
[21:14] 我剛才就說
[21:16] 我剛才就說
[21:17] 我剛才就說
[21:19] 我剛才就說
[21:21] 我剛才就說
[21:23] 我剛才就說
[21:25] 我剛才就說
[21:27] 我剛才就說
[21:29] 我剛才就說
[21:31] 我剛才就說
[21:33] 我剛才就說
[21:35] 我剛才就說
[21:37] 我剛才就說
[21:39] 我剛才就說
[21:41] 我剛才就說
[21:43] 我剛才就說
[21:45] 我剛才就說
[21:47] 我剛才就說
[21:49] 我剛才就說
[21:51] 我剛才就說
[21:53] 我剛才就說
[21:55] 我剛才就說
[21:57] 我剛才就說
[21:58] 我剛才就說
[22:00] 我剛才就說
[22:02] 我剛才就說
[22:04] 我剛才就說
[22:06] 我剛才就說
[22:08] 我剛才就說
[22:10] 我剛才就說
[22:12] 我剛才就說
[22:14] 我剛才就說
[22:16] 我剛才就說
[22:18] 我剛才就說
[22:20] 我剛才就說
[22:22] 我剛才就說
[22:24] 我剛才就說
[22:26] 我剛才就說
[22:27] 我剛才就說
[22:29] 我剛才就說
[22:31] 我剛才就說
[22:33] 我剛才就說
[22:35] 我剛才就說
[22:37] 我剛才就說
[22:39] 我剛才就說
[22:41] 我剛才就說
[22:43] 我剛才就說
[22:45] 我剛才就說
[22:47] 我剛才就說
[22:49] 我剛才就說
[22:51] 我剛才就說
[22:53] 我剛才就說
[22:55] 我剛才就說
[22:56] 我剛才就說
[22:58] 我剛才就說
[23:00] 我剛才就說
[23:02] 我剛才就說
[23:04] 我剛才就說
[23:06] 我剛才就說
[23:08] 我剛才就說
[23:10] 我剛才就說
[23:12] 我剛才就說
[23:14] 我剛才就說
[23:16] 我剛才就說
[23:18] 我剛才就說
[23:20] 我剛才就說
[23:22] 我剛才就說
[23:24] 我剛才就說
[23:25] 賣出產品
[23:27] 獲得銀售
[23:29] 如果你現在有做筆記的話
[23:31] 你可以把這一句把它寫下來
[23:33] 創業一開始最重要的是
[23:35] 賣出產品
[23:37] 你的銀售
[23:39] 後來呢
[23:41] 我不做
