[00:00] 你一下
[07:37] 你對個人講就個人定了
[07:39] 你對品牌講就品牌定位
[07:41] 對就是
[07:43] 根據受眾改字就好了
[07:46] 對
[07:48] 就是業生健康產業
[07:50] 所以我們講新字定位
[07:51] 或講靈魂定位都可以
[07:53] 新字是特勞特特別的
[07:56] 它是一個很有新字這兩個字
[07:58] 其實是很有學術性的
[08:00] 那建設建立信任
[08:03] 溝通就是建立信任
[08:05] 然後創造互動
[08:07] 那這個創造互動是針對
[08:09] 你所有的自媒體的最底層
[08:11] 最底層最底層的邏輯
[08:13] 就是創造互動
[08:15] 為什麼
[08:17] 為什麼呢
[08:18] 因為FB跟Meta這家公司
[08:21] 它的功能叫社交
[08:23] 社交的底層就是互動
[08:25] 所以這沒有一個這是多餘的
[08:27] 全部都是精簡到不能再精簡
[08:29] 就是你只要想辦法創造互動
[08:31] 就可以了
[08:33] 然後化德就是客從哪裡來
[08:35] 我們等一下會講
[08:37] 你的流量從哪裡來
[08:39] 簡稱流量
[08:41] 但是流量大家覺得太難懂
[08:43] 就客從哪裡來
[08:45] 傳遞跟系統來說
[08:47] 就是它複製所有正常
[08:49] 複製已經有的商業模式
[08:51] 其實大部分的想法
[08:53] 99%的模式這個世界上都有
[08:55] 就複製它的邏輯
[08:57] 不管是文案系統商業模式
[08:59] 其實都幾乎都可以copy
[09:01] 當然有一點點的創新
[09:03] 但是新手記得複製邏輯就好了
[09:07] 然後這個叫自動流程
[09:09] 你要做成系統一定要自動化
[09:11] 這也是聖性老師最痛苦的事情
[09:13] 我們會有專門教AI的老師
[09:15] 來教大家怎麼用AI
[09:17] OK
[09:19] 簡單變現
[09:21] 簡單變現
[09:23] 凡事都要變成最簡單
[09:25] 因為專業人士最大的困難就是
[09:27] 他們很喜歡把它講成專業
[09:29] 但是人們聽不懂
[09:31] 所以要變成簡單
[09:33] 總共36個字
[09:35] 就是已經是
[09:37] 我學著花了500萬種的精華
[09:39] 種的精華
[09:41] 就是
[09:43] 36個字有沒有感覺簡單多了
[09:45] 而且它是
[09:47] 三個重點跟歡笑話的
[09:49] 就講完了
[09:51] 我們再來往下生路來溝通
[09:53] 這個商業學
[09:55] 這幾個重點
[09:57] 所以你以後
[09:59] 我們做任何的行銷
[10:01] 只要回到這幾個重點
[10:03] 那這幾個重點覺得
[10:05] 哇 可以有結果嗎
[10:07] 我就可以
[10:09] 等一下
[10:11] 你這個說明會多久
[10:13] 有沒有安排中場休息
[10:17] 你看設定是多久
[10:21] 要實際講一遍才知道
[10:25] 我覺得講完這個
[10:27] 字張表可以中場休息一下
[10:29] 休息一個
[10:31] 五分鐘
[10:33] 我在想我的案例要不要
[10:35] 在這個前面講還是在後面講
[10:37] 我在思考
[10:39] 先講案例還是先講這個
[10:41] 因為講案例就會拉超長的
[10:43] 講完這個就用這個去套案例
[10:45] 用這個去套案例就會很快
[10:47] 就是
[10:49] 有這個標準我很好
[10:51] 套案例
[10:53] 我們就講說
[10:55] 我們就不用被很多商業名詞
[10:57] 它其實濃縮起來就是這幾個
[10:59] 九個格子就講完了
[11:01] 那當然這九個格子
[11:03] 當然還有很多的細節
[11:05] 很多人大綱是好記
[11:07] 但是細節呢還是很多細節的
[11:09] 那我們來講
[11:11] 第一個模組就是第一塊
[11:13] 我們就把這塊可能
[11:15] 是個投影片就是專門講第一塊
[11:17] 第一塊呢它又分為三個
[11:19] 它就講的
[11:21] 這個科特特呢你不認識他
[11:23] 沒關係但是行銷
[11:25] 這個他簡直是行銷學之父
[11:27] 他就是
[11:29] 他在講本身就是期望的
[11:31] 盲值跟生命的轉變
[11:33] 那可能這邊就要修一張圖
[11:35] 那就會講一個
[11:37] 一個案例是這樣
[11:39] 大概是這樣
[11:41] 那我裡面可能就會講
[11:43] 兩個三個案例就是比較實際的
[11:45] 呃
[11:47] 我原本給你的
[11:49] 那個之前給的案例
[11:51] 我覺得還蠻不錯的
[11:53] 他在講的是冥想的那個
[11:55] 故意二十億的講冥想講
[11:57] 那個冥想的他這裡面
[11:59] 他又跳了一個
[12:01] 所以就是我就舉這兩個案例
[12:03] 那這兩個案例都是
[12:05] 很好的健康產業案例
[12:07] 然後他會覺得啊離你太遠啊
[12:09] 離我太遠啊那個
[12:11] 不關我是所以就是
[12:13] 我這邊就可能會舉例一個
[12:15] 我自己生比較實際的案例
[12:17] 例如說
[12:19] 呃
[12:21] 這邊有幾個就是
[12:23] 比較比較比較那個的
[12:25] 案例這樣子
[12:27] 對
[12:29] 就是我在瑜伽的
[12:31] 認證班的案例我把文案
[12:33] 秀出來你們就會講他
[12:35] 包括呼吸跟瓶頸
[12:37] 他就從最底層的錢
[12:39] 到是上面他都講到了
[12:41] 然後這個瑜伽認證班呢
[12:43] 他讓我
[12:45] 花了三天然後他開了一個
[12:47] 瑜伽認證班
[12:49] 然後他是他很有賣點啊
[12:51] 他是澳修那邊的瑜伽老師
[12:53] 然後呢
[12:55] 這是我本人發的
[12:57] 然後呢這個是
[12:59] 他的他有交
[13:01] 呃就是除了瑜伽基礎
[13:03] 他有交到最怎麼讓
[13:05] 透過瑜伽自己平靜
[13:07] 真正的瑜伽是什麼真的瑜伽
[13:09] 金裡面的瑜伽是什麼的
[13:11] 所以他就從最底層的你學會運動
[13:13] 會睡眠讓睡眠變好
[13:15] 然後到你深度的叫平靜
[13:17] 這樣子
[13:19] 那
[13:21] 就是我這邊就會舉一兩個我的案例
[13:23] 出來我這邊還在思考的事情是
[13:25] 我要全部講我案例我要
[13:27] 最後再講案例還是在前面講案例
[13:29] 我正在想這件事情
[13:31] 因為感覺有點講不完
[13:35] 然後第二格就是講號
[13:37] 嗯
[13:39] 應該是
[13:41] 嗯今天案例的重點然後
[13:43] 能夠輔助你這些理論
[13:45] 這樣的程度就夠了不用
[13:47] 不用整包講
[13:49] 整包講真的太久
[13:51] 對啊
[13:53] 可能要抓一下
[13:55] 提點一些重點
[13:57] 好那獨特優勢
[13:59] 就是你我
[14:01] 你有你有
[14:03] 原本是講全家是你有我臉
[14:05] 那就只有一全家
[14:07] 全家是大家都知道的
[14:09] 對那就是舉例
[14:11] 就很簡單你這很好背
[14:13] 就你我有你有我有
[14:15] 那第三個就是定位
[14:17] 啊克拉特定位支付呢
[14:19] 剛有行銷的支付像個定位支付
[14:21] 定位就是一個新字中卡一個位置
[14:23] 所以你的角色定位是什麼
[14:25] 你的方案的定位是什麼
[14:27] 然後你顧客的定位是什麼
[14:29] 那
[14:31] 你是誰啊你要
[14:33] 你要賣什麼
[14:35] 然後賣給誰就這樣
[14:37] 我先講這三個定位就可以
[14:39] 定出來了
[14:41] 然後呢
[14:43] 要賣誰
[14:45] 對啊
[14:47] 你是你要幹嘛
[14:49] 你要賣什麼
[14:51] 你要解決什麼問題
[14:53] 然後呢
[14:55] 那這邊我們就可以
[14:57] 理解
[14:59] 那大家在叫那句嗎我是什麼什麼身份
[15:01] 然後我專門幫誰做什麼事情
[15:03] 這樣子
[15:05] 對對對那這個東西
[15:07] 定位這個事情我們就可以講
[15:09] 三堂課
[15:11] 然後我等一下會秀一下我們三堂課在教什麼
[15:13] 這樣子
[15:15] 然後呢這邊會有哈佛大學
[15:17] 講的
[15:19] 就是他有30個價值
[15:21] 所以這30個價值
[15:23] 表呢
[15:25] 你就可以從裡面找到屬於
[15:27] 你可以付出的價值
[15:29] 因為有時候人是選擇體人沒辦法
[15:31] 創造他就用選擇的
[15:33] 這個價值拿去用
[15:35] 看哪一個是你想要提供的價值
[15:37] 嗯
[15:39] 最底層到對上層的價值都有的
[15:41] 嗯這個網路上就有
[15:43] 可以查
[15:45] 所以你光這前面創造價值
[15:47] 我這裡面就講了
[15:49] 定位跟你30個價值你要提供哪一個
[15:51] 你就
[15:53] 找出一個很好的產品
[15:55] 這裡面就要稍微提到一下
[15:57] 那價值呢
[15:59] 通常他會有很多
[16:01] 另外有最
[16:03] 最容易出現的就是你曾經
[16:05] 如果你是要賣諮詢
[16:07] 課程產品的人
[16:09] 最好是你自己很痛苦的
[16:11] 你痛苦你走過來的過程
[16:13] 那個就是最簡單的
[16:15] 你能夠創造的價值
[16:17] 如果你能夠解決你的問題
[16:19] 就可以解決很多人的問題
[16:21] 為什麼我的
[16:23] 為什麼先說你自己的定位在哪裡
[16:25] 因為你的定位
[16:27] 你解決了什麼問題
[16:29] 方案的定位
[16:31] 你原來可以解決對方
[16:33] 然後呢的問題
[16:35] 我就因為我人生遇到的
[16:37] 之前呢
[16:39] 我在
[16:41] 賀寶福的時期
[16:43] 我在想要不要講
[16:45] 我的上限呢常常會發脾氣把所有人趕走
[16:47] 他也不是趕我的
[16:49] 他趕過人的
[16:51] 所以我每次都要重來
[16:53] 所以我的形象很妙的事情就是
[16:55] 我並不是那種
[16:57] 每個月呢我那時候收入20幾萬
[16:59] 我27歲的收入
[17:01] 20幾萬
[17:03] 結果呢我每個月要付14萬
[17:05] 結果我人被他一趕之後剩下5萬了
[17:07] 我每個月要補14萬的動
[17:09] 所以就逼得我要想辦法
[17:11] 要把人補齊
[17:13] 然後我就知道一件事
[17:15] 我就一坐才知道
[17:17] 原來我並不是
[17:19] 我一個人就可以撐住所有店的流量
[17:21] 所以他們就去做後面的服務
[17:23] 所以我就因為這樣逼得我去
[17:25] 做出最好的效果
[17:27] 好那我就之後就會舉例
[17:29] 我就拿一個做舉例
[17:31] 像我這樣的一個
[17:33] 晚上我就可以
[17:35] 放出300多個留言
[17:37] 裡面有200多個人
[17:39] 就是這一篇文呢
[17:41] 光是這一篇文
[17:43] 所有做起來可能不用一個小時
[17:45] 可是就變現了100多萬
[17:47] 對我而言我客人就滿了
[17:49] 而且還排隊排到我
[17:51] 三個月都消化不完
[17:53] 所以就是我要
[17:55] 然後我在臨口店的時候
[17:57] 反正也是成交三四百個
[17:59] 所以我一個人就可以搞定所有的流量
[18:01] 這也是我被逼出來的
[18:03] 就是所有的事情其實都是被逼的
[18:05] 那這個也是
[18:07] 我無意中發現的一個方式
[18:09] 就是無意中發現的
[18:11] 所以我會講這個
[18:13] 這個發現我發現市場上
[18:15] 沒有人在講這麼簡單
[18:17] 但是很好用的方法
[18:19] 因為這個製作其實很簡單
[18:21] 但是它就可以產生
[18:23] 也是最基礎的
[18:25] 第一性原理
[18:27] 就是分享嘛
[18:29] 就像我剛才講的第一個例子
[18:31] 它就是很純粹客戶分享就可以這麼多
[18:33] 當然這裡面都有很多人技巧
[18:35] 這裡面很多技巧
[18:37] 這個東西為什麼大家
[18:39] 市場上沒有人去講
[18:41] 是因為這個東西
[18:43] 它其實就是沒有人去發現
[18:45] 大家可以用這麼小的方式
[18:47] 不用廣告費就可以做了
[18:49] 這是我的獨特優勢
[18:51] 所以我就會講到
[18:53] 從這個地方找到我的獨特優勢
[18:55] 就是我獨特優勢
[18:57] 就是因為我經歷過那個過程
[18:59] 然後我也沒有錢投廣告
[19:01] 就變成我有這個經歷
[19:03] 要在最快的時間把客人塞到滿
[19:05] 好
[19:07] 那第二個
[19:09] 這個在講
[19:11] 第二個模組就是傳播
[19:13] 傳播就是在講
[19:15] 傳播就在講這裡
[19:17] 傳播就在講說
[19:19] 你要建立信任
[19:21] 然後在專業的自證
[19:23] 跟他人到數據
[19:25] 大家你有發現我每個東西
[19:27] 都是有流程的
[19:29] 你先自己有自信
[19:31] 那你的專業性跟你的自己的
[19:33] 肯定很重要
[19:35] 還有他人說你很好也很重要
[19:37] 第三個就是數據
[19:39] 或者是權威的認證
[19:41] 所有的
[19:43] 你去看外面賣任何東西
[19:45] 什麼說好啊
[19:47] 權威嘛
[19:49] 那第二個
[19:51] 如果創造互動
[19:53] 你共鳴或有趣
[19:55] 那你
[19:57] 共鳴這件事情很重要
[19:59] 因為人家喜歡
[20:01] 這就露海空啊
[20:03] 對啦
[20:05] 是旁邊的
[20:07] 但是我
[20:09] 嗯
[20:11] 然後呢
[20:13] 然後就講說
[20:15] 就是講一個案例嘛
[20:17] 就直接
[20:19] 案例我覺得
[20:21] 你昨天看得還比較好
[20:23] 今天看得他就突然都跳掉了
[20:25] 我也不知道怎麼辦
[20:27] 就是我昨天他給我的案例
[20:29] 我覺得都很棒
[20:31] 然後他先給我案例的好爛
[20:33] 然後就不知道為什麼
[20:35] 我原本設定好了他會把他全部跳走
[20:37] 這我就不演
[20:39] 我常被那個Germain
[20:41] 然後交換跟溝通就是
[20:45] 再講
[20:47] 他怎麼整個不見了
[20:49] 共鳴有趣我就會是寄了一些文案
[20:51] 然後呢
[20:53] 像昨天他給我的事
[20:57] 我來搜尋一下
[20:59] 昨天你開另外一個分頁
[21:01] 你不要直接在這邊按
[21:03] 你開另外一個分頁
[21:05] 不然你等一下又回不來
[21:07] 嗯
[21:09] 嗯
[21:11] 對不對
[21:13] 都會不見
[21:15] 好煩
[21:17] 他們煩這東西都會不見
[21:19] 嗯
[21:21] 他昨天
[21:23] 有提到有一個叫做
[21:25] 什麼挖賽心理學吧
[21:27] 我不知道你們聽過
[21:29] 他講parkes
[21:31] 然後呢
[21:33] 有有有
[21:35] 我講一下
[21:37] 嗯
[21:39] 嗯
[21:41] 不去解一個呀
[21:43] 原本的案例
[21:47] 很好的怎麼現在都不見了
[21:49] 對對對這個
[21:51] 就是
[21:53] 好拿確的
[21:55] 你這樣第一個賣這個西方的冥想
[21:57] 我覺得這個超好的啊
[21:59] 就是
[22:01] 我覺得他原本的這個例子很好
[22:03] 我會不知道怎麼辦
[22:05] 就是賣掉四美湖找到平靜
[22:07] 所以他賣得很好
[22:09] 然後
[22:11] 然後這個我覺得他很講
[22:13] 他講那個獨特又是講那個
[22:15] 盧
[22:17] 然後這講全家
[22:19] 就大家都全家還有新聞
[22:21] 這些舉例就好了
[22:23] 這樣我覺得他原本這邊的反應非常好
[22:25] 嗯
[22:27] 然後裡面講的是
[22:29] 定位嘛然後講到信任
[22:31] 嗯
[22:33] 那像長根生計用王永慶在家
[22:35] 大實驗數據
[22:37] 很好啊然後呢
[22:39] 像那個台灣信任學大咖
[22:41] 用挖柴信任學就是想創造互動
[22:43] 裡面講
[22:45] 真誠的互動
[22:47] 這樣子
[22:49] 我覺得他的舉例也蠻好的
[22:51] 這個
[22:53] 我是感覺這個案例要準備多一點
[22:55] 因為像我沒有在聽parkes
[22:57] 我知道這個頻道但是
[22:59] 對他們就沒有連結
[23:01] 那我可能就就是
[23:03] 不知道欸感覺要多
[23:05] 多準備幾個
[23:07] 就是
[23:09] 對啊比如說
[23:11] 像我比較是看書的
[23:13] 你如果舉例
[23:15] 周木茲或者是
[23:17] 高瑞熙或者是那個誰
[23:19] 反正很多啦
[23:21] 出書舉作者的我就會比較有感覺
[23:25] 就是可能要
[23:27] 可能要準備這種案例可能要
[23:29] 被豐富一點
[23:31] 聽的是parkes
[23:33] 像我最近我被一個打到一個貼文
[23:35] 那個貼文報
[23:37] 超級火的我覺得這個貼文
[23:39] 超棒
[23:41] 我就真的被打到了
[23:43] 是不是
[23:45] 對他真的
[23:47] 笑到一個報
[23:49] 我笑了一個晚上
[23:51] 那時候我多準備不同的
[23:53] 載體的
[23:55] 更假
[23:57] 我就寫確有編貼文
[23:59] 昨天有一個那個
[24:01] 有趣的貼文
[24:03] 他在講的就是這個我們可以一起找
[24:05] 說他在講那個
[24:07] 你知道精密
[24:09] 這家公司嗎
[24:11] 不知道
[24:13] 最近你們都沒話說
[24:15] 精密
[24:17] 精密
[24:19] 精密
[24:21] 陶瓷
[24:27] 不是這個
[24:33] 一番的作品是要寫
[24:35] 這個
[24:37] 陶
[24:45] 蘇宇欣
[24:49] 我實在是笑到一個報
[24:51] 我看寫在哪裡
[24:53] 我可以寫在哪裡
[24:55] 不知道
[24:57] 我一被笑到一個
[24:59] 我找一下
[25:01] 我
[25:03] 想買
[25:05] 我的
[25:07] 我的
[25:09] 我的
[25:11] 我的
[25:13] 我的
[25:15] 我的
[25:17] 我的
[25:19] 我的
[25:21] 全球第一網紅
[25:23] 或者是說
[25:25] 就是互動這件事情我就會稍微講一下
[25:27] FB或者YouTube
[25:29] 它的根本
[25:31] 根本就是要
[25:33] 創造互動
[25:35] 我們講它的底層邏輯
[25:37] FB跟YouTube他們要賺高高費
[25:39] 所以他們要消費者花非常多的
[25:41] 時間
[25:43] 在這個平台上
[25:45] 所以你能夠黏住他們
[25:47] 他就意味著他有更多
[25:49] 他
[25:55] 你就是有用的我的推銷員
[25:59] 你讓我的消費者花
[26:07] 很多時間
[26:09] 中斷
[26:13] 有點斷訊
[26:17] 我換一下
[26:19] 金桃
[26:21] 相簿
[26:23] 金桃
[26:25] 好像有300萬的
[26:27] 200萬吧
[26:29] 我來看一下它的流量
[26:31] 這是什麼梗
[26:33] 哦
[26:35] 枕頭
[26:37] 這真的笑
[26:39] 然後
[26:41] 好的
[26:43] 然後
[26:45] 好的
[26:55] 我自己
[26:57] 然後
[27:01] 嗯
[27:03] 就是
[27:05] 真的
[27:07] 然後
[27:09] 嗯
[27:13] 要一堆
[27:25] 好斷訊
[27:27] 也是他有
[27:29] 網路上給眷
[27:31] 然後到實際
[27:33] 然後我自己的話就是我的
[27:43] 我自己
[27:45] 我自己
[27:47] 我自己
[27:49] 我自己
[27:51] 我自己
[27:53] 我自己
[27:55] 我自己
[27:57] 我自己
[27:59] 我自己
[28:01] 我自己
[28:03] 我自己
[28:05] 我自己
[28:07] 我自己
[28:09] 我自己
[28:11] 有聲音
[28:13] 那我繼續
[28:15] 然後呢
[28:17] 這邊可以有些案例
[28:19] 舉例說像有趣互動
[28:21] 只要創造大量流言術
[28:23] 就會報文
[28:25] 所以你做任何貼文只要創造互動
[28:27] 你就會產生報文
[28:29] 但是
[28:31] 產生報文你偶爾
[28:33] 要一點流量但是你還是要回到
[28:35] 那個定位你的定位是什麼
[28:37] 你只要回來一下就是你要在你的定位裡面發揮
[28:39] 你很有趣的東西
[28:41] 你可以在你的定位上發揮
[28:43] 人家才會對你有印象
[28:45] 不然你為什麼他的
[28:47] 元素都是
[28:49] 就是他是個自
[28:51] 彼此交叉運作的
[28:53] 他不是一個元素
[28:55] 像外面教你發文他可能教你
[28:57] 就是有流量你就做泛流量
[28:59] 但是泛流量沒有
[29:01] 定位就不會產生IP
[29:03] 就不會產生人家的信任
[29:05] 所以那個
[29:07] 交一半
[29:09] 所以他是你又說
[29:11] 你是做AI的人
[29:13] 那你就是在AI上面做到這個點
[29:15] 而不是只有做到
[29:17] 你的共鳴有趣跟AI一點關係都沒有
[29:19] 這樣沒辦法建立新人度
[29:21] 那
[29:23] What
[29:25] 就是講天地人亡
[29:27] 那複製邏輯來說
[29:29] 就是
[29:31] 我們用幾個
[29:33] 簡單的例子這邊我不要用
[29:35] 就這樣
[29:37] 我就會舉例一下山唐重點
[29:39] 就是
[29:41] 複製邏輯怎麼弄
[29:43] 複製框架複製模式
[29:45] 複製選題
[29:47] 例如說好的文案
[29:49] 他的選題都是什麼什麼的幾個步驟
[29:51] 跟什麼什麼的幾個方法
[29:53] 然後我幾年賺多少錢的幾個方法
[29:55] 這個叫選題
[29:57] 選題又選題的方法
[29:59] 就按照那個選題的大方向去
[30:01] 然後複製這個框架
[30:03] 什麼例如說
[30:05] 這個事情他本身就是他的文章
[30:07] 結構跟複製他的商業模式
[30:09] 商業模式
[30:11] 也可以用這樣的方式
[30:13] 做
[30:15] 那這個東西
[30:17] 你用在你的銷售
[30:19] 講錯邏輯也一樣銷售
[30:21] 有銷售的框架
[30:23] 選題又選題的標準
[30:25] 複製有複製的一個模式
[30:27] 其實
[30:29] 成功的模式都長一樣
[30:31] 那像有些品牌
[30:33] 網路上是這樣啦
[30:35] 有些品牌像麥當勞
[30:37] 什麼複製框架
[30:39] 廣告學有一個很經典的定義
[30:41] 就是這個東西只要持續有效
[30:43] 就不要改
[30:45] 很多東西持續20年 30年
[30:47] 40年 50年都有效
[30:49] 甚至有些持續的2000年
[30:51] 他都是一樣的
[30:53] 我們現在來講要持續的2000年
[30:55] 很多東西
[30:57] 因為人的腦的結構是一樣的
[30:59] 我這邊就要補一下一個重點
[31:01] 就是我們這邊學的內容
[31:03] 就是你可以用很久
[31:05] 因為人的腦的結構沒變
[31:07] 那外面很多東西
[31:09] 你可能一到三個月就要換
[31:11] 不是說不好那個東西也要學
[31:13] 但是就是我們應該先學那些不用改的東西
[31:15] 再學那些要改的東西
[31:17] 不然行銷到最後都會變焦慮
[31:19] 都很焦慮
[31:21] 因為你要學的東西太多了
[31:23] 所以我們先把底子打好
