[00:00] 你就會講我的獨特的優勢是什麼
[03:23] 哦
[03:24] 然後但是我們還是會講說我們
[03:26] 我就會秀我們的整個大綱
[03:29] 但是我們
[03:30] 呃
[03:31] 我們
[03:32] 希望學就像
[03:34] 呃教育是
[03:36] 就是學這個東西他是要很從最底層開始講
[03:38] 所以我們沒辦法全部講完
[03:40] 因為要講的話
[03:41] 就是要
[03:43] 很完整
[03:44] 所以我就會從
[03:45] 呃
[03:46] 我們跟外面不一樣的就是說
[03:48] 我們就會講跟外面哪裡不一樣嘛
[03:50] 就是
[03:51] 我們主要是
[03:52] 呃會讓你
[03:54] 第一個當然還是前面講的不用廣告費
[03:56] 啊你就可以做到這件事情
[03:58] 如果你的行銷定位做得好
[03:59] 其實你不需要任何廣告費
[04:01] 然後你也不用去
[04:03] 呃
[04:04] 去大量的拍片
[04:05] 啊所以你只要掌握到你的精準的定位
[04:08] 跟你很好的文案跟流量
[04:10] 然後造成大量的推薦這個事情就可以產生了
[04:14] 好但是這個講起來很簡單
[04:15] 但是其實要做的事情
[04:17] 基礎的幾成邏輯很多
[04:19] 啊包括你要從
[04:21] 所有企業要做的事情就是那個
[04:24] 哦我是很大方向的講
[04:27] 就是要從這五個開始講
[04:29] 所有企業真正在做
[04:31] 我們在幫人家做行銷顧問
[04:33] 這個是最基本的一件事情
[04:35] 啊這個也是
[04:36] 教科書上
[04:37] 還以及
[04:39] 企業正經在用的
[04:41] 那外面很少會教這個東西
[04:43] 是因為這個是最底層最底層最底層的
[04:45] 外面只會教對標
[04:46] 啊叫你去抄人家的
[04:48] 但是他們沒有講你最底層
[04:49] 為什麼要這麼做
[04:51] 但他沒有叫最底層
[04:52] 所以我會從最底層開始講
[04:54] 那你就可以遇到任何的情況
[04:56] 任何時間變了之後
[04:58] 你都可以用同樣的邏輯去應對所有的事情
[05:01] 啊
[05:03] 那這個這個適用於你自己創業
[05:06] 你自己做個人品牌都是一樣的東西的
[05:08] 然後我這邊我這邊就會講
[05:10] 這個是什麼意思
[05:11] 例如說界定
[05:13] 公司的人
[05:14] 策略跟規劃
[05:15] 你要確定公司的實名願景價值觀
[05:17] 那人就是定位夢想跟人設
[05:20] 然後呢你的
[05:21] 你要分析內外部環境嘛
[05:22] 找出你內部的優點
[05:24] 跟你的外部的目前的優勢
[05:26] 那
[05:27] swater就不用
[05:28] 我不用跟你講了
[05:29] pst就是
[05:30] 那個政治啊經濟各方面
[05:32] 從內外再找一個優勢
[05:34] 然後找到在區隔的話
[05:37] 找到這個
[05:38] 找到一個獨特的一個可以打的點
[05:40] 嗯
[05:41] 然後呢再確定好你的模式
[05:44] 做出你的商業模式
[05:45] 商業模式就在這行課裡面了
[05:46] 好就是要
[05:47] 所以就是在這邊附近
[05:49] 所以就是說
[05:50] 呃
[05:52] 然后最後呢才會進入到修正跟
[05:55] 我們在談流量啊
[05:57] 這是正確的比較正常的行銷的
[06:00] 就是整個整套流程長這樣外面可能只是
[06:05] 就是跟你講
[06:06] 就是很只跟你講例如說
[06:08] 你講脆的課程
[06:09] 他只會跟你講到這裡
[06:11] 啊他只跟你講
[06:12] 然後變性可能講一點
[06:14] 他他們不會講最底層開始講
[06:16] 那為什麼學最底層重要
[06:18] 就像那個學功夫要學蹲馬不一樣
[06:21] 然後你很多事情
[06:22] 你才有最底層的東西你才能夠變化
[06:26] 因為我們要主要教的東西就是
[06:28] 希望你學的不是一直要變的
[06:31] 例如說你現在學
[06:33] 很多我去我去外上過TTOG的課
[06:37] TTOG的演算法跟youtuber不一樣
[06:39] 然後你學了一個媒體你就要學一個演算法
[06:42] 但是他們底層邏輯是一樣的
[06:43] 就是要你互動而已
[06:45] 嗯他們會議的東西不同
[06:48] 啊但是
[06:49] 然後你要去學別人
[06:50] 哎怎麼下標你就超人家的標
[06:52] 但是你不知道為什麼他要下這個標
[06:54] 所以我們永遠都只能抄襲不能夠創新
[06:57] 所以我們要了解最底層的邏輯跟
[07:00] 創新如何去做正確的創新
[07:02] 這是怎麼樣從
[07:04] 這個從很多的管
[07:05] 這個行銷學理論都可以從裡面找得出來
[07:08] 所以我跟外面比較不同
[07:09] 就是我生理論加加實物啊這樣子
[07:13] 對大概
[07:14] 然後我就會講說這就是
[07:16] 那所有的流量大概有天地人
[07:19] 然後有網路自媒體大眾媒體等等
[07:22] 所以你做做一個企業
[07:24] 其實是你都要懂一點
[07:25] 但是你當然可能只要做一樣
[07:29] 那我們主要要做的這個課程
[07:32] 前面三十個小時呢
[07:34] 他只要做這個
[07:38] 他不用我前面呢
[07:39] 就只會講到這個總共幾堂課
[07:43] 這個課我們可以討論
[07:45] 就是說前面我就把理論基礎講好
[07:47] 第二步就講你怎麼找到你的定位跟實名
[07:50] 就按照那個流程在走的
[07:52] 然後呢
[07:53] 然後你才能找到你自己個人的賣點
[07:55] 然後再做測驗
[07:56] 然後找到把今天全部留了ai
[07:59] 還找到自己的定位
[08:00] 然後第五堂課是流量跟文案
[08:04] 然後就講什麼文案格式啊
[08:07] 啊有什麼文的類別啊
[08:09] 就是嗯
[08:11] 影片跟文的類別我都有
[08:13] 然後就是有七成一十一有七十七種
[08:16] 編有編影片有七十七種
[08:19] 然後
[08:20] 碎的那邊可能有100種文可以超
[08:22] 所以文案跟影片都是可以直接超的
[08:27] 那碎的話你幫我看一下是風那邊的
[08:30] 這樣子他有什麼什麼互互追文啊
[08:33] 然後nbti文啊就是有各種文的
[08:35] 他有他有個分類表
[08:38] 對就是他要做的
[08:39] 然後我自己也有自己的文
[08:41] 我自己有他比較少產品銷售
[08:44] 對他是流量類
[08:46] 他比較少產品銷售
[08:47] 他就是流量的文比較比較多
[08:49] 那我是教產品銷售文案的
[08:50] 所以我就會寫我的產品銷售文案格式
[08:53] 啊那
[08:54] 那我這邊就會舉例
[08:56] 你要就是以前我們要超公式
[08:58] 要超哪一些
[09:00] 然後文章的空式有可能有
[09:02] 可能你超出100就有100
[09:04] 100種文可以
[09:05] 可以貼可能前面
[09:06] 喜好要貼哪一種文
[09:08] 然後後面的貼什麼文啊
[09:10] 然后呢
[09:11] 影片也是有這些影片
[09:12] 所以我們就是
[09:13] 我就給他看這個就是可以超
[09:15] 但是你超的過程中
[09:16] 你要先找到自己的定位
[09:18] 你才能根據
[09:19] 這個格式去做變換
[09:22] 就是說我要超
[09:23] 但是你連自己的定位都不知道你無法超嘛
[09:25] 然後
[09:27] 你超完就是你還是沒有自己的
[09:28] 那個獨特的定位
[09:30] 所以我就定位在家這艘文案
[09:32] 就會產生變現的行為
[09:33] 那
[09:34] 那這個我覺得說就會講那堂課就是
[09:37] 你一般外面聽到的商業模式
[09:39] 但是我會講的比較神一點
[09:41] 然後跟變現
[09:42] 那變現的話就是諮詢課程跟產品吧
[09:44] 啊
[09:45] 然後呢然後怎麼選品跟選人
[09:47] 然後選產品我有選產品跟選公司
[09:49] 我有60個標準
[09:51] 我就是
[09:52] 然後選人我最近也蠻有經驗的
[09:54] 然後
[09:57] 然後做好
[09:57] 然後你做個人業跟粉絲業
[09:59] 然後怎麼樣做跟進
[10:02] 跟工具
[10:02] 這邊就是講工具了啦
[10:04] 這種製作型的工具
[10:06] 然後我們現場就會他來現場的時候
[10:08] 他就他來現場可以去來量測
[10:12] 或者是現場的課程
[10:13] 然後加畢業典禮他大概就這樣
[10:15] 然後現場我就會把我要置入的產品
[10:18] 全部在最後一堂課處理掉
[10:20] 嗯好
[10:21] 所以現在呢我們就是在講說
[10:24] 像你可以看脆的課程的時候
[10:26] 他就是大概在這個時這個地方
[10:31] 那我們兩個可以討論啊
[10:32] 可能我要把這五堂課
[10:34] 這幾堂課往前拉
[10:35] 把那個個人定位放後面
[10:37] 這個我們都可以討論
[10:38] 因為可能以新人來說
[10:39] 他這麼快就開始寫製作
[10:41] 這樣可能對他們也延伸度還不夠
[10:44] 我也在思考這件事情
[10:46] 這樣
[10:47] 但是如果按照教育的角度
[10:49] 應該是從第一關到最後一關啊
[10:51] 不應該就是跳關
[10:52] 你要就一直嗎
[10:54] 按照教育的角度應該是
[10:55] 你按照正正當當的
[10:58] 從這個最底層的開始講
[11:00] 就是
[11:01] 因為就是從那個
[11:04] 這個應該才是最
[11:07] 一支支基礎的吧
[11:09] 就是你的步驟要清清楚楚嘛
[11:11] 比如說你的公司策略跟規劃
[11:13] 你這個人都找不到定位
[11:14] 講什麼策略跟規劃
[11:15] 所以就是你這個人的定位
[11:16] 假設你不是做公司
[11:18] 一個人的定位你
[11:20] 你才能產出策略跟規劃
[11:22] 這樣你的使命是什麼
[11:24] 願景是什麼
[11:25] 啊你這個人要幹嘛
[11:26] 你的人生來幹嘛
[11:27] 或是你這輩子想要做什麼
[11:29] 先搞清楚嘛
[11:30] 你才能去分析做實話的分析嘛
[11:32] 不知道什麼都搞不清楚怎麼做分析
[11:34] 這樣
[11:35] 所以所以這是我按照
[11:37] 我按照教育來說我應該這麼做
[11:39] 但是我
[11:40] 這是我又怕人會覺得
[11:43] 怎麼樣
[11:43] 所以我剛才在想
[11:45] 我剛才在思考怎麼安排
[11:47] 但是我也可以
[11:48] 嗯
[11:49] 不會太無聊很好玩
[11:50] 我就是好玩
[11:51] 是前面的
[11:52] 前面的課比較好玩
[11:53] 後面的課比較無聊
[11:55] 嗯嗯
[11:56] 前面的課很好玩
[11:57] 為什麼很好玩就是
[11:58] 我這邊講哦
[11:59] 我是我的國小到我的大學
[12:01] 我來就是每一個人都要找到
[12:03] 你自己的獨特定位
[12:04] 但是大家都找不到
[12:05] 或者是你你又用科學的方式找
[12:08] 那我就帶我們怎麼科學的方式找
[12:11] 那就是你之前我們做這個
[12:14] 就是從這個
[12:16] 例如說我們剛才就想
[12:17] 那我們外面有什麼一期蓋啊
[12:19] 你這邊就幫我把一期蓋寫上來
[12:21] 就是你可以幫我做一份投影片
[12:23] 就是這個的眼神版
[12:25] 你那個人類圖你去做
[12:26] 我不會你去做好不好
[12:27] 這個東西這個就是
[12:29] 這個就是這個的眼神版是
[12:31] 這這一頁要變成一份投影片嗎
[12:34] 每一個東西都解釋的
[12:36] 都介紹的意思
[12:38] 對每一個東西都要基礎介紹
[12:41] 自傳師我自己啊基礎介紹其他的
[12:45] 其他的對啊
[12:47] 一切也有一切的介紹啊
[12:48] 然後然後
[12:50] 哦那個
[12:52] 高醫師的
[12:53] 然後就是一份陳老師的
[12:55] 就是一資訊
[12:57] 對對對
[12:58] 這個就是一份投影片
[13:00] 這一個這就是一堂課的
[13:01] 然後找到你的定位專屬於你的
[13:04] 這樣子
[13:05] 那我一定會先想那
[13:06] 那你就要幫我思考一下
[13:08] 我的自傳怎麼寫是符合
[13:10] 工程師的想法
[13:12] 像我就是照像流水帳的寫
[13:14] 因為工程師要看得懂啊
[13:16] german要看得懂
[13:17] 所以我是寫的是比較流水帳的寫法
[13:19] 就不要有任何情緒感情就是
[13:21] 就是純粹講文字
[13:22] 純粹講事實
[13:24] 誰就是純粹講
[13:25] 那我用這個就可以找得到你的
[13:27] 你就可以去搜尋到
[13:29] instagram到大可能有什麼樣的天賦才華
[13:31] 是別人沒有的
[13:33] 以客觀的ai的角度去看你
[13:36] 這樣
[13:37] 啊
[13:38] 然後呢
[13:38] 你在蒐集
[13:40] 例如說啊
[13:43] 那是ai的角度
[13:44] 可是我們的同學看到你的那個故事
[13:47] 他覺得哇
[13:47] 你還有什麼優點
[13:48] 他就是他人的建議角度
[13:50] 他人又加進來了
[13:52] 啊他人的話就是
[13:54] 就是他人認為的優點
[13:56] 好今天
[13:58] 你不會分為自己跟他人嘛
[14:00] 然後就可以
[14:01] 然後一去蓋又有四個嘛
[14:02] 那四個又是什麼
[14:03] 這樣子就是可以把他送多重的
[14:06] 多重的交集變成一個
[14:07] 這個就是一份了
[14:08] 這樣
[14:10] 那脆的課程呢
[14:12] 他就會在這裡
[14:13] 他就在流量跟文案的其中
[14:15] 可能半彈課是他的
[14:16] 或者是我看他的內容
[14:18] 如果整理出來很有料
[14:20] 真的很多
[14:21] 或是他的文案可以整理出
[14:23] 假設七十篇我就整理那七十篇
[14:25] 給大家看這樣子
[14:26] 就是文案格式嘛
[14:27] 對我們來超超那個格式嘛
[14:30] 這樣
[14:31] 對
[14:32] 然後我就這是一個
[14:35] 我記得他就有在講這個
[14:36] 我記得他的內容沒有沒有太太
[14:38] 太太其他的地方
[14:41] 然後
[14:42] 然後就是
[14:43] 脆的課程
[14:44] 為什麼我會請你去看
[14:45] 脆的的課程
[14:46] 就是因為他把他關在第五堂課
[14:48] 所以你就不會問我這是不是說明會
[14:50] 但是我給陳老師秀的時候還是要看
[14:53] 我還是要給他看我做的同一篇長什麼樣吧
[14:56] 不然直接看說明會吧
[14:58] 對不對
[15:00] 稍微要給人家看一下吧
[15:01] 不是
[15:03] 不是脆的課程是一份
[15:05] 然後說明會是一份還是什麼
[15:07] 那是兩份
[15:07] 對對對
[15:08] 那是不同份
[15:09] 哦
[15:10] 頂多就是可能有一個面向可以疲勞
[15:13] 例如說這兩課最讓人家賣的重點是什麼
[15:16] 這是所有的文案格式好了
[15:18] 或者是
[15:20] 呃我就講脆的流量呢
[15:22] 就像他每次四峰都會講說
[15:24] 目前脆台灣的是紅利齊
[15:26] 然後他是全世界目前排名第一名的使用量
[15:29] 解例子這個這個就常常會講嗎
[15:32] 那那我就會用這個來做開場
[15:34] 開場完之後就說你要去政客來訂得到
[15:37] 這樣
[15:38] 對
[15:39] 大概是這樣
[15:40] 當然我也會不會全部用他的
[15:42] 因為他的內容
[15:45] 比較沒有商業的部分這樣子
[15:49] 他沒有最底層的底層邏輯是沒有的
[15:51] 他比較
[15:52] 感性他是傳傳遞正面的影響力
[15:55] 對他的目的
[15:57] 但是他的
[15:58] 他沒有學那個基礎的行銷邏輯
[16:01] 所以所以我用不同的角度去拆解
[16:04] 這樣
[16:05] 我們都會講
[16:07] 任何文章跟銷售都利他
[16:09] 但是嗯
[16:11] 我會去拆解啦
[16:12] 所以你可以給我走我在拆
[16:13] 我會再拿去拆解
[16:17] 然後這個這個課你不用寫
[16:19] 這個課是我寫的
[16:20] 然後這個課這個課
[16:21] 其實網路上就可以寫了
[16:23] 網路上就是商業模式的那個
[16:25] 我還是會改啊
[16:26] 我要再大改一下
[16:28] 然後
[16:29] 然後就是
[16:33] 這個是我的課
[16:33] 這粉絲粉絲業的
[16:35] 粉絲業的經營那個專門有ppt的
[16:37] 然後如何做好轉換
[16:41] 跟對這個工具的課
[16:43] 可能就是跟你比較有關
[16:45] 但這個不急著做啦
[16:46] 因為沈老師也不會想要看這個
[16:48] 所以
[16:49] 所以我就是跟你講我大概在做什麼
[16:52] 這樣子像那個艾莫老師的課
[16:55] 他就會是
[16:56] 我拿到之後把它放在
[16:58] 可能說明會講一點
[16:59] 可能這邊講一點
[17:00] 我把它拆過來這邊拼一點拼一點進去
[17:03] 嗯
[17:04] 因為我要跟你講我整個新的圖來講什麼
[17:06] 例如說他講到認知好了
[17:08] 他講到注意力
[17:11] 啊講到
[17:13] 新智啊講到這個
[17:16] 決策行為好
[17:17] 那我就會
[17:18] 用這個他的東西來溝通這樣子
[17:22] 這我會把它加進來
[17:23] 這樣
[17:24] 嗯
[17:25] 然後他的東西我會
[17:27] 我會拿來做到企劃書上面
[17:29] 這樣子
[17:30] 嗯
[17:31] 這個是另外一件事的就是
[17:33] 我想要做的生心靈平台呢
[17:35] 跟實體電
[17:36] 可能平台一進來
[17:38] 他就有一個地方
[17:40] 就是
[17:41] google在
[17:42] 找搜尋的認知嘛
[17:45] 也記得他講了一段內容嗎
[17:47] 他講的有一段內容是那個
[17:51] 等一下哦
[17:52] 講的有一段
[17:54] 他講的有一段我覺得講他講的真的非常好
[17:58] 他講的有一段就是
[17:59] 所有巨頭都在爭奪什麼
[18:01] 然後他在講凱莉爭奪什麼
[18:03] 不知道你有沒有聽哪為什麼我希望去聽
[18:05] 因為你看文字跟聽是兩件事情
[18:08] 他在爭奪路口
[18:09] 那我要爭奪的就是
[18:11] 生心靈一戰是服務的入口
[18:13] 所以一進來的話人們
[18:15] 以後一進來就會有
[18:16] 我會想要跟老師講的就是
[18:18] 一進來的這個入口
[18:19] 他就有很多生心靈的免可以資訊
[18:21] 而且是
[18:22] 呃
[18:24] 比較正派的
[18:25] 就是我們就是確定是真的
[18:27] 所以以後他們都可以一起來看裡面的資訊
[18:29] 我覺得裡面養人啊
[18:31] 我想要做一個就是完全正確
[18:33] 因為這邊很多訊息都是錯誤的嘛
[18:34] 我們就做一個比較正確的資訊
[18:37] 那他資訊完之後
[18:39] 那個影片他教完之後就要導入他
[18:41] 哎他要去看他的蕾翅或是看他的
[18:44] 呃
[18:44] 這上輩子幹嘛
[18:46] 或是他在找他的功課嘛
[18:48] 然後他們只要傳一張影片進來
[18:51] 然後現象就有一個服務員
[18:52] 例如說收一個一千塊
[18:54] 當然就把他做個報告
[18:56] 就有人專門做這件事情就好了
[19:00] 我這個就獲利很大的
[19:03] 我就講這件事情
[19:04] 然後呢
[19:05] 然後因為這個每一個觀念都會引導到銷售
[19:08] 例如說哎這個我們講到哎
[19:10] 生心靈一戰是服務我們主要就是
[19:13] 我們診所就處理人家生根心根靈
[19:16] 那就有點像單單的生心靈的連結
[19:18] 但是我們會講到哎生要什麼處理
[19:21] 啊比如說清條補好了
[19:22] 那我們要怎麼清
[19:24] 我們可能透過排汗的方式
[19:26] 透過啊透過我們自己有什麼方式來清
[19:29] 跟調跟補
[19:29] 我就會介紹葉醫師的產品跟
[19:31] 找他們來看診
[19:33] 那心需要找這張師靈需要怎樣這樣
[19:35] 然後我們提供了什麼方法
[19:37] 所以我們就變現了
[19:38] 我們的認知已經在這了
[19:40] 然後我用這邊變現
[19:42] 嗯
[19:43] 這很屌哎這樣目前好像沒有人做這個哎
[19:47] 這個比烏扑伊還屌
[19:49] 這樣就是所有的觀念我做在上面
[19:51] 但是變現我就從裡面的認知來做變現
[19:54] 嗯
[19:56] 這個就是我這個就是我其中想跟我網路上做的
[20:00] 然後
[20:01] 對啊因為我控制認知入口就可以控制流量
[20:04] 我就控制財富啊他講的沒錯啊
[20:06] 這個就可以衍生啊
[20:08] 對
[20:09] 我就用這個來衍生
[20:10] 所以我就可以網路上就真的做到一件事
[20:14] 就是
[20:15] 每一個我就
[20:16] 我為什麼要你去看那個
[20:18] 那個那個那個愛莫的
[20:20] 愛莫他就自己做了一個網站
[20:22] 然後自己控制認知入口
[20:24] 嗯
[20:25] 這個超屌哎
[20:27] 你因為你因為你可能沒有看到
[20:29] 我想給你看影片跟貼同影片看
[20:31] 他就超這個這個布局
[20:34] 超頂級布局
[20:35] 然後他通過認知之後才會進入流量
[20:38] 才會進入財富
[20:40] 那我也是做這件事啊
[20:41] 這樣我覺得這個這個完全正確
[20:44] 因為你架構在youtube上面是危險的
[20:47] 因為你會跳到別的地方去
[20:48] 你的認知會破碎
[20:50] 我這邊是有系統的給你教育哦
[20:52] 你可以看他那個愛莫老師給的系統啊
[20:55] 很屌的我為什麼叫你你趕快去參加
[20:58] 是免費的
[20:59] 然後
[21:00] 然後那個
[21:04] 然後你看哦就是那個
[21:06] 呃
[21:08] 你看他的每一個課程都是從第一堂課到
[21:12] 第24堂
[21:14] 對
[21:15] 你我不知道你有沒有辦的啦
[21:17] 你趕快辦一辦
[21:18] 然後
[21:19] 然後他的每一個東西都是公第一堂課
[21:21] 有系統化的給予
[21:23] 這很重要
[21:24] 我覺得系統是重要的
[21:26] 他是給系統化的
[21:27] 因為外面知識都很破碎
[21:28] 他這邊是全部給很系統的東西
[21:31] 好
[21:31] 所以我覺得他的東西這樣是好事的
[21:34] 然後
[21:36] 要給我王子
[21:38] 我再給你
[21:39] 然後那個
[21:41] 然後像這個這個他的決策模型
[21:43] 我覺得都非常好
[21:45] 他把他用這個方式來講說明會
[21:47] 我覺得也非常好
[21:48] 所以我有剛剛
[21:49] 我也在參考你把它做出來之後
[21:51] 我要把他做成這樣
[21:53] 嗯
[21:54] 他在講真正的現在變現
[21:56] 就是你要進入認知
[21:57] 問題是你要怎麼進入認知呢
[21:59] 為什麼進入認知你怎麼進入
[22:01] ai 順利呢
[22:02] 他在講內容
[22:03] 你可以去聽內容
[22:03] 他都在講ai
[22:04] 跟你的關係
[22:06] 嗯這很屌耶
[22:07] 因為一般ai
[22:08] 他就這件事情他可以做
[22:10] 他可以講得出來是蠻厲害的
[22:12] 所以他就在講
[22:16] 怎麼樣提高你的認知來用ai
[22:19] 哦應該說任何地方都在講了
[22:21] 所以他提供了高度的認知
[22:24] 這樣
[22:25] 那
[22:26] 那那我們就會去上他的課啊
[22:29] 那上他的課就被引入到凱莉拉
[22:31] 那變凱莉就
[22:32] 這是他的
[22:33] 那我們現在只是把這個模式
[22:35] 換成我們自己的作業
[22:38] 嗯
[22:39] 這很屌耶
[22:40] 因為你可以控制
[22:41] 我之前不是做社群媒體
[22:42] 然後也不用做了
[22:43] 就是你就做你就控制
[22:46] 因為那個成本太高
[22:47] 我就做一個網頁
[22:48] 然後上面是正確的認知就好了
[22:50] 嗯
[22:52] 對啊
[22:52] 然後APP就可以了
[22:53] 就不用到這麼麻煩
[22:56] 好就直舉力給你聽啦
[22:58] 然後那個
[22:59] 然後像翠德克成就可能
[23:02] 做出來就把他貼到這裡
[23:03] 那你
[23:04] 我知道你現在很
[23:06] 你可能現在很忙
[23:08] 那就
[23:09] 那你就是做成同一片
[23:10] 然後像個樣子給
[23:12] 那個陳老師看就可以了
[23:14] 至少我拿下那個
[23:15] 剛剛那個艾摩老師那種可以嗎
[23:18] 我覺得不太行
[23:20] 不太行
[23:21] 我覺得這個比較有誠意吧
[23:24] 這個誠意多太多了啦
[23:26] 太多了啦
[23:28] 怎麼啦
[23:30] 這比較有誠意
[23:31] 你說要有這種圖片的哦
[23:33] 要這種圖解的哦
[23:34] 不然就是你丟文字進去
[23:35] 他就應該出了來
[23:37] 我就再叫AI做啊
[23:38] 因為剛剛那個
[23:39] 我Line有傳嘛
[23:41] 剛剛那一頁他是畫的出來的
[23:43] 對
[23:44] 你可以看你看我的Line
[23:47] 我先掛掉
[23:47] 他畫的出來
[23:48] 不用不用不用你直接看我的Line
[23:50] 我有傳啊
[23:53] 你看最最底下有沒有
[23:55] 他畫的出來啊
[23:56] 所以這些
[23:58] 一張圖我都叫AI畫
[24:00] 只有第一張可能比較複雜
[24:01] 他可能沒辦法那麼完整
[24:03] 對但是其他的應該是都可以
[24:06] 然後再把它
[24:07] 就是再並進去
[24:08] 同一份就好啦
[24:09] 對對對我就是
[24:11] 我只是要然後這張看能不能再多加一個就是
[24:14] 真凌光的入口
[24:16] 再加一個
[24:17] 這個就是我企劃是不是要做的事情
[24:20] 哦可以啊
[24:21] 就是我只是把艾摩的東西切碎了
[24:23] 然後哎我覺得這段超級屌哎
[24:26] 就是這個是這個
[24:28] 我自己覺得很屌啦
[24:29] 我覺得這個就是這個等級已經是
[24:32] 是最高尾的等級了
[24:35] 嗯我覺得這個等級很高
[24:38] 嗯可以想像如果生心靈一戰是服務的
[24:41] 所有的網頁的入口也都在這裡
[24:43] 就是不會去看那雜技雜法
[24:45] 你就看這裡的系統畫資訊
[24:47] 然後我們只要養
[24:49] 我們只要內容不斷更新就好了
[24:51] 嗯
[24:53] 是啊我們不是把東西架在別人啊
[24:56] 而是我們自己有一個
[24:57] 然後來的話就從裡面教育去做轉換
[25:01] 嗯然後每一個客人都只要去做分享這個動作
[25:04] 我們就是把專屬連結發給他就好了
[25:06] 嗯
[25:08] 馬上叫ai做
[25:09] 你說增加一個真凌光
[25:10] 然後他要他要爭奪什麼入口
[25:12] 生心靈的入口
[25:13] 生心靈一戰是服務的入口
[25:15] 生心靈的入口啊
[25:16] 或是生心靈
[25:18] 生心靈一戰是
[25:19] 呃生心靈
[25:20] 你要什麼認知的入口
[25:23] 資訊入口生心靈的認知入口啊
[25:25] 生心靈認知入口
[25:28] 對啊還是生心靈
[25:30] 療癒入口都可以
[25:32] 療癒不能寫嘛
[25:33] 這樣哦
[25:34] 對啊
[25:35] 我我理解但不能寫啊
[25:37] 好呦
[25:40] 生心靈教育
[25:42] 入口也可以啦我想一下生心靈
[25:45] 啊然後
[25:46] 你就想這個入口
[25:47] 還是這個這個好改啦生心靈一戰是入口
[25:51] 因為現在沒有這個入口啊
[25:52] 全世界沒有專屬於這個的入口
[25:55] 那顏色就定一個吧
[25:58] 橘色
[26:00] 紅色可以白色
[26:03] 因為這畫面很黑剛好一個白
[26:06] 啊他那個他那個風格是可以改的啦
