[00:00] 我們即將開始先跟大家講一些我們今天的
[20:03] 沒辦法
[20:04] 他的
[20:05] 所以
[20:06] 一個新的東西出來
[20:07] 非常地講
[20:08] 第二個你要去判斷
[20:09] 這東西有沒有機會
[20:10] 其實你要去看整個
[20:11] 歷史的賣弱
[20:12] 我可以跟大家解釋這件事情
[20:14] 但個人觀點
[20:15] 沒有對錯
[20:16] 就是
[20:17] 台灣人
[20:18] 非常樂愛
[20:19] 這個文字媒體
[20:21] 你臉書到
[20:22] 現在還是
[20:23] 最有前鑽的平台
[20:25] 就是上面
[20:26] 所有企業品牌
[20:27] 都會去用臉書
[20:28] 然後上面
[20:29] 非常
[20:30] 非常多的
[20:31] 賺錢的
[20:32] 機會
[20:33] 只要你擅長臉書的話
[20:34] 或是你找起
[20:35] 有卡卡會指的話
[20:36] 其實你
[20:37] 會在臉書上面
[20:38] 賺
[20:39] 非常多的錢
[20:40] 那時候
[20:41] 其實
[20:42] 我不想賺錢
[20:43] 所以
[20:44] 沒有賺到很多
[20:45] 但是現在
[20:46] 想賺錢
[20:47] 所以
[20:48] 我們就是再用這工具
[20:49] 然後
[20:50] 那你會不會說
[20:51] 那怎麼判斷
[20:52] 稅會起來
[20:53] 其實你看國外的
[20:54] 得到了
[20:55] 推特已經起來
[20:56] 現在國外
[20:57] 他們要進一支
[20:58] 媒體
[20:59] 用社群媒體
[21:00] 變現
[21:01] 他們
[21:02] 當然也會
[21:03] 去用臉書
[21:04] 臉書還是
[21:05] 標的選擇
[21:06] 美國最值得到選擇
[21:07] 是推特
[21:08] 推特現在
[21:09] 叫
[21:10] 一個死
[21:11] 被移動
[21:12] 馬斯克買下來
[21:13] 那基本上
[21:14] 吹跟
[21:15] 推特
[21:16] 兩個
[21:17] 基本上
[21:18] 模式是
[21:19] 一模一樣的
[21:20] 然後
[21:21] 吹現在
[21:22] 我觀察
[21:23] 他在全球都
[21:24] 算是成長
[21:25] 還蠻快的
[21:26] 但是台灣
[21:27] 是
[21:28] 最誇張的
[21:29] 一個立法
[21:30] 台灣
[21:31] 只有2000萬人
[21:32] 然後
[21:33] 台灣
[21:34] 馬克
[21:35] 主客
[21:36] 博都進來了
[21:37] 想說
[21:38] 台灣
[21:39] 這個小道
[21:40] 到底在搞什麼
[21:41] 毀動事業
[21:42] 因為台灣人
[21:43] 真的很
[21:44] 很帶來
[21:45] 這種文字媒體
[21:46] 所以你看
[21:47] 今年其實
[21:48] 已經還沒有
[21:49] 還沒有上一月的話
[21:50] 台灣
[21:51] 就成長那麼快
[21:52] 那你想
[21:53] 明年
[21:54] 後年
[21:55] 所以
[21:56] 我們當然也不是
[21:57] 我們要馬上
[21:58] 在那邊賺錢
[21:59] 或是要
[22:00] 有量
[22:01] 要增長
[22:02] 所以
[22:03] 我們覺得
[22:04] 相對
[22:05] 影片沒有那麼
[22:06] 習慣
[22:07] 因為台灣人
[22:08] 比較沒有想
[22:09] 所以
[22:10] 台灣人喜歡看
[22:11] 會看影片
[22:12] 會看 YouTube
[22:13] 有看抖音
[22:14] 但是你要叫大家都去拍
[22:15] 相對來說
[22:16] 比較不會
[22:17] 所以我覺得
