[00:00] 你是深信念老師
[04:59] 然後下面的這個符號
[05:01] 嗯
[05:02] 英寫英文基本上不推薦
[05:04] 但是看不但是他因為他用的符號
[05:06] 都蠻漂亮的
[05:06] 所以所以基本上就覺得很有質感
[05:09] 對就ok
[05:10] 就這樣子ok對
[05:14] 這個就是很標準
[05:16] 這個圖片還ok
[05:18] 而且感覺有療癒感
[05:19] 然後上面名稱也有改
[05:22] 名稱也有加入他的專業
[05:23] 他可能是照顧者生活主方錢
[05:25] 看不太懂可能常造答
[05:27] 然後催眠一般150家
[05:29] 明確有數字
[05:31] 然後這裡就是護理師創業的東西
[05:33] 他也講講清楚他的主題
[05:34] 然後這邊有個可以點的東西
[05:37] 也很好
[05:39] 這個也很明確
[05:40] 你看那邊名稱ok
[05:42] 圖片符合符合主題
[05:45] 然後很簡潔退休主婦
[05:47] 然後很明確講20年
[05:48] 裝過六個自宅
[05:50] 他做過的事情
[05:52] 然後八天完工
[05:54] 他上次他都有來留言
[05:56] 怎麼樣我忘記了
[05:57] 反正有些人有來留言
[05:58] 我就給他一些
[05:59] 聽譽有些人就改就蠻好的
[06:01] 然後這邊有個無視
[06:02] 無視規則的
[06:04] 但是這個我會把列進來
[06:05] 因為寫的很好
[06:06] 然後我們給你看一下
[06:10] 規矩
[06:11] 零打工英文
[06:13] 首先這個名稱很ok
[06:15] 照片很ok
[06:16] 上面還看得到英文
[06:18] 然後看起來很國
[06:19] 像是英文老師
[06:21] 上面還有看到零打字跟字
[06:23] 就感覺雖然有點缺乏
[06:26] 我自己覺得比較美感上不是他的強項
[06:28] 但是就是這個很英文老師的
[06:31] 簡潔零快樂風格
[06:33] 然後第一句話就說
[06:34] 熱愛自學英文的風質
[06:37] 然後怎麼無視規則呢
[06:38] 他說
[06:39] 大二十某次在接待美國AIT官員的餐桌上
[06:43] 見眾人熱烈討論著美國鏡頭牛肉
[06:46] 世界經濟議題
[06:48] 同時坐在我對面負責在官員的小黃司機大哥
[06:52] 朝著親切的台語問我
[06:54] 啊你怎麼學英文的啦
[06:55] 能不能教我兒子該看什麼書
[06:58] 這親近
[06:59] 至今我忘不了
[07:00] 於是教你看劇看卡通
[07:02] 成為我的使命
[07:04] 我就不知道怎麼樣就是感覺一個亂感動一把
[07:07] 雖然我整個看完
[07:09] 就是覺得
[07:10] 不知道在看什麼就是很感動
[07:12] 所以這個就是他無視的規則
[07:14] 那故事度報表啊
[07:15] 然後其他這樣子也ok
[07:17] 你看他粉絲也很多1.9萬
[07:19] 對你就很就很棒
[07:21] 好
[07:23] 我們接會啦
[07:29] 就是
[07:30] 內這個也寫不錯圖片很棒
[07:35] 好會這邊練習就是你要去找到你的
[07:38] 客參考帳號
[07:40] 懂嗎
[07:40] 如果你今天是做身心靈的話
[07:43] 你要去找出五個做身心靈的帳號
[07:45] 這個我放在配套的練習任務裡面
[07:48] 是你要你要去找你的
[07:50] 嗯你做做減重的要去找減重寫的好
[07:53] 你是做財務的你要去找財務寫的好
[07:56] 你是做
[07:57] 呃教英文的你要去找教英文寫的好
[07:59] 那要怎麼找呢
[08:01] 怎麼找呢就是
[08:03] 現在
[08:04] 老實說比較不好找
[08:05] 因為他現在改版以後
[08:07] 收比較多收尋功能身心靈故事
[08:10] 大家
[08:12] 好像收尋
[08:14] 好那我就去看嘛
[08:15] 這個一個站的我就列過
[08:17] 因為可能
[08:18] 有量不是很高哎這個不錯
[08:20] 這個呃
[08:21] 110站
[08:23] 所以這個帳號應該
[08:24] 粉絲有可能是ig粉絲很多
[08:27] 或者是他本身你會寫
[08:29] 那
[08:30] 粉絲有點少
[08:31] 所以這篇文他可能是這篇文章很會寫
[08:33] 但他字界有可能寫的比較
[08:36] 講不好
[08:36] 或是寫的有油畫空間
[08:38] 但總之這篇文章可以參考
[08:40] 所以我可以把它存起來這麼說
[08:43] 然後這裡
[08:45] 身心靈要47也還可以
[08:48] 不是說很少就不好
[08:50] 只是說因為我要省時間
[08:51] 我要快速看一下
[08:57] 好白了你可以去翻啦
[08:58] 因為通常你如果自己是身心靈老師的話
[09:00] 你的版面上照理來說
[09:02] 是會出現一些很多身心靈相關帳號
[09:05] 所以你就會比較好找
[09:06] 啊因為我自己不是身心靈老師
[09:08] 所以我版面上
[09:09] 沒有那麼多身心靈
[09:10] 我就要特別去搜尋
[09:12] ok
[09:13] 你要去找五個對標帳號
[09:15] 然後去看到
[09:16] 他們字界有什麼
[09:18] 他們字界是怎麼寫的
[09:20] 然後甚至文章是怎麼發的
[09:22] 然後他照片是怎麼放的
[09:24] 他名稱是什麼
[09:25] 名稱是什麼
[09:26] 名稱是怎麼寫的
[09:27] 但這個就是寫局名口
[09:29] 因為他是名人
[09:29] 所以不需要寫他在做
[09:31] 做啥
[09:31] 但他上面也有一名確的寫說他是
[09:33] seo 從領導進的課程講師
[09:37] 好
[09:39] 好
[09:40] 好
[09:42] 找對標帳號這個是
[09:44] a跑電視
[09:45] 然後我們準備要休息
[09:48] 最後最後把大頭照講
[09:56] 好大頭照第一個
[09:58] 圖像夠大
[10:00] 對如果是正妹就有感受出來
[10:03] 哈哈好就是這樣頭像要夠大
[10:05] 頭像太小通通通不急了
[10:07] 除非你的你的帳號定
[10:09] 帳號就是定位就不是要
[10:12] 就不是要嗯
[10:13] 跟人家無關的
[10:15] 什麼居家設計
[10:16] 剛剛有個居家設計他放給他一盞燈
[10:18] 那就ok
[10:19] 第二個顏色鮮明
[10:21] 呃可以去找專業攝影師排
[10:23] 不然就是自己去
[10:24] 特別去找一個好看的地方
[10:26] 後面或是去去背修圖
[10:29] 不是你顏色很
[10:31] 跟後面要顏色要很
[10:32] 鮮明跟後面這樣子
[10:35] 他
[10:36] 呃反差夠大
[10:38] 但才看出來
[10:38] 因為稅上面的這個很小
[10:40] 所以如果你放你又已經很小
[10:42] 你又放更小的話你完全看不到
[10:45] 就是這個還ok
[10:46] 可以按
[10:47] 看不太到
[10:48] 但是還ok
[10:49] 那有些人就是
[10:50] 已經很小了你又放一些
[10:52] 顏色又很混雜
[10:53] 然後會看不到了就會
[10:54] 就我就不行
[10:55] 那因為我現在版面上
[10:56] 大部分都是我覺得好的帳號
[10:58] 所以大部分都其實他們都做
[11:00] 做到基本
[11:01] 到位
[11:02] 我我有時候找不到
[11:03] 找不到那個
[11:04] 呃泛利給你看
[11:06] 但是你可以去看很多
[11:08] 很多範例
[11:10] 啊是
[11:11] 可以講完嗎
[11:13] 好這個是主題
[11:15] 主題明確的
[11:17] 哦你
[11:18] 好主題明確的這個這個
[11:20] 大陸可以主題明確的
[11:22] 就是他你看這個
[11:23] 很像是英文老師
[11:25] 然後同時後面有個風英文
[11:27] 的風格
[11:28] 所以ok
[11:30] 好因為我們時間有點趕
[11:31] 所以那個前面的練習
[11:33] 我就先不幫你做
[11:35] 快速講一下後面
[11:36] 很精彩重點
[11:38] 這邊
[11:38] 呃很值得你做筆記
[11:41] 是不是
[11:41] 好
[11:43] 明演算法三軍思維統帥思維
[11:45] 跟軍師思維
[11:47] 所以我要
[11:48] 讓你可以區分出來
[11:50] 到底要怎麼操作
[11:51] 才會是好的方式
[11:54] 你喜歡嗎
[11:56] 嗯
[12:01] 下一頁
[12:02] 第一個演算法
[12:03] 剛剛講過了
[12:04] 就答案寫在黑板上
[12:06] 所以你要去找
[12:07] 對標帳號
[12:08] 對標帳號的意思就是可以參考
[12:10] 可以參考的帳號
[12:12] 那除了找可以參考的帳號以外
[12:14] 你也可以去多看看不同
[12:16] 只要是流量高的或是他
[12:18] 他的帳號
[12:19] 呃
[12:20] 這個互動率很好
[12:21] 你可以去看他的發文的模式
[12:23] 就可以去
[12:24] 去模仿他
[12:25] 然後去用不同風格去嘗試
[12:27] 然後第二個是我會講一下
[12:28] 現在演算法改變之後
[12:30] 要怎麼去做
[12:31] 跟目前最新的趨勢
[12:33] 那這個就是在講
[12:34] 多底層邏輯的部分
[12:36] 那最後是這個
[12:38] 翠他其實是一個去中新化的平台
[12:40] 什麼叫去中新化呢
[12:42] 就是過去臉書呢是有大佬
[12:44] 就是大神很厲害的人
[12:46] 他很流量很高
[12:48] 他只要來幫你轉天靈的文章
[12:51] 就會起飛了
[12:52] 但是翠上面比較沒有這個趨勢
[12:54] 就是就算我今天是大神
[12:56] 我來轉天靈的文章
[12:57] 可是如果你寫很爛
[12:59] 其實我一個人是
[13:00] 沒辦法
[13:01] 沒辦法沒辦法改變世界的
[13:08] 好
[13:08] 這個
[13:10] 答案起來黑板上
[13:11] 所以打開眼睛
[13:13] 你覺得好的帳號
[13:14] 你覺得好貼文
[13:15] 你就立馬第一時間轉貼
[13:17] 然後就是當作是作筆記
[13:19] 因為你周圍比較好找
[13:21] 嗯因為很難找
[13:23] 你只要錯過
[13:23] 你只要錯過重新華裔市你就找不到
[13:26] 難找
[13:26] 所以就是你只要
[13:28] 就是覺得不錯的
[13:29] 你就是去觀察
[13:30] 然後把他轉貼
[13:32] 做成就當作是你的筆記這樣子
[13:35] 然後第二個是
[13:37] 演算法改變之後
[13:38] 最新的演算法是
[13:39] 現在是你也追蹤者會先看到
[13:42] 所以他不會再出現一些
[13:44] 比較不太會很常出現莫名其妙的這種
[13:47] 呃你隨便寫一個主題
[13:49] 不然就爆炸
[13:50] 因為因為他不會去主動去幫你推
[13:53] 他會先以你現在的使用者去做
[13:56] 擴散
[13:57] 那所以你必須要寫的樣嘛
[13:59] 第一個是你現在的使用者
[14:01] 現在的粉絲很喜歡的類型的文章
[14:04] 那也合理嘛
[14:05] 因為你你就是經營這帳號
[14:07] 你粉絲得是得機這個面相的
[14:09] 當然要寫這個面相的文章啊
[14:11] 除非是隨便亂經營
[14:13] 你寫一些更文累積的
[14:15] 寫一些轉貼文更文累積的粉絲
[14:17] 那當然就會效果很不好
[14:19] 那就是你要承受自己之前自己亂搞的代價
[14:23] 好那再來就是
[14:24] 杜蘭的話另外一個方式就是你要去寫
[14:27] 你要去寫這個
[14:29] 多數人都有興趣的話
[14:31] 比如說賺錢沒有人對賺錢沒興趣
[14:34] 比如說
[14:36] 呃呃你生生命中你重大影響你的一個故事
[14:39] 故事沒有人沒有興趣
[14:41] 所以這種東西他就是百分之很高的機率
[14:45] 可以擴散出去
[14:46] 所以即使他是粉絲優先
[14:48] 也不影響他
[14:49] 也不影響到他可以擴散到你粉絲之外的人
[14:52] 然後去讓你暴流量
[14:54] 掌追蹤甚至變現
[14:58] 好下一
[15:02] 好總要講到重點的這邊
[15:05] 先深呼吸一口氣
[15:07] 一口氣吧講
[15:14] 好
[15:16] 這邊呢很多人可能有來上課的人
[15:19] 其實都已經有看過就是
[15:21] 區分最重要就是我自己
[15:24] 呃弄出來架構
[15:26] 他其實也是被死在
[15:27] 呃行銷的一種思維叫做行銷漏洞
[15:30] 那我這邊不解釋行銷漏洞是什麼
[15:32] 我直接跟你講三軍思維
[15:35] 三軍思維就是你要有空軍
[15:37] 地軍跟海軍為什麼呢
[15:40] 因為空軍就像是你觸動你的空中部隊
[15:43] 可以把一大堆空中的
[15:45] 這個受眾他們都打下來
[15:47] 你就可以寫出一些報紋
[15:49] 那空軍最重要就是你要寫一些有趣
[15:52] 跟最多人有交集的文章
[15:54] 這東西就是空軍
[15:56] 那他的比例我建議是在經營的時候
[15:59] 是在你10他以上
[16:01] 就是那空軍其實是最難去模仿別人
[16:06] 呃
[16:07] 應該說空軍
[16:09] 等一下這麼講
[16:11] 兩趴第一個是你可以去轉貼
[16:14] 你可以去轉貼翻專別別人平台的文章
[16:17] 或是你可以去分享一些那種
[16:19] 呃很多人都會喜歡的小故事
[16:22] 或是什麼十個重點列點列點文
[16:26] 那可是如果你要有些事他是什麼
[16:28] 他是造一些生活中的照片
[16:30] 然後說什麼他是
[16:31] 每一頁發生一些很有趣的事
[16:33] 或他現在生活中
[16:34] 讓我拍到一個很有趣的東西
[16:36] 這個你模仿不來
[16:37] 所以空軍呃我覺得他是一個
[16:41] 某些成分是比較難去複製別人的
[16:43] 或是去參考別人的這個這個
[16:46] 這個文章的方式
[16:48] 那第二個是地軍
[16:50] 地軍就是說你空軍把你目標對象打
[16:53] 打下來擊落掉到地面上之後
[16:55] 這時候你要去靠你的
[16:57] 地軍就是你的專業
[16:58] 你要去寫你的專業知識
[17:00] 那專業知識最好呈現的格式
[17:02] 就是列點文1234567
[17:04] 我現在整理的五點三點七點
[17:07] 那
[17:09] 哦等一下會再細講
[17:11] 那今天建議是再三十何Cent
[17:13] 那地軍專業他就會讓你最終速可以漲上去
[17:16] 所以
[17:17] 可是前提是什麼
[17:18] 前提是你字節要寫好
[17:20] 所以我說這個課程是蠻相扣的
[17:22] 你寫出地軍文章
[17:23] 可是大家發現你字節寫了一團招
[17:26] 可能你的轉換率變得追蹤的數也會很低
[17:29] 那最後是海軍
[17:30] 海軍思維是什麼
[17:31] 就是要你真實深刻生命中的故事
[17:35] 海軍思維就是要感動別人
[17:37] 因為你要感動別人才有辦法去撐交
[17:41] 因為
[17:42] 人跟人之間就是講一個信用的
[17:45] 當你去
[17:47] 先你最脆弱的故事
[17:49] 你最真實的生命中的故事
[17:51] 你感動了別人以後別人就會覺得
[17:53] 你這個人跟他是同樣是一個人
[17:55] 他可以理解你
[17:56] 他覺得你跟他有感情上的共鳴
[18:00] 這時候他就會覺得說你不
[18:01] 他不會你不會去欺騙他
[18:03] 那他才會願意去信任你去買你的產品
[18:06] 不然在社群的理想
[18:08] 大家都是陌生人
[18:09] 他買的東西被詐騙了
[18:11] 他沒有人去訴求
[18:13] 所以這個東西就是
[18:15] 最後你要從最終的變成是
[18:17] 呃成交變現
[18:18] 就是你要去寫你自己海軍的部分
[18:21] 但是我建議是寫20%就好
[18:23] 因為寫太多會變成是有點爛情
[18:27] 爛情就是人家覺得你真的很假掰
[18:29] 就整天在長三春悲秋的
[18:32] 對
[18:37] 好
[18:37] 他空軍思維呢
[18:38] 就是用報文去捕捉這個流量
[18:41] 所以你要去寫這個有情緒價值的文章
[18:45] 以心起溫馨好笑悲傷的為例
[18:48] 比方說我那時候寫的
[18:49] 一個前陣子去咖啡店
[18:51] 看到一個妹子做
[18:53] 以下省略
[18:54] 反正就是一個很離奇的故事
[18:56] 就是我去咖啡店搭訕的一個女生
[18:58] 老婆她說要不好意思又按指給我
[19:00] 她越老了在工作嗎
[19:02] Hello
[19:02] 這樣子
[19:03] 然後就很
[19:05] 然後這邊文章也有長
[19:06] 甚至也有長追蹤
[19:08] 我不知道為什麼
[19:08] 但是他就是撇空軍的
[19:10] 然後流量很好
[19:13] 好
[19:13] 下一個
[19:15] 好
[19:15] 再講下一個的時候
[19:18] 其實都是我自己按的
[19:19] 沒有在幫我按
[19:21] 好
[19:21] 接下來地軍思維就是
[19:23] 用專業文去長追蹤
[19:25] 什麼叫專業文就是列點
[19:27] 列點
[19:28] 那這邊等一下
[19:29] 最後呢
[19:32] 呃
[19:32] 反正我陪怕好之後
[19:33] 我會給我
[19:34] 我在群組裡面再讓大家去
[19:36] 我再找一些範例啊
[19:37] 那現在其實群組裡面
[19:38] 我已經有整理了一些
[19:40] 這個東西了
[19:41] 因為之前在實體課程的時候
[19:43] 把東西移過來
[19:44] 所以你可以點計事本
[19:46] 計事本的時候分成這個
[19:48] 呃
[19:48] 海軍彈藥庫跟
[19:50] 地軍彈藥庫跟空軍彈藥庫
[19:53] 啊地軍又要寫自己的專業
[19:54] 所以很很難找
[19:56] 那空軍的就很好找
[19:58] 像說
[19:59] 這個是
[20:03] 哦這個是英文文章嘛
[20:04] 再講那個send out of them的故事
[20:06] 所以就可以用
[20:07] 確的gbd把它翻譯
[20:08] 他推薦了很多本書
[20:10] 然後把它整理成一個短文
[20:11] 他就是一個很好擴散
[20:12] 會變成報文的空軍文章
[20:15] 然後再來是這個
[20:17] 呃
[20:17] 這個這個帳號
[20:22] 這張號我覺得很有抓到
[20:23] 空軍的金屬水
[20:25] 然後他就是
[20:26] 就是都一直在寫一些故事
[20:28] 然後就寫得很吸引人
[20:30] 他其實就是
[20:32] 我覺得蠻有抓到那個
[20:33] 空軍的金屬水的可以去參考
[20:35] 他怎麼去寫的
[20:36] 但是你完全照照的話
[20:38] 我說不然要找到自己風格的
[20:41] 所以你去多嘗試
[20:42] 但是不要完全照照某一個
[20:44] 呃不不屬於你的風格
[20:46] 好
[20:47] 再舉最後一個例子
[20:50] 真的是幼福分享的
[20:52] 我把他移過來
[20:53] 這個外國人
[20:57] 他在這個media上面寫了一大堆
[20:59] 創創業家的故事
[21:01] 然後
[21:02] 然後這個就其實你都可以
[21:03] 如果你覺得寫得不錯了
[21:05] 你也可以去翻譯成中文
[21:06] 然後重新去用
[21:08] 符合的翠的格式
[21:10] 去把這個故事寫出來
[21:11] 都是會很會爆的
[21:13] 然後我那時候有一篇文章是
[21:15] 整理這個
[21:16] 然後就就非常爆炸
[21:20] 然後這個就是
[21:22] 這樣講的
[21:25] 地軍
[21:26] 地軍的部分
[21:27] 使用價值的
[21:28] 你看這邊就整理
[21:29] 要活下去有三種方式
[21:31] 第一第二
[21:32] 然後還有一個保密放下面
[21:34] 所以同時開上白
[21:36] 開上白寫得很好
[21:38] 然後又符合地軍的使用價值
[21:41] 然後
[21:42] 其實也有提供那情緒這樣子
[21:44] 就是我在
[21:44] 我在寫文章的時候都會說
[21:46] 我都加上自己的感覺跟頻率
[21:49] 因為都寫了你
[21:50] 你說恐怖恐怖
[21:52] 然後再加上自己的表情符號
[21:54] 每個人自己的風格
[21:55] 你可以用自己的風格去寫
[21:57] 但重點是很多人
[21:58] 他們在整理地軍或是空軍的文章的時候
[22:01] 他因為是
[22:02] 去複製一些大陸的
[22:04] 或是複製一些別人的
[22:05] 所以他就是完全
[22:07] 寫得很不像是自己寫的
[22:08] 可是這裡面有個訣竅跟重點就是
[22:11] 你要加入自己的觀點
[22:13] 因為這樣子才會
[22:14] 大家才會對你這品牌有印象
[22:16] 所以你可以去整理那種
[22:17] 第一二三四
[22:18] 但是你要必須要在每一點
[22:19] 加入自己的觀察跟你的感覺
[22:21] 你的感受
[22:23] ok
[22:23] 必須加入個人觀點感受
[22:25] 點點最佳
[22:28] 好
[22:28] 講音
[22:31] 海軍思維就寫你的真實故事
[22:33] 展露你脆弱
[22:34] 就是我在課程最開始的時候
[22:36] 跟大家講
[22:37] 你覺得最不敢講的
[22:39] 事情就是你在
[22:41] 脆上面最該講的事情
[22:43] 那通常海軍思維在脆上面的
[22:45] 海軍的文章在
[22:47] 脆上面的
[22:49] 流量非常的好
[22:50] 因為海軍就像是說
[22:52] 他是
[22:53] 出動你的海上部隊去保衛你的國土
[22:56] 去讓你的人民
[22:57] 他們是
[22:59] 覺得這是對你這國家是有信任感的
[23:02] 他才會願意去繳
[23:03] 繳稅或是他願意去跟你做
[23:06] 呃價值交換
[23:09] 所以
[23:09] 通常寫海軍的話就是
[23:11] 呃可能有可能就是
[23:13] 就基本上可能又會有量爆炸
[23:15] 追蹤又會炸
[23:16] 甚至還會有人成交
[23:17] 所以海軍是一個
[23:19] 航空母艦
[23:20] 就是直接摧毀或離切的
[23:23] 這個效果
[23:24] 然後這邊就是寫
[23:25] 這裡就寫一篇其實也沒寫什麼
[23:27] 就寫說我是國旗系畢業的
[23:29] 他認識我都知道
[23:30] 三年前我從0開始學寫
[23:32] 然後那時候
[23:33] 很辛苦絕望
[23:34] 然後很可憐
[23:35] 就是30歲領四萬底星
[23:38] 然後我那時候
[23:39] 深刻不知道我有沒有走出來
[23:42] 就這樣
[23:43] 好可以去看
[23:44] 你可以去搜尋
[23:45] 你可以搜尋就可以找到
[23:47] 這邊忘記放連結了
[23:48] 後續會再
[23:49] 再補連結
[23:53] 好
[23:55] 好
[23:56] 那很多人的問題是說
[23:58] 群組裡面很多問題是說
[23:59] 他們覺得說他每天想文章主題
[24:02] 對
[24:02] 那這個東西我也幫大家解決了
[24:04] 第一個呢
[24:05] 你只要去看書
[24:07] 或者去上課
[24:08] 比如說你今天來上課
[24:10] 那你就要有做
[24:10] 你就會有收穫
[24:12] 那你到底來說
[24:13] 你應該是要做個筆記
[24:14] 寫在你的槌上面
[24:16] 因為這就是自媒體的精髓
[24:18] 你今天做了什麼
[24:19] 你就寫什麼
[24:20] 你今天學了啥
[24:21] 你就分享啥
[24:22] 就是就是那麼簡單
[24:24] 那你可以去
[24:26] 也可以去看書
[24:27] 我幫你推薦一本書叫 Gary Feed
[24:29] Gary Feed 這個不必看
[24:30] 如果你要經營自媒體
[24:31] 必看
[24:34] 不必
[24:35] 不可來
[24:38] 我有買
[24:39] 我有買電子
[24:41] 我
[24:42] 這個沒有電子書
[24:44] 這邊的書現在
[24:45] 電子書版群絕版
[24:46] 只能去買實體書
[24:48] 這本書非常推薦
[24:49] 我是 Gary Feed 網路大神的極致
[24:51] 社群操作盛景
[24:54] 這本書
[24:55] 必看
[24:56] 對
[24:57] 好
[24:58] 先回來
[24:58] 那你看的時候
[24:59] 你可以一邊做筆記
[25:00] 一邊分享
[25:00] 像我那時候就這樣
[25:01] 大家一本書可以發
[25:03] 10到20篇文章
[25:04] 然後在
[25:05] 你可以發
[25:06] 也可以發出報納
[25:08] 好
[25:08] 那第二個是
[25:09] 很多人有問題
[25:10] 就是要怎麼
[25:11] 怎麼去想出文章的地圖
[25:13] 就是主題嘛
[25:14] 這個
[25:15] 呃
[25:16] 幫大家想好
[25:17] 而怎麼做
[25:18] 就是
[25:19] 給大家一個那個
[25:20] pump
[25:21] 有兩個方式
[25:22] 第一個是我那時候
[25:23] 呃
[25:23] 幫他顧問服務
[25:25] 陪泡的時候用新制圖
[25:27] 我就去想
[25:28] 呃
[25:28] 靈氣
[25:29] 身心靈
[25:29] 最常遇到問題是什麼
[25:31] 一次拔裂出來
[25:32] 怎麼選林林
[25:33] 身心老師
[25:34] 呃
[25:34] 身心老師一般的人會有那個感覺是
[25:36] 哎
[25:36] 身心靈準嗎
[25:37] 身心靈
[25:38] 你這是什麼派別的
[25:39] 身心靈是不是假的
[25:41] 我身心靈有
[25:41] 有用嗎
[25:42] 這樣子
[25:43] 這就是說可以去寫的
