[00:00] 時間很寶貴
[07:23] 好那第一個測試階段就是我分成三個階段
[07:27] 就是你在做起號的時候
[07:28] 其實我自己有做一個筆記分成三個階段
[07:31] 我要看一下不知道看得到
[07:33] 我這樣好
[07:38] 很容易被去背掉的
[07:41] 沒關係
[07:42] 好就分成三個階段
[07:43] 第一個是測試階段
[07:45] 那第二個階段是這個發酵階段
[07:48] 然後第三個階段是引爆階段
[07:51] 基本上他就是一個完整的這個三群團
[07:53] 步驟
[07:54] 那你知道你可能就是一直重複這個三群
[07:56] 團的步驟
[07:57] 所以今天的課程其實我覺得是一個
[08:01] 算是一個進階課
[08:02] 可是也算是一個入門課
[08:04] 因為如果你課程內容
[08:06] 你可能還沒看完之後補上
[08:08] 但是你今天照今天去做
[08:10] 可能就會對你要怎麼開始去操作一個概念
[08:14] 那測試階段最重要的事情是什麼
[08:17] 就是你要去
[08:19] 準備
[08:20] 準備一些東西
[08:21] 因為大家想想看說像我自己在
[08:24] 幫一個客戶代操
[08:26] 或是幫他們這個顧問合作
[08:29] 那
[08:30] 呃
[08:30] 他可能有的是冰葬液的
[08:32] 有的是美食液的
[08:34] 有的是有的是什麼
[08:36] 呃軟體或是課程類的
[08:38] 那我根本不了解這個平台
[08:41] 所以其實這個階段很重要
[08:43] 然後但是
[08:44] 呃這階段其實算是最困難
[08:48] 因為你必須要去
[08:50] 在這個階段你要盡可能去了解
[08:52] 他這個平台
[08:53] 有什麼特性是你可以去寫的
[08:56] 那因為我自己是長年來都是在做
[08:59] 文字類跟社群媒體啊
[09:01] 的工作
[09:03] 所以我可以
[09:04] 比較快的去抓到重點
[09:06] 那因為各位
[09:08] 我假設就是你們現在其實都是在
[09:10] 做自己的帳號
[09:12] 那這件事情基本上難度是非常低的
[09:15] 而且我們會後我們
[09:17] 還有件事情順便講一下就是
[09:20] 然後我們今天是一個比較輕鬆聊天的性子
[09:22] 對所以
[09:24] 那種課程沒有人扎實
[09:27] 好那我們會後就是會拉一個一對一
[09:29] 配泡群組
[09:30] 因為後來我們
[09:32] 我檢討一下發現說很多人其實都沒有
[09:34] 沒有去提問不知道是太害羞還是怎麼樣
[09:37] 所以我們決定拉一個
[09:38] 配泡群組讓你想問問題隨時可以
[09:41] 可以問到飽
[09:43] 對但是有些有些問題如果是我覺得是
[09:45] 適合討論的我可能會
[09:47] 也請你去發在那個
[09:49] 大的群組因為那邊其實有很多人是他們
[09:51] 已經
[09:52] 呃
[09:54] 兩三個月前已經上過課
[09:55] 他們現在其實已經找到一個成功模式了
[09:58] 所以你在那邊問等於是
[10:00] 你會得到更多他們的這個回饋
[10:02] 我們後續會總之就是後續我們會拉個一對一
[10:05] 配泡群組讓大家
[10:06] 好好的去問
[10:08] 然後也好好去看一下說大家作業到底是
[10:10] 有沒有有沒有做
[10:14] 趕快做作業
[10:14] 好
[10:16] 好第一個是素材
[10:18] 好那這階段分成三個你要用一一去講
[10:20] 第一個是準備素材第二個是設定目標
[10:23] 第三個是找到你的一個成功模式
[10:26] 那非常的簡單其實就這三個
[10:28] 這三個步驟
[10:29] 那我先來講素材準備
[10:32] 素材準備就是你要去做
[10:35] 主題的規劃
[10:36] 跟去用我們這個三軍的
[10:38] 實為去幫你這些主題去做一個
[10:42] 做一個假做一個那個分類
[10:45] 對我們就是正賀裡面會講三軍的
[10:47] 實為就是空軍海軍跟地軍
[10:51] 那這不細講但是大概空軍
[10:53] 一個是比較是泛流量
[10:55] 大流量的一些那種派對話題
[10:58] 那地軍是專業類型列臉式的文章
[11:02] 然後第三個是這個海軍是
[11:05] 比較是偏向你個人的想法
[11:07] 跟你個人的故事
[11:09] 那通常都是用第一
[11:11] 第一人的角度
[11:12] 就是我發生什麼事情
[11:14] 我之前經歷什麼事情
[11:16] 我對某件事情的看法來講
[11:19] 所以就是細講話就是分成這三種類型的
[11:23] 三軍那主題規劃就是你要去寫三十天的
[11:27] 三十天的這個文
[11:28] 你可以先把三十天的文章列出來
[11:30] 那為了方便大家
[11:33] 所以我也把這個
[11:36] 我實際在規劃三十天的貼文的連結
[11:39] 我也分享在這邊
[11:40] 對那反正我記得我之前
[11:43] 我分享在群組
[11:44] 所以你可以找一下
[11:45] 那之後簡報我真的
[11:46] 我稍微再整理一下
[11:47] 我會再提供給大家
[11:49] 所以這邊就是前面是在做
[11:51] 素材的準備
[11:53] 那以各位就是說
[11:54] 你們可能就是要先去
[11:57] 了解一下說
[11:59] 嗯
[11:59] 你可能就是要先去硬逼自己寫三十
[12:02] 寫三十天
[12:04] 對那如果你可能不清楚的話
[12:05] 你可能可以去問確的gbt
[12:08] 像我政客裡面
[12:09] 其實我有列一個例子是
[12:11] 我去問
[12:13] 確的gbt那個美
[12:15] 就是那個美身心理業要哪些主題
[12:18] 但通常我覺得
[12:19] 我個人覺得身心理業其實主題都
[12:22] 呃
[12:23] 我覺得我覺得那個確的gbt
[12:25] 其實列的主題有時候都不夠準
[12:27] 準確
[12:29] 對所以
[12:30] 呃我覺得是參考用
[12:32] 主要還是你自己要去
[12:34] 去想
[12:34] 那為什麼我們作業中其實有
[12:36] 去寫說請你去找對標帳號
[12:39] 就是為了要讓大家可以去
[12:41] 呃
[12:42] 解
[12:43] 就是你可以去更好做到這件事情
[12:45] 因為像我自己的話可能我
[12:47] 我可能就算我可能是不同的產業
[12:49] 我大概會用我過去操作的一些案例去
[12:53] 把想那想的
[12:54] 想的程度都蠻接近的
[12:56] 可是像你們的話可能
[12:57] 我覺得建議就是你們去找對標帳號
[12:59] 因為有句話是說
[13:01] 如果你要加一個完全沒有sets
[13:04] 去
[13:05] 從零開始想一件事情的話
[13:07] 不如讓他直接去操
[13:08] 不如讓他直接去模仿就好
[13:11] 對先從模仿去了解
[13:13] 所以像是
[13:15] 呃之前一個
[13:16] 呃客戶
[13:18] 我就可能貼一些販賣給他的時候
[13:19] 我都會跟他強調說
[13:21] 我說這個東西我
[13:23] 看過了我覺得你照這個字寫沒有超
[13:25] 沒有超息的這個疑慮
[13:27] 所以
[13:28] 請你不要再去改
[13:29] 你不要再去改他的格式
[13:31] 對
[13:32] 你就是完全照他一模一樣的格式去寫
[13:35] 你自己的內容
[13:37] 對這樣子是比較好的
[13:39] 好大概這邊是這樣子
[13:43] 那我們見到下一個
[13:49] 嗯
[13:49] 我們是漂亮
[13:56] 好
[13:58] 再來就是設定目標
[13:59] 那設定目標呢
[14:00] 我等一下也會
[14:02] 也會就是有個範例給大家看
[14:04] 就是因為像我自己在
[14:06] 幫
[14:07] 自己操作像我們之前群組沒有八起說
[14:10] 大家去設定目標
[14:11] 然後那時候就設定說我可能一月要破
[14:14] 好像1.1.5萬
[14:17] 還是1.4萬
[14:18] 然後後來就
[14:19] 我就超過了就變1.1.6萬
[14:22] 1.7萬追蹤者
[14:24] 所以其實你設定目標這件事情
[14:27] 蠻重要的那最近我應該也會在群組裡面
[14:29] 再去
[14:31] 跟大家一起去設定
[14:33] 對現在其實就是有這個起號的這個策略
[14:36] 的規劃之後我覺得這件事情又變的
[14:39] 相對來說更更容易
[14:41] 對所以其實這邊就是要去
[14:43] 一開始就要去設定目標然後像我自己
[14:45] 在做客戶的時候其實我也是
[14:48] 我們一定都是先講好目標嘛
[14:50] 但是
[14:51] 呃我不能夠跟我很難去跟他保證
[14:54] 但是我會設一個相對保守
[14:56] 目標然後通常我每次都是會超越
[14:59] 那個目標很多
[15:01] 但是那個目標本身就是已經讓他覺得已經是超越他的
[15:04] 原本
[15:05] 他可能的預算的期待
[15:08] 所以我就會設一個在這個邊界的
[15:10] 那我不會厲害設太高
[15:13] 然後通常最後我也都也都會超過
[15:15] 沒有基本上沒有沒超過的所以
[15:18] 大家都很滿意
[15:20] 但是這個以以大家自己的帳號來說
[15:22] 其實我們有時候就會少做這一步
[15:25] 因為變成是呃你可能
[15:28] 是自己幫自己做的你就覺得你不用對自己去
[15:32] 你不用對自己去設定的目標
[15:34] 可是其實你忘記一件事情
[15:36] 你其實你花最多的是
[15:38] 你自己其實在你算是在操作自己的自媒體
[15:41] 可是你其實同樣是花時間
[15:43] 但你的時間就是你的錢
[15:45] 所以我覺得說大家接下來一定要去設定目標
[15:50] 對那你設定目標之後呢
[15:52] 你也可以在哦
[15:53] 其實我們作業裡面有一環設定目標
[15:55] 所以其實我們的作業規劃都是非常的
[15:59] 邏輯非常嚴密的
[16:01] 就是為什麼要設定那個作業他都是有目的
[16:04] 那我基本上我是以大家的
[16:08] 呃loading
[16:09] 就我作業的量都設計的非常輕鬆
[16:13] 就盡可能在
[16:15] 非常輕鬆
[16:15] 但是又絕對讓你有幫助的範疇裡面取一個
[16:18] 中間
[16:20] 因為之前我們在線上課程的時候
[16:22] 我們那時候也有想說好我們來
[16:24] 呃試試看87一些那種作業
[16:28] 結果我發現設太難都都沒有人
[16:30] 沒有一個人做得下去
[16:31] 所以現在已經設非常簡單了
[16:33] 基本上是你一天
[16:35] 如果你一天認真做你可以完成兩三個
[16:37] 所以你根本不需要30天完成
[16:39] 就是那麼簡單
[16:40] 所以你一定要去做好
[16:42] 那邊就是設定目標的
[16:43] 那我給大家看一下範例
[16:48] 就比例譬如說你可以去設你的每天增加的
[16:51] 這個
[16:52] 呃粉絲或是你的瀏覽量
[16:56] 這個互動率比較好這個
[16:58] 這個可能改一下我後來改成瀏覽率
[17:01] 就是瀏覽率就是你幾萬啊
[17:03] 就是他的那個脆的帳號上面會顯示說
[17:08] 這邊這個按鈕他就會寫你現在粉絲數多少
[17:17] 因為這個是跟我跟顧曦老師有做
[17:19] 一個顧問的這種合作
[17:21] 所以我
[17:22] 我知道他有他的帳號的這個
[17:24] 脆的帳號的這個
[17:26] 看後台的選線
[17:27] 所以你就會看到說你的這個
[17:29] 有染率是多少
[17:31] 那
[17:32] 那就是你的追蹤數增加多少
[17:34] 我覺得這也是一個很明確的
[17:36] 那最後就是說你的這個
[17:41] 最後就是說你的短短率
[17:43] 就比方說你有多少
[17:44] 假設你是用賴的光芳帳號
[17:47] 的話
[17:47] 那你可以設計說你希望
[17:49] 這個月你的賴官方帳號的追蹤人數
[17:52] 可以增加多少
[17:54] 那如果你今天是
[17:55] 呃原本就在上面去接服務
[17:58] 訂單的話你可以說你希望今天
[18:00] 脆上面賴的
[18:01] 訂單可以增加多少
[18:03] 這就是我覺得偏向是轉化率的部分
[18:07] 那下面就是我幫我
[18:08] 其實合作的夥伴去規劃
[18:11] 那時候其實也有大概想
[18:12] 但是我還沒有把像今天整理的那麼清楚
[18:16] 所以那時候就說哎我們第一
[18:17] 我可能一個月第一週是
[18:19] 訪談醞釀你的人設
[18:21] 那第二週是我會去先分享
[18:24] 含盡量的資訊
[18:26] 對然後再來就是我會去分享
[18:28] 可能你的故事
[18:30] 最後一週可能我才會去開始去
[18:32] 呃積極的去
[18:34] 做轉換
[18:35] 對那這個其實就是
[18:37] 一般我們在亂個活動
[18:39] 或是在起一個新的帳號的時候流程
[18:42] 是會這樣
[18:43] 那我可能會寫說每天會至少發一篇文
[18:47] 然後我會調整
[18:48] 調整的字節有需要再開一個lighter社群
[18:51] 那目標就是帳號的
[18:53] 總流覽率破20萬以上
[18:55] 那基本上我操作兩週已經快破了
[18:58] 所以一定會達到
[18:59] 那這提升下載率20%
[19:02] 我覺得這個好像也會遠遠超過
[19:04] 所以就是這個就是所謂的
[19:06] 設定目標
[19:07] 所以大家一定要去設
[19:09] 那你不用你不用去把指標設太困難
[19:12] 因為有些人想說我要設流覽率
[19:15] 我要設追蹤數
[19:17] 我要設轉換率
[19:18] 那這樣子你就會很難去追蹤說
[19:22] 你有沒有貼文是打中這目標
[19:24] 所以我認為
[19:26] 你先設一個就好
[19:28] 假設你已經
[19:29] 追蹤數已經兩三千了
[19:31] 那你可以
[19:33] focus在變現
[19:35] 那如果你今天是一個新的帳號的話
[19:37] 那我覺得大家可能就是
[19:40] 可能可以先提升你的追蹤數
[19:42] 或者是你的流覽率
[19:44] 對那因為像我自己是
[19:46] 我幫客戶做的時候都是比較高難度操作的
[19:49] 所以我就會說我希望可以
[19:51] 達到某些轉換率
[19:52] 但是基本上我還是會先以
[19:54] 流覽率為我的
[19:56] 呃比較保守的目標會達成
[19:59] 這個大概是目標設定的部分
[20:03] 好
[20:03] 下一個
[20:07] 好
[20:07] 那設定目標之後就是你會去
[20:10] 你會去定期的去
[20:13] 你會去付款
[20:15] 對
[20:16] 因為其實以脆來說
[20:18] 其實脆上面他的發文的成本
[20:20] 可高可低
[20:22] 比方說像我一個學生是
[20:25] 他今天好像
[20:27] 上線那個
[20:29] 陳心領的好沒關係
[20:31] 有個學生他都喜歡寫那個故事型的長文
[20:34] 那他那東西其實就是
[20:36] 蠻蠻吃他的
[20:38] 蠻吃蠻消耗他的彈藥庫的
[20:40] 所以他一天寫一篇我覺得
[20:43] 其實算是蠻硬的
[20:44] 我後來有給他建議是說其實
[20:46] 他可以穿插一些比較
[20:49] 輕鬆小品的文章
[20:52] 對所以說但是輕鬆小品的文章
[20:54] 基本上我在寫的話我可能三秒鐘
[20:57] 或三十秒就寫完
[20:59] 所以其實你一天要發幾篇
[21:01] 我覺得這東西是
[21:02] 像你可以規劃說你一天固定發一篇
[21:05] 可是如果你發現說你發一篇的時間
[21:08] 很短
[21:09] 或是你沒有辦法慢慢縮短的時間
[21:11] 做到越來越短的話
[21:13] 那我覺得你其實一天可以發個
[21:15] 三天五篇
[21:16] 基本上以脆上
[21:17] 脆現在他的這個
[21:20] 模式來說你發幾篇是不中
[21:22] 你發幾篇他其實不會互相衝突
[21:25] 對所以這就是說你要去
[21:27] 副盤去修正
[21:29] 然後去看然後你發月多之後其實對你來說是
[21:32] 初期有建議是發月多越好
[21:34] 因為當你發了數量口多之後你會知道說
[21:38] 到底你的
[21:39] 你的受眾
[21:40] 你的粉絲他們喜歡看什麼類型的
[21:43] 文章你會大概有一個感覺
[21:45] 對
[21:47] 所以這個就是很很重要的一個
[21:50] 點就是你要去
[21:51] 去
[21:52] 定期要去收集素材
[21:54] 所以日常日常的時候其實像我現在就是
[21:57] 我看到我看到別人寫的不錯的文章
[22:00] 我都會把它存下來
[22:01] 那後面的話基本上
[22:03] 我演技化說我可能會
[22:05] 固定每週或是每個月我會整理一些
[22:07] 不錯的文章
[22:09] 然後分享到群組裡面
[22:10] 然後一次做一個可能
[22:11] maybe直播的分析
[22:13] 我還沒有想清楚但是我可能至少會分
[22:15] 我會分享這件事情是
[22:17] ok的是因為我自己本身就在收集
[22:20] 所以你在看的時候你一定要去
[22:22] 收集你要去看什麼文章是
[22:24] 你平常在滑的你要去看說什麼文章就是感覺是
[22:27] 像你可以去參考試試看
[22:30] 那不是不用不要去操他的
[22:31] 就是你就是看那個格詞就可以
[22:34] 對這邊就大概就是說就是初期的
[22:37] 初期的階段設定目標
[22:39] 要怎麼去怎麼去回顧
[22:42] 好那最重要的點是什麼就是
[22:45] 你要去找到這個
[22:47] 一個成功的模式
[22:49] 對
[22:50] 所以像是我剛剛其實提供
[22:53] 因為這個這個這個其實這怕有點困
[22:55] 就是原因是因為什麼
[22:58] 就是很多人他們會去
[23:00] 我觀察到現在粹上面其實
[23:02] 很多人他們還是會去複製別人的文章
[23:04] 但是效果可是
[23:07] 天差地遠
[23:08] 有些人複製以後他可能效果超級好
[23:11] 那有些人複製之後呢
[23:13] 完全沒效果
[23:15] 所以現在粹上面其實他是根據你的受眾
[23:18] 如果你今天受眾跟你
[23:20] 你複操起的複製的文章太接近的話
[23:23] 基本上他是演算法
[23:25] 所以讓那篇文章完全沒流量
[23:27] 然後還有一個點就是現在粹上面
[23:29] 他還有個趨勢是
[23:31] 呃
[23:32] 你是需要去有初始的互動
[23:36] 簡單來說就是你
[23:38] 以前是可能完全沒有任何粉絲
[23:41] 是有
[23:42] 你是可以很常就是說
[23:44] 那篇文章直接
[23:45] 寫中就直接暴流量
[23:47] 但是現在粹他們
[23:48] 下下模式比較堅定是說
[23:50] 你一開始還是要
[23:51] 固定的粉絲
[23:54] 所以像我自己在做就比較容易
[23:56] 因為我自己就是手上有不同的帳號
[23:58] 我就可以去
[23:59] 開始先去按讚留言
[24:01] 那如果你們沒有的話
[24:02] 那你不用回心
[24:04] 因為你可以把你寫的文章或是你的作業
[24:08] 你把你把它分享到圈柱裡面
[24:11] 那對我來說我就是
[24:13] 會去幫你按讚或是轉貼
[24:15] 留言就不理貼
[24:16] 就看我沒有空
[24:18] 對那這個就是說
[24:19] 其實我們課程裡面也是推廣的模式
[24:21] 就是說大家是一個立他的模式
[24:24] 因為轉貼對你來說
[24:25] 不用花
[24:26] 不用花一秒鐘
[24:27] 那這個是一個沒有成本的這個
[24:30] 你在幫助別人
[24:31] 那為什麼不去做
[24:32] 所以只要你
[24:34] 就是算說你們可能
[24:35] 可能有粉絲數
[24:36] 你們也只有一個帳號
[24:37] 但是只要你們
[24:38] 照我們作業中的一些這個
[24:41] 呃
[24:43] 任務去寫
[24:44] 然後你把它分享到圈柱裡面
[24:45] 我除了會給你會會之外
[24:47] 我還會順手上去幫你按讚轉貼
[24:50] 所以你們也解決這個問題
[24:52] 對那再來就是說
[24:54] 呃
[24:56] 嗯那些模板很多
[24:57] 因為你可能是
[24:59] 別人寫的
[25:00] 那你其實有時候你
[25:02] 如果去
[25:03] 用他們的這個文章的模式的話
[25:05] 你很容易去
[25:06] 變成是抄襲
[25:08] 所以像我以後整理就是30篇的這個
[25:12] 30篇的開上版
[25:14] 這個就剛剛有分享過
[25:16] 然後之前也分享過
[25:18] 那沒關係就是這些
[25:19] 基本上都是我寫的
[25:21] 就是這些全部的報紋基本上都是
[25:24] 呃基本上都是我原創
[25:27] 那這些東西你們就可以去
[25:30] 你們可以去參考
[25:31] 我建議不要完全一樣
[25:32] 但是反正你參考我的話
[25:34] 基本上沒有什麼疑慮
[25:35] 因為你本來就是
[25:36] 有上額課的學生
[25:38] 那你去參考我的話
[25:39] 基本上就不太會有
[25:40] 那種呃什麼疑慮之類的
[25:42] 對
[25:44] 這樣子
[25:45] 對所以就是這個就是為什麼要用這些模板
[25:48] 跟去測試呢
[25:50] 因為我們在測試期的時候
[25:51] 最重要就是要找到一個
[25:53] 成功的模式
[25:54] 比方說像我在幫客戶操作的時候
[25:57] 我就是找到一個成功的模式
[25:59] 看一下我有沒有分享一下
[26:03] 對
[26:05] 好的
[26:05] 反正就是這個也是我們
[26:06] 政客中會整理的文章
[26:08] 然後其實在我們作業30篇裡面
[26:10] 其實我也都
[26:12] 呃會錄訊
[26:13] 我已經把它放上去了
[26:14] 那我可能會錄去看到一些
[26:16] 可能不錯的範例
[26:17] 我會錄訊新增在那邊
[26:19] 對所以你就可以去寫
[26:20] 就是可能是
[26:22] 教學文
[26:23] 或是在寫故事的
[26:25] 那或者是爭議
[26:26] 比方說今天
[26:27] 可能Andy的事
[26:29] 那個最近Andy的事很紅嘛
[26:31] 那你就寫一個逆風
[26:32] 你可能寫一個不同的觀點
[26:33] 你可能不要完全是
[26:34] 講說無腦支持Andy
[26:37] 你寫一個不同的
[26:37] 說他其實從另外一個角度
[26:39] 可能家齡也有
[26:40] 相對方我覺得是對正確的
[26:43] 那這種就是會引起一些爭議
[26:45] 但是建議是你真實這樣
[26:47] 覺得你在這樣寫
[26:48] 對那還有就是問答
[26:50] 問答型的就是比較偏向是說
[26:52] 你發起一個話題說
[26:54] 可能
[26:55] 可能1991年
[26:56] 大家現在在做什麼工作啊
[26:58] 或說你今天是深心裡的
[27:00] 問大家都是怎麼樣去
[27:02] 呃
[27:02] 撐過怎麼去撐過第一年找到客人
[27:05] 反正就是問一些
[27:06] 可能你自己真的很好奇的事情
[27:08] 我覺得這個就是不同類型
[27:10] 那
[27:11] 這個就是剛剛講的
[27:12] 我們把我把你整理進來
[27:17] 好
[27:17] 那
[27:19] 這個就是說重點
[27:20] 就是要找到你的成功的模式
[27:22] 對
[27:23] 像是這個就是
[27:24] 我也是幫那客戶操作了以後
[27:25] 我就跟他講說
[27:26] 我現在已經確定這個模式有效
[27:29] 所以我就會先用這個
[27:30] 格式去發
[27:32] 因為我找到
[27:33] 因為像
[27:34] 像奧美的那個創辦人
[27:36] 就是那個叫做夜什麼
[27:39] 葉明貴
[27:40] 奧美的不是創辦人啊
[27:41] 就是那個他們廣告長
[27:43] 就是傳奇人物
[27:45] 廣告業的傳奇人物
[27:46] 葉明貴
[27:46] 老師
[27:48] 還都說過一句話就是說
[27:50] 呃
[27:51] 他們
[27:51] 那時候
[27:52] 就是想了一些創意
[27:54] 後來幫全聯想一個創意
[27:55] 然後後來就是全聯先生就爆紅
[27:58] 所以那很多人就開始
[28:00] 下面的人格
[28:02] 就是爆紅了後就哇
[28:03] 效果非常的好
[28:04] 然後下面的人很多那個
[28:06] 廣告業的菜鳥
[28:07] 或是那些精靈
[28:09] 第二年第三年的時候
[28:10] 他跟葉明貴說
[28:12] 哎我們來
[28:13] 我們來做一些創新吧
[28:15] 可能全聯先生我們來讓他搞一些其他的東西
[28:18] 然後那時候葉明貴就跟他說
[28:19] 他說你不要給勞
[28:21] 對
