[00:00] 我真的不知道為什麼我在路上遇到綠色和平
[04:31] 就是我以後可以常常用ai的可能把我的文字順了比較
[04:36] 在這上面大家可能比較容易看或者是
[04:39] 可以幫我寫一個架構出來我以後可以用某一些主題架構去調整他這樣子你說
[04:49] 你說我嗎我沒有文筆啊
[04:51] 你們自己去看我要說我沒有文筆可言好嗎
[04:55] 這是我的講話方式啊
[04:57] 這就是
[04:58] 我覺得最最我覺得最重要的重點只是我講話不
[05:03] 對我不投你帶水
[05:04] 我要嘛就是條列
[05:06] 要嘛就是我會寫一段字就這樣
[05:09] 對然後有時候我我大部分部分其實反應也沒特好
[05:13] 那我不是每天PO
[05:14] 可是只要我真的很精準的調列出來一些方法具體的
[05:19] 然後並且分享我自己個人的親身經歷他在我身上是怎麼運作的
[05:24] 然後他是在什麼時間點發生的
[05:27] 然後我用了多久他發生了
[05:29] 對那那個東西其實可能有些人看了會很心動吧
[05:32] 可能自己也想試試看
[05:33] 他可能就會想要來跟我互動這樣子
[05:36] 所以真的沒有文筆可言啊
[05:42] 對啊我就是沒有
[05:44] 沒有什麼文筆就是就是想你說的我就是不講廢話我就條列這樣子
[05:49] 好我看我剩10秒了
[05:51] 沒有問題我直接控制他
[05:54] 哈哈哈哈
[05:56] 有啊你一開始有跟我說所以我就很高興這樣子
[06:02] 但是我要跟大家說齁你到底活的活得快不快樂
[06:05] 我覺得大家可以聞聞看你連到一塊熱比例有多少
[06:09] 你感受到平靜的
[06:11] 剛剛那個有一個先生在講平靜大於快樂對吧
[06:14] 我其實非常認同他就是
[06:16] 你的生活可不可以過平靜我覺得這是
[06:19] 身為一個人回到最終的原點你每天能活的平靜
[06:22] 這是很不容易的
[06:24] 因為我們大部分的人每天活在各式各樣不同的情緒裡面
[06:28] 但是每一種情緒他就只是一種能量波
[06:31] 其實回到一個平靜反而才是一個平衡的狀態
[06:34] 對所以我這邊寫你活得開心嗎就是因為
[06:38] 其實我我發現住在台北的人大部分不開心啊
[06:44] 哈哈哈哈哈哈
[06:46] 你可以對啊就是你有學
[06:48] 我們同學嗎
[06:50] 哈哈哈哈哈哈
[06:51] 哈哈哈哈
[06:52] 我很認真練
[06:54] 對所以我這邊要為什麼寫知行合一驗證身心理工
[06:57] 我覺得現在身心你太亂了對嗎
[06:59] 你就看那些怪力亂神你也不知道他到底是真的是假的
[07:03] 然後前一陣子不是那個家庭嗎
[07:05] 上了心靈課程之後
[07:06] 排毒是不是排毒精神排毒
[07:10] 那這個東西其實我覺得我我我個人的角度都是
[07:14] 你如果遇到一個東西你真的喜歡他或者是你有一點感覺
[07:17] 你就不妨自己去試試看
[07:19] 但是
[07:20] 你試了過程當中你還是要保有你自己的一個缺失
[07:24] 那缺失的過程他其實到底帶給你的是什麼
[07:27] 那就是每一個人
[07:29] 在我們內在發酵的東西不一樣
[07:31] 對所以我的串很簡單就真的沒有什麼
[07:34] 我現在也沒多少追蹤人數啊
[07:35] 就是比起各位前輩來說
[07:38] 在做應該很多人都比我多吧
[07:40] 對所以其實感謝四方的邀請
[07:42] 我覺得我今天應該也可以就是認識很多各方厲害的人
[07:46] 那有問題的話可以在
[07:48] 我們在會後交流這樣子
[07:50] 好謝謝
[07:52] 好啊
[07:53] 包餡上的小午飯如果問電話
[07:56] 對現在有
[07:59] 學生真實的感覺這是寫我嗎
[08:02] 周先生
[08:02] 哎宇宙先生我們喝咖啡可以嗎
[08:05] 我直接約你
[08:07] 我真的要先開放
[08:09] 就是大家要聽到這個問題好
[08:12] 可以幫我打打
[08:13] 好謝謝
[08:15] 問那個問
[08:16] 就是
[08:18] 能不能分享一段
[08:19] 嗯在各種身心
[08:22] 好體驗或學習過程中覺得
[08:26] 對不可思議的
[08:27] 嗯感受
[08:29] 感受嗎
[08:32] 感受或體驗好我分享一個
[08:35] 因為我一開始進入到這一圈
[08:37] 是學美國的一個超爵鏡做
[08:39] 他其實是一個印度人的體系
[08:41] 對大家有興趣可以去查超人的超
[08:43] 絕對的學這樣子
[08:45] 然後我我覺得為什麼我敢寫自行合一
[08:49] 是因為我用我學我花錢學到份工具
[08:51] 我是真的每一天在用
[08:53] 所以我學五年前學超爵鏡做到
[08:56] 現在我每一天做我沒有任何一天沒做
[08:59] 對
[09:00] 所以SARC5那一套我也會每天做
[09:02] 每天我早上兩個小時的早課不誇張
[09:05] 我還念定債王金呢
[09:07] 好反正呢
[09:08] 我覺得最不可思議的感受其實是
[09:10] 我在
[09:11] 呃我在這一年多來
[09:13] 就是在修復我自己在回關
[09:15] 內觀我自己的過程當中
[09:17] 我發現我的冥想能力已經到達
[09:20] 我可以遠端看到我父母現在在幹嘛
[09:23] 我是認真的
[09:24] 我前一陣子
[09:25] 不知道為什麼有一天在跟天使溝通的時候
[09:29] 好啦有些人覺得怪略亂損也沒有關係
[09:31] 其實聽聽就好什麼
[09:34] 呃
[09:36] 不是 Gabriel 是那個米卡拉跟那個
[09:39] Malachon
[09:40] 我是跟米卡拉Malachon在溝通
[09:42] 我跟他說因為我們家最近發生一些
[09:44] 不太好的事
[09:45] 所以我希望他們可以我希望送祝福給我的
[09:48] 父母我希望他們可以保護我們家
[09:50] 希望他可以幫我進化一下遠端進化一下
[09:52] 我的家
[09:53] 然後我就開始遠端連線
[09:55] 然後我就跟那些天使溝通的時候
[09:57] 我就開始遠端連線
[09:58] 然後遠端連線發現我爸媽不在家
[10:01] 然後我就我就開始因為那時候是第一次
[10:04] 我我突然很懷疑
[10:06] 想說他們是真的不在家嗎
[10:08] 還是只是我以為就是我臉
[10:10] 我沒有臉對就是對
[10:13] 然後但是後來我就
[10:14] 我就有點像是在 Zoom in 那個台北市地圖
[10:16] 你知道嗎
[10:17] 我就開始 Zoom in Zoom out
[10:18] 我就再找他們到底在哪
[10:20] 然後我發現他們在某一家
[10:21] 某一個區域的某一家銀行裡面
[10:25] 然後我就想說好吧
[10:26] 那現在這樣反正天使你就是
[10:28] 我爸媽在哪就幫我就是
[10:29] 給他一些祝福照顧他們一下
[10:32] 然後後來我冥想結束之後
[10:35] 我去做瑜伽我去做瑜伽
[10:37] 我做完瑜伽之後
[10:38] 我就打開了我的手機
[10:39] 我想跟我爸驗證一下他們到底
[10:41] 什麼時間在什麼地方
[10:43] 結果發現我不用根本不用問
[10:44] 因為我爸傳了一張
[10:45] 他們就是在那家銀行的照片給我
[10:48] 而且就在那個時間
[10:50] 然後我就問他說
[10:51] 你們知道該是幾點出門的對不對
[10:53] 然後他我爸就說
[10:54] 差不多這樣子
[10:56] 然後我就發現哇
[10:57] 現在可以遠達連線的
[10:59] 可以遠達工作
[11:02] 我我目前手法沒有用
[11:04] 那他可以怎麼變現
[11:05] 我可以跟你聊一聊嗎
[11:08] 這樣所以這大概是
[11:10] 就是跟我身體無關
[11:11] 但是我發現怎麼有這樣的一個功能
[11:15] 是你想聽的
[11:15] ok ok
[11:19] 歡迎寫歡迎寫
[11:20] 好那我回答到這邊
[11:22] 哇哈哈
[11:35] 你好
[11:37] 我我
[11:38] 我其實想要問
[11:40] 就是也是身心靈方面的問題
[11:43] 因為因為其實我也常常上網
[11:46] 看到各種身心靈老師啊
[11:48] 或者是大家在在交通
[11:50] 你要明顯啊什麼
[11:51] 什麼感受性會很強啊等等之類的
[11:53] 其實我看非常多
[11:55] 可是我覺得我是一個
[11:57] 很遲鈍的人啊
[12:00] 就是我不管怎麼聽啊
[12:02] 怎麼學習啊
[12:04] 我還是沒有那種感覺
[12:05] 就是我不覺得我有任何的進步
[12:08] 還是什麼
[12:09] 我不知道是因為
[12:11] 可能也許我是理性的人還是怎麼樣
[12:13] 我是工程師這種
[12:15] 所以我一直沒有那種
[12:17] 就是就是
[12:19] 大家說的那種
[12:21] 什麼敏感的啊
[12:22] 還是我感應到什麼了
[12:24] 我我領悟到什麼了
[12:25] 我通通都沒有
[12:26] 對不對所以我還是
[12:28] 還是很好奇想說有這個機會的話
[12:30] 想向您請教一下
[12:32] 要要怎麼有那種感覺或者是
[12:35] 要如何開始之類的
[12:36] 哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦
[13:06] 有点问题就是
[13:08] 哦
[13:09] 我我其实之前也在资讯业
[13:11] 而且我在我后来到大公司真的是大型外商SAP上班
[13:15] 对然后我是后来一直跳槽跳槽跳槽然后才看到才看到整雅台
[13:20] 其实我跟你说我觉得我们的人都是有灵性的因为我们
[13:26] 我不知道你相信灵魂啊
[13:28] 就是我们人是有灵每一个人都有灵性只是
[13:32] 你你你会把他用在哪个地方
[13:37] 对那但是我觉得回到一个源头是
[13:41] 灵修的本质不一定是要去追求我刚说的那种神秘体验
[13:46] 因为我一开始灵修的力的切入点是为了让我自己平静
[13:52] 因为我每天不开心吗
[13:54] 我每天情绪压力很大其实我告诉大家大家听到我领那薪水每天
[13:58] 的工作内容没有气质因为我超轻松的
[14:01] 但是我每一瓶压力很大是我自己从里面出来的
[14:05] 所以我灵修一开始目的真的只是为了
[14:08] 找回那个平衡的状态
[14:12] 因为不平衡太久
[14:14] 对所以你说那个东西就是
[14:18] 我觉得什么东西都是起心动念你想要结束这个东西
[14:22] 一开始原始的意图是什么
[14:24] 但是我要跟你说如果你一开始的意图是像我刚说你想要有那种神秘体验的话其实也没有不对
[14:31] 对而是说
[14:33] 这件事情它能不能发生有时候是时间到了就会发生
[14:39] 但重点是所有的工具你都要
[14:43] 有强度的去使用它
[14:46] 对所以我一直讲知情合一是因为
[14:49] 知语型的距离很远嘛
[14:51] 你花钱学了一个知识你没有去用就像师傅开那个脆
[14:55] 他讲老半天然后就有人躺在家没有想弄脆那其实也是事情不会发生
[15:00] 对所以其实如果你想要追求那个神秘的体验我觉得也可以但前提就是你可能要像我一样你每一天要用
[15:07] 你每天要花一点时间给自己一段时间跟自己在一起然后
[15:11] 你想要花钱学也可以像我一样或者是你想要去看你觉得网络上谁你看的比较顺眼
[15:18] 他讲东西你觉得比较相信
[15:20] 然后你每一天尝试去使用他
[15:23] 或许时间到了之后
[15:25] 那些神秘体验他就会发生在你的身上
[15:29] 因为其实我们本来就是可以连结的道的人啊我们人本来就零
[15:35] 我们的灵本来就能力连道人家说举头三尺有神明的吧
[15:40] 我们举头三尺真的有神明
[15:41] 因为是我们自己的高我他一直在给我们指示
[15:43] 只是我们肉我们就像肉眼有看得见的光谱跟耳朵听得到的那个音频频段
[15:50] 但是你说出了这些频段的东西都不存在吗不是吧
[15:55] 而是我们没有办法去打开我们可以去感知得到的那个频段的那个灵性去结到他
[16:03] 所以我觉得回到一个源头就是你还是得每天去做
[16:07] 对你没有每天练我觉得效果可能可能不大啦
[16:12] 所以还是看你的意图跟使用的频率这样子
[16:18] 好
[16:26] 哈哈
[16:28] 对了
[16:33] 这段认识一个
[16:36] 啊
[16:41] 嗯
[16:45] 嗯
[16:50] 啊
[16:55] 哈哈哈哈
[16:58] 哈哈哈哈
[17:05] 哈哈哈哈
[17:09] 等下要先开
[17:10] 也是有更之号
[17:13] 就是哎
[17:14] 他是有去开启这样的哦
[17:16] OK
[17:17] 他也不能他去开启
[17:18] 哦
[17:18] OK
[17:19] 他开启真的要注意哦
[17:21] 嗯
[17:25] 厉害的厉害的是可以有这个能力你要练
[17:29] 对
[17:29] 对
[17:29] 然后是可以感觉到
[17:31] 谁都能延续
[17:32] 嗯
[17:32] 这一种延续
[17:33] 我们是我们神
[17:34] 像A神
[17:37] A神联结
[17:37] 然后A神可以给我们一些讯息
[17:39] 那不要怎么分辨
[17:41] 这种就听不到感觉到A神
[17:43] 带有任何讯息
[17:45] 对有人是有去训练这样一个
[17:47] 嗯
[17:47] 其实东东我举个例就像无线电一样
[17:49] 以前不是要调那个频率吗
[17:52] 或者是以前那种
[17:53] 那个那个广播节目
[17:55] 也不是要去调那个频率吗
[17:57] 有点类似那个概念
[17:58] 就你调到那个频
[18:00] 你调到了
[18:01] 哦
[18:01] 你就结了
[18:02] 这样子
[18:03] 但是就像刚刚那个那个段数有点太高
[18:05] 就你调到了
[18:06] 然后你要把关起来调走
[18:08] 那那是另外一个阶段
[18:09] 有些人是调到了
[18:11] 关不起来
[18:12] 对
[18:12] 那个状况比较多
[18:13] 所以还是要注意一下好不好
[18:15] 不要乱开
[18:16] 就不要乱开啊
[18:20] 就是如果有些人跟你说
[18:21] 我可以帮你开哦
[18:22] 我觉得
[18:22] 停停就好
[18:24] 真的要不要去做
[18:25] 你真的要谨慎
[18:26] 因为这种东西不是开了
[18:27] 你就
[18:28] 你就飞天了
[18:29] 你知道吗
[18:30] 就是你开了之后
[18:30] 你可能会有一段很可怕
[18:32] 很混乱的日子
[18:33] 因为
[18:33] 真混
[18:34] 对
[18:34] 你就会开始接到一些你原本不会接到
[18:37] 是你知道台北市已经够乱的
[18:40] 然后你要去接台北市以外的那个
[18:42] 那个频段的东西
[18:43] 然后那个资讯量超大
[18:45] 对
[18:46] 对对对
[18:47] 好的
[18:48] 你刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚刚
[20:18]  个人图像非常的可爱
[20:19] 刚刚刚有提到他是适峰在台大非常优秀学长吗
[20:23] 都想说是亨利温吗
[20:25] 原来是亨利洋
[20:26] 刚刚好亨利这系列蛮多人的
[20:29] 好 那我们欢迎亨利洋
[20:35] 感谢适峰的邀请
[20:37] 今天听了非常多非常有收获的内容
[20:40] 也感谢刚刚宇宙先生跟Win的分享
[20:42] 我觉得是太有收获了
[20:44] 那大家好 我是Henry Yang 亨利洋
[20:47] 那我在网路上的身份是一个专门教
[20:50] Excel跟Google Apps Script的老师
[20:55] 那为什么我一开始会开始进到
[20:57] 脆这个平台呢
[20:59] 其实我这个人有一件事是
[21:03] 我最无法接受我最讨厌的事是浪费
[21:07] 我是一个非常讨厌浪费的人
[21:09] 我讨厌浪费钱也讨厌浪费食物
[21:12] 我更讨厌的是浪费经历 浪费时间
[21:15] 浪费我的人生
[21:17] 那比如说
[21:18] 离拜六下午我就很不喜欢待在家里耍费
[21:21] 所以我来到这边跟各位优秀的朋友交流一下
[21:24] 我觉得这是
[21:26] 不要浪费自己人生一个具体的做法
[21:29] 我讨厌浪费时间
[21:31] 浪费人生到了一个什么样地步呢
[21:33] 有一次
[21:35] 我在公司上班
[21:36] 我本夜是一个工程师
[21:38] 写程师的工程师
[21:40] 有一天工作很忙
[21:41] 就是我很焦虑
[21:43] 就觉得事情快做不完
[21:44] 我就一直在位置上写程师
[21:47] 就在这时候我发现
[21:48] 就我刚好看到一个
[21:50] 其实我说
[21:51] 老实说是一个我蛮讨厌的同事啊
[21:53] 我看到一个很讨厌的同事
[21:55] 他
[21:56] 在用一个非常原始
[21:59] 非常手动
[22:00] 就是这样白一点就是很笨
[22:02] 而且很慢的方式在处理他一次的资料
[22:06] 我看不下去
[22:07] 我就过去把他健康化学抢过来说
[22:10] 请不要浪费时间
[22:12] 好他好歹说我不喜欢大家老实说
[22:15] 他好歹是我的同事
[22:16] 他浪费时间
[22:17] 就是浪费我们公司时间
[22:19] 我觉得这让不行的
[22:20] 我就教他说
[22:22] 一次应该怎么用才对
[22:24] 不可以这样浪费时间
[22:26] 我就是一个非常讨厌浪费的人
[22:29] 我讨厌自己浪费
[22:30] 我也讨厌看到别人浪费
[22:32] 那我觉得像我同事这种人
[22:34] 我应该要一个一个把他
[22:36] 揪出来
[22:37] 消灭掉
[22:38] 好消灭掉不是消灭掉他这个人
[22:40] 我们是要消灭这个浪费的行为
[22:43] 对消灭浪费行为
[22:44] 我后来发现
[22:45] 哎我这样一个一个交一个一个
[22:48] 消灭太慢了
[22:50] 所以我就想说要有一个大规模
[22:52] 这个有效的方式来消灭浪费
[22:56] 所以我开始学习经营翠
[22:58] 因为我想要把这些工作
[23:00] 更聪明自动化的技巧
[23:02] 交给大家大家学会
[23:03] 好我是在2024年6月加入翠的
[23:08] 那这个一路上
[23:09] 其实也是边玩边试
[23:11] 迪迪的状况
[23:12] 那在这过去这半年之中
[23:15] 就是我我其实试了很多
[23:17] 做个策略
[23:18] 但我也玩出一些心得
[23:19] 那今天就想用简短的时间
[23:21] 跟大家分享
[23:22] 我在过去半年使用翠的
[23:25] 真有用的三个秘诀
[23:28] 好真有用
[23:29] 对应的三个秘诀
[23:30] 第一个真就是真实的力量
[23:34] 我有一篇文在我翠上
[23:37] 就相对来说效果也不错
[23:39] 是大概有几万的浏览
[23:41] 然后有上千人按赞
[23:43] 然后有破百的转发分享
[23:45] 那篇文是一个什么样的文呢
[23:47] 它不是我最精雕细琢
[23:51] 花最多时间去写文笔优美的文章
[23:54] 不是
[23:55] 它也不是我最有梗
[23:57] 最好笑
[23:58] 或是最用心思考深刻的文章
[24:01] 也不是
[24:01] 那篇文章是一个我非常真实的
[24:05] 生活经验
[24:06] 非常真实的感触
[24:08] 是关于XL感触
[24:09] 那一篇文
[24:11] 效果非常好
[24:12] 我有一篇发现说
[24:14] 对你不需要去模仿或抄袭别人
[24:17] 就是做你自己
[24:18] 真实就有力量
[24:20] 师鋒老师也常常跟我们提醒对
[24:22] 真实就有力量
[24:23] 我想
[24:24] 请说
[24:25] 那个群子没有问说他
[24:27] 之前有没有问说他做真实自己
[24:29] 就可能接地气没有看
[24:30] 会不会要做好
[24:32] 哎我觉得这个问题问得非常好
[24:33] 真的是有思考才会想出
[24:35] 才会问出这个问题
[24:37] 我觉得所谓真实自己是你要
[24:39] 终于本心
[24:40] 你的出发点是你的真实自己
[24:42] 但是我们永远都要像优秀的
[24:45] 讲师学习说
[24:46] 怎么样把你真实自己用好的包装
[24:48] 好的收发
[24:49] 好的表达讲出来
[24:51] 我们每个人都有自己的人生故事
[24:54] 可是你讲出来精彩或不精彩
[24:56] 别人听了有收获没收获
[24:57] 这是我们需要去学习的
[24:59] 所以你还是有你真实的自己
[25:01] 可是你要用很有技巧的方式
[25:04] 来把它表达出来
[25:06] 嗯
[25:07] 那
[25:08] 哎作家王尔德讲过一句话
[25:10] 就是你还是做自己吧
[25:12] 因为其他的所有人
[25:14] 都有人做了
[25:15] 你还是做自己吧
[25:16] 那做自己
[25:17] 我觉得在精英翠这件事上
[25:19] 他是最
[25:21] 轻松而且有效的方式
[25:25] 好
[25:25] 这是
[25:26] 精英翠我三个真有用的秘诀
[25:28] 第一个真就是真实的力量
[25:31] 第二个是有专业实力
[25:34] 作为基礼之后
[25:35] 你跟他用空俗的言语
[25:37] 简单的内容来跟你的
[25:40] 读者跟你的受众拉近距离
[25:42] 像
[25:43] 因为我在最上身份是教 xl 跟 Google
[25:47] 那我就会去学习三考比较
[25:50] 不同的类似的
[25:52] 这些讲师其他的账号是怎么经营的
[25:55] 那有时候其实我自己在想
[25:57] 哎我要发什么的题材
[25:58] 来跟大家分享的时候
[26:00] 我就会陷入一个困境说
[26:02] 我一定要
[26:03] 这个拿出一个很
[26:04] 专业很厉害
[26:06] 好可以做到很强功能的自动化
[26:08] 来跟大家
[26:08] 分享就是这个可能我累积了
[26:12] 一个月然后想要发一个厉害的出来
[26:13] 给他看一个报纹
[26:15] 那我发现哎其实
[26:17] 不需要
[26:18] 专业是哪来跟同行交流的
[26:20] 但是如果你想要接触
[26:22] 萃上的火螺大众
[26:24] 你要学习用更平易近人的方式
[26:27] 来跟大家思考来跟大家分享
[26:30] 像有的时候我去看一些我学习
[26:33] 就所谓对标账号
[26:34] 或是一些大神
[26:35] 我想要
[26:35] 想说哪一定可以到那个地步的时候
[26:37] 我就想说哎
[26:38] 他发
[26:39] 这么简单的东西
[26:40] 你发的一个超简单的函数
[26:43] 我觉得这个就是尝试
[26:44] 发这个有用吗
[26:46] 实际上就真的有用
[26:47] 因为你觉得是尝试的东西
[26:49] 在你的意愿内可能大家都知道
[26:51] 可是在萃上
[26:53] 多的是那些
[26:54] 像我同事一样这个
[26:56] 不可能说又笨又懒啊
[26:57] 就是反正就是他们很需要这样的知识
[27:00] 你就是要用
[27:01] 简单的方式
[27:02] 让他们能够看见
[27:04] 有时候为了让别人看见你的专业
[27:06] 你必须
[27:07] 没那么专业
[27:09] 渐渐让大家可以看到
[27:11] 他可以
[27:12] 就他看到你的文章
[27:13] 他不会觉得哦好难好厉害
[27:15] 你真是专业人才不要
[27:16] 你要让他觉得哇好简单
[27:18] 原来我也做得到
[27:19] 他就会来
[27:20] 这个是更进一步的了解你追踪你
[27:23] 好这是真有用的
[27:25] 第二个秘诀就是
[27:26] 有专业实力作为基底
[27:28] 而且
[27:29] 要用通俗的言语拉近距离
[27:32] 第三
[27:33] 学了要有去用
[27:36] 你学到才会有用
[27:38] 刚说到我是去年
[27:40] 6月
[27:40] 开始经营税
[27:42] 那其实在那之前
[27:44] 我其实
[27:45] 学了很多
[27:46] 我
[27:47] 看了很多书
[27:48] 也上了一些课关于
[27:50] 自媒体经营
[27:51] 包含这个写作技巧
[27:53] 好我是一个很想要成为
[27:55] 写作达人的人
[27:57] 所以我有
[27:58] 看了一些
[27:59] 写作达人推荐的书的写作
[28:02] 书籍跟课什么
[28:04] 那我发现
[28:05] 就是
[28:06] 学了这么多东西我觉得
[28:08] 那些
[28:09] 老师讲师
[28:10] 教的都是一些
[28:12] 美用的东西
[28:16] 再更一步
[28:17] 更近我发现
[28:18] 对他们教的一些美用的东西
[28:19] 但不是老师讲的内容是美用的东西
[28:21] 什么是美用的东西
[28:23] 我
[28:23] 才是那个美用的东西
[28:26] 我
[28:27] 老师都教一些美用的东西
[28:28] 那个美用的东西就是我自己
[28:29] 为什么
[28:30] 因为我
[28:31] 没去用
[28:32] 好
[28:33] 我去年6月加入翠
[28:34] 但是其实我真的开始有玩出一些心得
[28:37] 然后有开始
[28:38] 涨粉
[28:38] 其实是
[28:39] 9月10月那时候是
[28:41] 为什么呢
[28:43] 因为我从那时候他开始才有去用
[28:45] 那怎么样会
[28:46] 有的关键让我从美用的东西
[28:48] 变成有去用
[28:50] 是因为有关键我那时候
[28:51] 呃
[28:53] 可以说是参加了一个
[28:55] 可以理解是陪跑团
[28:56] 就是
[28:57] 一个人你自己努力你用意志
[29:00] 要要求自己说日更
[29:02] 我要每日三更五更
[29:03] 但是
[29:04] 意志力很快就会有用完一天
[29:06] 可是
[29:07] 我那时候9月的时候就跟几个小伙伴一起
[29:10] 我跟一起
[29:11] 写作然后一起在网络上发表
