[00:00] 今天這支影片要來挑戰
[02:09] 那為什麼會有人看呢
[02:10] 因為平台爸爸要推流量給你拿
[02:13] 他推流量要去把短影這個產品
[02:15] 跟抖音競爭
[02:16] 我們身為一個普通的老百姓
[02:18] 就不用去管他們之間的名爭暗奪
[02:21] 我們就好好的享受這個流量紅利
[02:22] 就好了
[02:23] 第一個單元
[02:24] 賺錢篇
[02:25] 短影盈到底是怎麼賺錢的
[02:27] 大家在那邊講說
[02:28] 短影變現
[02:29] 短影變現講的天花亂墜的
[02:30] 但是具體上
[02:32] 到底普通人要怎麼透過短影盈來賺錢呢
[02:34] 其實就是四種方法
[02:36] 第一種方法
[02:37] 平台的分潤
[02:38] 大家都知道
[02:39] 如果你的影片在YouTube上面
[02:40] 是有流量的話
[02:41] YouTube是會分潤給你的
[02:43] 但是YouTube上面的Shorts
[02:45] 你要獲得分潤的話
[02:46] 我記得那個門檻很高
[02:47] 你要從上面得到分潤是比較困難的
[02:49] 但有一個好消息
[02:50] 就是現在Facebook
[02:52] 開始有給平台的創作者
[02:54] 流量的分潤
[02:55] 你看我在9月7號的時候
[02:57] 寫了一篇文章
[02:58] 這篇文章1972個按讚
[03:01] 130次分享
[03:02] 幫我帶來了18.37塊美金的收益
[03:06] 薯條可以加大了
[03:08] 我在8月19號的時候
[03:09] 也拍了一支我去住院的影片
[03:11] 這一部影片4600個按讚
[03:14] 幫我帶來了34.56塊的收益
[03:17] 剛好直接幫我付掉了住院的掛號費
[03:19] 所以我現在每個月
[03:20] 透過Facebook平台帶來的流量分潤
[03:23] 大概是6000塊台幣
[03:25] 不無小補
[03:27] 第二個收入的來源就是
[03:29] 業配收入
[03:31] 流量做起來
[03:32] 你不用擔心
[03:32] 業配的廠商就會來找你了
[03:34] 我們有個學生叫做
[03:35] 彩妝師米妮
[03:36] 他就是一開始去拍一些改造計畫
[03:39] 然後彩妝的這些開箱
[03:40] 開始就有保養品跟化妝品的廠商
[03:42] 來找他業配
[03:43] 然後我們還有一個同學叫做
[03:45] 凱浩
[03:45] 他是做離屍的
[03:47] 我通常離屍要業配什麼
[03:49] 有廠商因為覺得
[03:50] 他的衣服穿得很帥
[03:52] 所以找他業配西裝
[03:54] 所以只要你的短銀做起來以後
[03:56] 你會發現有非常多的業配機會
[03:59] 像我自己在經營短銀的時候
[04:01] 我主要是在業配師傅平台上面的課程
[04:03] 比如說我分享的手機
[04:05] 攝影世界冠軍PETI的課程
[04:06] 光是這篇短影片
[04:08] 就帶來了39萬8200塊的業績
[04:11] 另外一篇我再介紹
[04:12] 超級個體工作宿
[04:13] 我在業配這個課程
[04:15] 帶來了123萬的業績
[04:17] 我大概一個月會收到
[04:19] 6到8封的業配的邀約
[04:22] 假設說我都接
[04:24] 我來者不拒
[04:25] 每一篇我都收2萬塊的話
[04:26] 我可能透過業配帶來的收入
[04:28] 一個月就是12萬
[04:30] 第三個收入叫做代操收入
[04:32] 你今天很會拍短銀
[04:34] 不見得要幫自己拍
[04:35] 你也可以透過這個技能
[04:36] 去幫很多的廠商跟業主拍片
[04:38] 從中賺到福肥
[04:40] 市場上面現在代操一支短銀
[04:42] 大概是從3000到2萬都有
[04:45] 你一個月如果能夠拍30支影片的話
[04:48] 那你是不是就可以賺幾十萬
[04:50] 所以這個收入也還是不錯的
[04:52] 我們還有一個同學
[04:53] 就是學了短銀操作方式以後
[04:55] 就開始去做代操經營
[04:57] 哇 今年的營收已經超過500萬了
[05:00] 第四個我覺得是
[05:02] 普通人可以從短銀裡面賺到最大的錢
[05:05] 比如說像我們剛剛講的彩妝師名
[05:07] 因為他開始拍了短銀
[05:08] 所以有非常多的人想要找他上課
[05:10] 他現在的實力彩妝課是一味難求
[05:13] 包含像我們現在
[05:15] 在經營所有的現場課程
[05:16] 也都是用短銀在做行銷
[05:18] 像我們之前做的那個
[05:19] 誠信案的難求課
[05:20] 光是短銀就帶來了1000多萬的自然觀看
[05:24] 還有艾莎的現場課跟MELODY的課程
[05:26] 也全部都是用短銀在行銷
[05:28] 這個價值換算起來
[05:30] 至少都是幾千萬台幣了
[05:32] 更不用說因為透過短銀去
[05:34] 帶來的流量跟業績
[05:36] 所以我自己從短銀身上賺到最多的
[05:38] 其實是本業的收入
[05:40] 以上四種就是
[05:41] 你可以從短銀賺到錢的方法
[05:44] 再來我們要講到的就是
[05:45] 企畫片
[05:47] 首先第一個問題就是
[05:48] 我們要如何從零的去
[05:49] 建立一個短銀的帳號
[05:51] 那當你在開帳號的時候
[05:53] 你就會有非常多的欄位要填
[05:55] 那第一個你要遇到的就是
[05:56] 你的帳號名稱到底要怎麼取
[05:58] 取名字其實非常簡單
[06:00] 你就從下面六個元素
[06:01] 地區行業身份
[06:03] 逆稱裡面記一點
[06:05] C6取二
[06:06] 從六個元素裡面
[06:07] 隨便拿兩個出來做排列組合
[06:09] 比如說我們有個帳號叫做
[06:10] 來次銅找Sandy
[06:12] 那次銅就是地區
[06:14] Sandy就是逆稱
[06:16] 那還有另外一個叫做
[06:17] 來大道城找尼克
[06:19] 那也是用到一模一樣的方法
[06:21] 那台灣還有一個做
[06:22] 短銀非常有名的房仲
[06:23] 叫做民生社區老郭
[06:25] 民生社區就是地區
[06:27] 老郭就是逆稱
[06:28] 然後你看像我們還有一個朋友
[06:30] 叫做藍太太好生活
[06:32] 藍太太就是他的逆稱
[06:33] 好生活就是他的理念
[06:35] 透過這C6取二
[06:36] 你就可以做出無限的變化
[06:38] 那個元素也不要選太多
[06:40] 選太多根本就沒有人記得了
[06:42] 再來第二個敘述欄
[06:43] 很多同學都是寫說什麼
[06:45] 哇我是賣家具的
[06:47] 我的家具是最好的品質
[06:48] 給你最好的服務
[06:49] 貼心送到府
[06:50] 這種敘述欄根本沒有人要看
[06:53] 你在社群上面
[06:54] 如果看到太廣告的東西
[06:55] 你心裡會產生反感的
[06:56] 馬上就直接滑掉了
[06:58] 所以你的敘述欄
[06:59] 我給你一個萬用的公式
[07:01] 叫做你是誰
[07:03] 你有什麼可以炫耀的
[07:04] 你帶給用戶什麼樣子的價值
[07:06] 比如說我今天是一個房仲好了
[07:08] 那我就可以說
[07:09] 我是平哥
[07:10] 我生根台中房產10年
[07:12] 人稱台中活地圖
[07:14] 就三句話
[07:15] 把我這個帳號再做什麼事情
[07:17] 你為什麼要追蹤我
[07:18] 把他講完了
[07:19] 那你看
[07:20] 我雖然沒有什麼驚人的成就
[07:22] 我只是一個無名小族
[07:23] 可是我在台中我可是地頭蛇
[07:25] 哪一家的巷口有什麼麵好吃
[07:27] 哪邊的房子曾經出過意外
[07:30] 我都知道
[07:31] 所以我給你最新的台中買房乾貨
[07:33] 這就是我可以帶給用戶的價值
[07:35] 各位同學呢
[07:36] 你就可以按照這樣子的公式
[07:37] 開始去寫你的敘述欄
[07:39] 再來我們做短銀
[07:40] 就是希望用戶可以把你記住
[07:43] 這樣子下次有生意的時候
[07:45] 別人才會想到你
[07:46] 那要怎麼被記住呢
[07:47] 有一個非常簡單的方法
[07:49] 就是
[07:49] 精心設計你的服化道
[07:52] 服裝化妝跟道具
[07:54] 透過鮮明的形象
[07:55] 重複的出現在觀眾的面前
[07:57] 哇 看到一次 兩次 三次 四次
[07:59] 他就把你記住了
[08:00] 比如說
[08:01] 大家一般對於農會總幹事的形象
[08:03] 都是穿著比較樸素一點
[08:05] 可是你看我們的Sandy
[08:06] 哇 穿著白襯衫
[08:08] 草帽 眼鏡 戴著黑手套
[08:10] 很像是行走在農田間的CEO
[08:13] 所以那個反差感做出來
[08:14] 大家就對他印象特別深刻
[08:16] 我們還有一個朋友叫做
[08:17] 萊大豆城找尼克
[08:19] 他一開始就說
[08:20] Shoping 我又沒有什麼特色
[08:22] 就像一個普通人一樣
[08:23] 我要怎麼被大家記住
[08:24] 後來我就看到他那個店門口
[08:26] 掛著一串大蒜
[08:27] 我就說
[08:28] 不然你把這個大蒜
[08:29] 掛在脖子上面好了
[08:31] 搞得很像一個項鍊一樣
[08:33] 原來都是炫什麼精煉子
[08:34] 沒有 我們是炫這個
[08:36] 蒜頭 蒜頭自由
[08:37] 就變成他的精子招牌
[08:39] 還有像那個大院子的邱老闆
[08:41] 每次都一定要穿著他的經典的
[08:43] 藍色牛津盛山
[08:44] 手上永遠要拿這一杯大院子的飲料
[08:46] 邊走邊吸
[08:47] 講一口話還要吸一口這樣子
[08:50] 所以透過這些重複的形象
[08:52] 灌輸到觀眾的腦袋裡面去
[08:54] 再來第四個
[08:55] 人設到底要怎麼做
[08:56] 人設可以分成兩種
[08:57] 一種叫做專家型人設
[09:00] 一種叫做成長型人設
[09:02] 所謂的專家型人設就是說
[09:03] 在這個領域裡面
[09:04] 我最懂 我最專業
[09:06] 所以我講什麼就是什麼
[09:07] 比如說有一些那種專業型的
[09:09] 賬號像什麼醫師 律師 會計師
[09:12] 如果你的專業資質很夠的話
[09:13] 你確實可以在短時間之內
[09:15] 吸到大量的粉絲
[09:16] 可是做專家型人設會有一個問題
[09:18] 短引起來這麼久的時間
[09:19] 沒有幫這個社會帶來多大的好處
[09:21] 但是培養了一批酸民
[09:24] 所以即便你的東西講得再正確
[09:26] 那個酸民還是可以找到那個點
[09:28] 去攻擊你
[09:29] 那萬一有一天你不小心講錯了
[09:31] 馬上人設翻車
[09:32] 跌落神壇
[09:33] 哇 大家就趕快衝上來集體圍攻你
[09:35] 所以做專家型人設
[09:37] 起來了很快
[09:38] 但是一不小心就會翻船
[09:39] 所以我們更推薦新手做成長型人設
[09:42] 成長型人設就是說
[09:43] 我現在也在這個領域裡面學習
[09:46] 我只是稍微比你們學的前面一點
[09:49] 所以我也有可能是錯的
[09:50] 我錯我就改
[09:51] 改完以後就把我心學到的東西
[09:53] 分享給大家
[09:54] 這種人設就會讓你的粉絲黏足度
[09:56] 變得非常高
[09:57] 因為它會跟你非常的close
[09:58] 也比較不容易翻車
[09:59] 再來腳本到底應該要怎麼寫
[10:02] 你的靈感到底都是從哪邊來的呢
[10:04] 如果大家一開始
[10:05] 不知道短引怎麼拍的話
[10:06] 我給你三個靈感來源
[10:08] 第一個是YouTube
[10:09] YouTube已經經營了這麼久的時間了
[10:11] 各式各樣的話題
[10:12] 在上面早就已經有別人拍過了
[10:14] 所以你要判斷一個話題
[10:15] 有沒有流量最好的方式
[10:17] 直接去YouTube收碼
[10:19] 如果你今天要做一個
[10:20] 超市開箱的影片
[10:22] Cosco開箱跟微風超市開箱
[10:25] 你就會哪個流量會比較好
[10:26] 各位同學我們不用猜
[10:28] 我們直接去YouTube上面搜尋
[10:30] 你就會發現
[10:30] 這個微風超市流量最高的
[10:32] 也不過就實際玩觀看
[10:34] 可是Cosco開箱
[10:35] 最高可以到300萬的觀看
[10:37] 其實那個話題的流量天花板
[10:40] 就是在那邊
[10:41] 所以當你透過YouTube去搜尋完以後
[10:43] 你就會知道什麼樣子的話題
[10:45] 天生就是有流量
[10:46] 你拍起來才會四萬公倍
[10:48] 第二個你可以透過Google的關鍵字工具
[10:51] 這個大家沒有想到吧
[10:52] 你去Google廣告裡面
[10:54] 搜尋一個叫做Keywords Planner
[10:56] 你打開以後
[10:57] 輸入你想要講的那個話題
[10:59] 去看平均每個月
[11:00] Google的搜尋量有多少
[11:02] 我當初師傅在做一個
[11:03] 命理課的線上課程的時候
[11:05] 那個老師他可以教
[11:06] 八字風水跟面向
[11:09] 到底應該要教哪一個
[11:10] 後來我就說
[11:11] 我們不要爭論
[11:12] 我們直接去Keywords Planner裡面去看
[11:14] 面向一個月的搜尋量大概是5000
[11:17] 風水一個月的搜尋量大概是5萬
[11:20] 八字的搜尋量一個月是10幾萬
[11:23] 哪一個話題比較有流量
[11:25] 你根本就不要去猜
[11:26] 透過數據去告訴我們答案
[11:29] 聰明如各位你就知道
[11:30] 後來我們的老師教什麼主題了吧
[11:33] 我三個全都教
[11:35] 我三個流量都要
[11:36] 加起來才是最大
[11:37] 全科班
[11:38] 第三個如果你不介意用抖音的話
[11:40] 你可以去中國的抖音裡面
[11:42] 它有一個叫做
[11:43] 你可以根據不同的類別
[11:45] 點進去看
[11:45] 這個領域裡面
[11:47] 到底做的好的影片都是哪一些
[11:49] 比如說你就可以把流量前10高的影片
[11:51] 把它擷取出來
[11:53] 你在透過你自己的理解
[11:54] 跟你自己的話
[11:55] 去拍那10條影片
[11:57] 當你在創作的時候
[11:58] 如果你選的話題
[11:59] 本身就有流量提數
[12:01] 是不是比你在那邊橫沖之狀
[12:03] 想到什麼拍什麼
[12:04] 成功機率來的大很多
[12:06] 再來就是很多的專業人士
[12:07] 他想要拍影片的時候
[12:08] 他就會想要講很多專業的知識
[12:10] 這個一美帳號
[12:11] 他就會想要講一下
[12:12] 我們的這個皮膚是怎麼組成的
[12:14] 律師想要拍的話
[12:15] 就會頒出6把全書
[12:17] 各位同學
[12:18] 我們看短音的時候
[12:19] 是在整上側上馬上
[12:21] 我們是在非常放鬆的狀態
[12:23] 下去看短影片的
[12:24] 你跟我講這些專業的知識
[12:25] 我最好是想要聽
[12:27] 與其去講這些專業知識
[12:29] 不如來說故事
[12:30] 所以你看
[12:31] 如果我想要推薦
[12:32] 我的師傅線上課程的話
[12:33] 我不會跟你講說
[12:34] 我的師傅線上課程平台
[12:35] 有賣點1賣點2賣點3
[12:37] 趕快來買我的課程吧
[12:39] 絕對不會有人理我的
[12:40] 所以我拍了一支
[12:42] 我自己的創業故事
[12:43] 我如何從一開始做電商
[12:46] 串起
[12:47] 挫折失敗
[12:48] 最後重新進入線上課程的領域
[12:50] 然後獲得了什麼樣子的成果
[12:52] 那這個故事
[12:53] 在網路上面
[12:54] 就將近40萬的觀看
[12:56] 看完這部影片
[12:57] 才覺得我是一個值得新人的人
[12:59] 最後買了師傅的線上課程
[13:00] 甚至是買了我自己的端音課
[13:02] 我們還有一個同學
[13:03] 他是做二手車的
[13:05] 你如果一開始就說
[13:05] 誒 我們家的二手車
[13:07] 哇 賣點1賣點2賣點3
[13:08] 哇 全部都是最好的車子
[13:10] 大家趕快來找我買
[13:11] 一定不會有人理你這樣
[13:12] 所以他也拍了一支創業的故事
[13:15] 他說他一開始是在外面工作的
[13:17] 結果爸爸因為生意經營的
[13:19] 非常辛苦
[13:19] 所以他毅然居然的
[13:20] 放棄了他現在的工作
[13:22] 回家來幫忙他二手車
[13:23] 然後他的理念是怎樣
[13:25] 哇 那部影片非常的好看
[13:27] 在Facebook上面有80萬的觀看
[13:29] 所以讓別人想要買你的商品之前
[13:32] 先讓別人喜歡你
[13:35] 透過說故事就是一個最好的方式
[13:37] 那有些同學就說
[13:38] 我專業人士
[13:39] 哇 你叫我拍這些說故事幹嘛
[13:41] 我就是要講我的專業知識
[13:42] 大家要知道
[13:43] 在現在這個社會裡面
[13:44] 其實商品的同質性
[13:46] 是越來越高了
[13:47] 以前我們二三十年前
[13:49] 你只要掌握那個供應鏈
[13:50] 掌握通路 你就可以賣出東西了
[13:52] 可是現在什麼商品
[13:53] 你的競爭對手沒有在賣
[13:55] 所以當商品做不出差異化的時候
[13:57] 我們就要把差異化做在人上面
[14:00] 所以做短銀不是賣商品啊
[14:02] 有時候很多廠商會來找我說
[14:04] 欸 修品我想要請你幫我拍短銀
[14:05] 因為我要賣這個商品
[14:07] 哇 那我就知道完蛋了
[14:08] 你就想像一件事情啊
[14:10] 有人會因為看了一支商品的短影片
[14:13] 去買這個商品嗎
[14:14] 其實這樣子的購買行為
[14:15] 是非常非常少的
[14:16] 大部分的時間都是因為
[14:17] 我看了你的短銀
[14:19] 我喜歡你這個人
[14:20] 進而我想要支持你賣的商品
[14:22] 或者是服務
[14:23] 這個才是短銀變現的方法跟路徑
[14:26] 所以大家千萬不要搞錯
[14:27] 我們做短銀是在做個人的品牌
[14:30] 比如說我今天做了兩個帳號
[14:32] 一個叫做陳修平一美診所
[14:34] 一個叫做伊美專家陳修平
[14:36] 你會想要追蹤哪一個嗎
[14:37] 陳修平一美診所就是一個冰冷的商家
[14:39] 就是資本主義下的怪物想要賺我的錢的
[14:42] 可是伊美專家陳修平
[14:43] 欸 就是你的好鄰居好朋友
[14:45] 他在告訴你什麼伊美可以做
[14:47] 什麼伊美不能做
[14:48] 當我喜歡伊美專家陳修平以後
[14:50] 我要做伊美我會找誰
[14:52] 我會去陳修平一美診所
[14:54] 所以不是叫你不要講專業
[14:56] 不要講品牌
[14:57] 是要透過短銀去打造個人品牌
[14:59] 最後再帶到你的品牌跟商品
[15:02] 還邏輯是這樣子的
[15:03] 很多同學想完一支腳本以後
[15:04] 哇 就覺得精疲力盡了
[15:06] 沒有辦法再想下一支腳本
[15:07] 所以現在我送給大家一個
[15:09] 非常好用的方式叫做
[15:13] 所謂的黃金企劃
[15:15] 就是你的腳本已經有一個架構了
[15:17] 你每次在寫腳本的時候
[15:18] 你不用重新打散這個架構
[15:19] 你只要把新的元素放進去就可以了
[15:22] 比如說我們剛剛講到
[15:23] 赤筒農會Sandy的那個賬號
[15:25] 他的企劃就叫做
[15:26] 帶你看赤筒最美的人文風景農作物
[15:29] 開頭 介紹 體驗 收尾
[15:32] 每一部的影片都是這樣子
[15:34] 我們要想的東西就是
[15:35] 今天Sandy要去開箱什麼農田
[15:38] 去吃當地什麼好吃的小吃
[15:41] 去見當地什麼有趣的人
[15:42] 每一次腳本你不用重新想
[15:44] 我曾經看過一個賬號叫做200折顏
[15:47] 他的企劃就是說
[15:48] 他去每一個地方吃飯
[15:50] 他都只花200塊
[15:51] 店家上什麼他就吃什麼
[15:52] 這個企劃讓他一拍就拍了五年
[15:55] 我在董事長上面累積了
[15:57] 1600多萬的粉絲
[15:58] 你也可以做那種
[15:59] 系列型的挑戰
[16:00] 比如說你是一個籃球YouTuber的話
[16:02] 你就可以做挑戰跟100個陌生人
[16:04] 單挑籃球
[16:05] 你如果是做商業採訪號的話
[16:07] 你就說挑戰跟100個創業成功的
[16:09] 企業家探討他們的賺錢方式
[16:12] 有了系列感的影片就是連載
[16:14] 有連載就會有期待
[16:15] 有期待就會想要訂閱
[16:17] 所以你的訂閱數
[16:18] 是不是就馬上增加了
[16:20] 挑戰100天的企劃
[16:21] 他可能是在第14天的時候
[16:23] 看到你的影片
[16:24] 那他是不是有可能會
[16:25] 把你前面的影片全部都看完
[16:27] 所以你做這種系列型的影片
[16:29] 很容易每一部的影片
[16:30] 都因為一隻
[16:31] 而突然都觀看次數爆弄起來
[16:33] 下一個問題就是說
[16:34] 啊 我的這個領域很窄
[16:35] 沒有什麼話題可以聊
[16:36] 怎麼辦
[16:37] 講專業一隻是
[16:38] 拍個實機就沒有東西可以拍了
[16:40] 要解決這個問題
[16:41] 你一定要有一個觀念叫做
[16:42] 上億成思維
[16:43] 你要把你這個領域
[16:45] 再往上去延伸
[16:46] 好 比如說
[16:47] 你是賣食材的
[16:48] 你就要教人家做菜
[16:50] 你是賣衣服的
[16:51] 你是教英文的
[16:52] 或是教日文的
[16:53] 你就可以講一下
[16:54] 美國跟日本有什麼文化差異
[16:56] 美國跟日本有什麼好吃好玩的東西
[16:58] 以我自己的端銀為例
[17:00] 我是教端銀的
[17:02] 可是如果我每天都在拍一些
[17:03] 跟端銀教學相關的東西
[17:05] 大家覺得很無聊
[17:06] 我後來就發現
[17:07] 我的端銀主要受動有三個
[17:09] 第一個是中小企業主
[17:10] 以前廣告很便宜
[17:11] 所以隨便投隨便賺
[17:12] 他現在廣告很貴
[17:14] 就想要找新的行銷的方式
[17:15] 第二個是一些個人工作者
[17:17] 比如說像是
[17:18] 美夜啊
[17:19] 開街小餐廳啊
[17:21] 等等的
[17:21] 那第三種就是業務
[17:23] 保險的房仲啊
[17:24] 直銷啊等等的
[17:26] 我就發現這三群人
[17:27] 除了對端銀有興趣之外
[17:28] 其實他更感興趣的話題是
[17:31] 所以你會發現
[17:32] 我的端銀帳號裡面
[17:33] 我除了講端銀之外
[17:35] 我還講創業
[17:36] 我也講財商
[17:38] 怎麼賺錢
[17:39] 自我成長等等的話題
[17:40] 我講上面兩個話題的時候
[17:42] 往往才是流量最大的
[17:43] 可是我能夠吸引到的人
[17:45] 最後呢
[17:46] 就會對我講的端銀內容有興趣
[17:48] 如果你每天都只想要講
[17:50] 你專業相關的東西
[17:51] 你就會鎖死在自己的框架裡面
[17:53] 那你如果有這個上一層思維的話
[17:55] 你就會知道
[17:56] 如何透過這些垂直性的內容
[17:58] 去吸引到你的目標客戶
[18:00] 當你企劃完了
[18:01] 接下來就要進入
[18:02] 製作片
[18:04] 首先第一個
[18:05] 拍攝的端銀到底用什麼器材
[18:06] 以前我有很多電商的朋友
[18:08] 他們一開始想要做端銀的時候
[18:09] 想說
[18:10] 欸 我是那個電商大老闆
[18:11] 拍出來的東西一定要非常的有質感
[18:13] 哇 所以就花了很多錢
[18:15] 買了相機 ABC CAM
[18:16] 買了燈
[18:17] 請了導演 編劇 小編什麼的
[18:19] 然後真的要拍攝的時候呢
[18:20] 123 Action
[18:22] 然後一句話都講不出來
[18:24] 最後呢
[18:24] 一頓操作猛如虎
[18:25] 一看流量250
[18:27] 所以如果你一開始就花
[18:28] 非常多的成本在設備上面
[18:30] 一旦沒有做出成績來
[18:32] 你會覺得心裡的落差感
[18:33] 非常的大
[18:34] 所以我推薦各位同學
[18:36] 一律用手機來拍攝
[18:38] 你看到我網路上面所有的端銀
[18:40] 全部都是用手機拍攝的
[18:41] 麥克風
[18:42] 欸 很多同學想說
[18:43] 我拍片是不是要收音
[18:45] 我是不是要用專業的麥克風
[18:47] 如果你真的很要求收音的品質的話
[18:48] 你可以買RODE
[18:49] 或者是SEREMONIC
[18:50] 我兩個都有
[18:51] 我自己覺得用起來
[18:52] 其實沒有太大的差別
[18:54] 但是呢
[18:54] 我自己所有的端銀
[18:56] 其實我是沒有用麥克風的
[18:59] 我全部都是用iPhone內建的收音
[19:01] 端銀最重要的就是要自然
[19:03] 讓大家看出那個ROG
[19:05] 所以除非是風切身真的太大
[19:07] 比如說我們有時候在農田間海邊拍
[19:09] 哇 那個風聲太大
[19:10] 很干擾講話
[19:11] 除了這種極端的狀況之外
[19:13] 手機內建的收音其實就已經非常夠用
[19:16] 再來燈光
[19:17] 我們大家都素人嘛
[19:18] 沒有錢買燈也不會打燈
[19:19] 那怎麼辦呢
[19:20] 其實最好的光源呢
[19:21] 就是陽光
[19:23] 你要拍片的話請走出戶外
[19:24] 用自然的陽光打在上面
[19:26] 最好看
[19:27] 那如果你是晚上拍攝的話
[19:28] 我教你一個非常簡單的方法
[19:30] 你去外面找兩個路燈
[19:31] 站在中間
[19:33] 那個光會非常的好
[19:34] 再來影片到底要用什麼方式呈現呢
[19:36] 其實說穿了影片就是五種呈現形式
[19:39] 第一種就是口播
[19:41] 你就對著鏡頭講話
[19:42] 那看你是要坐著講
[19:43] 走著講
[19:44] 還是跳著講都可以
[19:45] 你現在看到的這部影片
[19:47] 就是用口播的形式
[19:48] 再來第二種就是圖片加口播
[19:51] 我可能講話講一講以後
[19:53] 就穿插一些畫面
[19:54] 去增加我畫面的豐富度
[19:56] 比如說你今天要拍一個創業的故事
[19:57] 你要講以前包括多辛苦
[19:59] 你就可以把以前
[20:00] 你包括的這個畫面放進來
[20:02] 畫面得獎的畫面放進來
[20:04] 你的銀行戶頭只剩80塊的這個
[20:07] 照片就把它放進來
[20:08] 這影片就會變得更好看
[20:10] 再來第三種就是影片加口播
[20:12] 把剛剛的圖片改成影片
[20:14] 就會變得更豐富
[20:15] 我的這一支叫做體驗人生
[20:17] 想要講說人生再大的困難
[20:20] 只要不是生於死就止這個過程
[20:21] 中間就穿插了很多畫面
[20:23] 有些畫面跟文漢根本一點關係都沒有
[20:26] 可是看起來還是很搭
[20:27] 再來第四種就是切片
[20:29] 比如說你今天做了一個podcast
[20:31] 那你是不是剛好前面就放一台攝影機
[20:33] 結束以後你就會多一個一小時的長片
[20:35] 那你再把這個長片
[20:37] 精華片段剪成端影片
[20:39] 所以這種不用重新製作的
[20:40] 我們就叫做切片
[20:41] 比如說白靈果
[20:43] 他是不是做podcast
[20:44] 那他前面就放一台攝影機
[20:45] 結束以後他就有一支一個小時的長片
[20:48] 他再把這個長片根據裡面精彩的片段
[20:50] 剪成五到十支的端影片
[20:52] 留在Facebook IG Reels YouTube Shows
[20:54] 跟Tetra上面
[20:55] 全部平台的流量全部都有了
[20:57] 再來最後一種就是演劇情
[20:59] 這種比較複雜
[21:00] 就是你要寫腳本
[21:01] 畫分鏡
[21:02] 還有找演員
[21:03] 哇 你的表現力還要很好
[21:04] 我不太推薦新手做端影片
[21:06] 去做第一種演劇情
[21:08] 剪輯應該用什麼軟體呢
[21:09] 很多人是用那個
[21:10] Final Cut或者是Premiere剪
[21:13] 其實這兩個軟體是非常非常的好用
[21:15] 但是新手要去學習
[21:16] 再花很多時間
[21:17] 我不建議新手
[21:18] 把資源包點在剪輯的技術上面
[21:20] 我自己覺得對於新手
[21:21] 最友善的剪輯軟體是剪印
[21:24] 他的國際版叫做CAPCUP
[21:25] 裡面的功能非常簡單
[21:26] 你大概摸個一個上午
