[00:00] 我都寫得差不多了
[09:06] 最下面是打工的吧
[09:07] 然后对上面就是
[09:09] 你如何有自己的一个系统
[09:11] 或者你可以进入产业链
[09:13] 这是一个生生态链的概念
[09:15] 嗯
[09:16] 他讲最
[09:17] 最赚钱的富豪在做些什么
[09:19] 就是他在讲的就是这个
[09:21] 嗯好然后
[09:22] 就第九堂课我就简单讲那个
[09:26] 认识认识人的这个
[09:30] 如何认识然后到
[09:32] 那个建立行人
[09:34] 然后再简单的销售逻辑
[09:36] 那所以我就会促销到
[09:37] 之后上进节的课
[09:39] 然后最第十堂课呢就是
[09:41] 特良数据展示企划跟
[09:44] 毕业发钱啊这样子
[09:46] 对大概
[09:47] 就让你知道这十堂课大概
[09:49] 这个我大概做出来了然后
[09:53] 所以是封的内容
[09:54] 还是往这里面塞的
[09:56] 所以投影片
[09:57] 就没事就可以做
[09:58] 然后没事就可以把它做出来了
[09:59] 然后我觉得
[10:01] 可能每个投影片都
[10:03] 每个投影片都要
[10:05] 分开吧
[10:06] 嗯我还在思考就是
[10:08] 嗯
[10:10] 他的录音变成文字
[10:12] 跟投影片应该是分开的
[10:14] 不然他们分在一起的话
[10:15] 好像会互相
[10:16] AI会互相影响这样
[10:19] 嗯
[10:21] 大概这样
[10:24] 嗯
[10:25] 这边就交给你哦
[10:27] 这边我走
[10:28] 你知道那个
[10:30] 适峰他有推荐那种免费节
[10:32] 他有推荐那种免费节
[10:34] 可以说到什么
[10:36] 我像我是ESTJ3W2
[10:38] 你知道这种东西哦
[10:40] 瞎回
[10:42] 你也不懂
[10:43] 好吧
[10:44] 那个后面要分
[10:45] 可以分很多啦
[10:46] 而且不是
[10:47] 网络上的那种
[10:48] 测验你不见得准啊
[10:50] 免费的
[10:51] 嗯
[10:52] 不见得准
[10:53] 但是你
[10:54] 那
[10:55] 好嘛那你再慢慢
[10:56] 有机会慢慢看
[10:57] 因为我给老师
[10:58] 就看个客纲而已
[10:59] 就是
[11:00] 对就是给他
[11:01] 看个概念就好了
[11:02] 我应该不会把全部
[11:03] 放那么多啦
[11:04] 他会觉得太多
[11:05] 这样
[11:06] 对然后就是
[11:07] 然后
[11:08] 对我要跟他讲的目的
[11:10] 就有一个东西就是
[11:13] 在这一个区块
[11:14] 我就会讲灵魂定位的时候
[11:16] 促销到咨询
[11:17] 不是这个不是重点
[11:18] 因为老师要的是那些人
[11:20] 有个案
[11:23] 你了解吗
[11:24] 老师
[11:25] 如果你人类独家
[11:26] 进来你也可以
[11:27] 就是置入啊
[11:28] 但是老师要的真正的目的
[11:30] 是这些老师有钱赚
[11:32] 嗯
[11:33] 对吧
[11:34] 老师
[11:35] 老师要的目的是有钱赚
[11:37] 这些人有老师有钱赚
[11:39] 所以就是我等于
[11:40] 帮他们介绍个案
[11:41] 过去的概念
[11:42] 嗯
[11:43] 对对对
[11:44] 但是
[11:45] 当然就看这些老师
[11:46] 会什么他就是
[11:47] 工具而已啦
[11:48] 那个都只是工具
[11:50] 对啊然后
[11:52] 然后
[11:55] 嗯对大概就讲
[11:56] 让你知道整个
[11:57] 大
[11:58] 大概讲或怎样
[11:59] 其实这都是很出集的啦
[12:01] 没办法讲生
[12:02] 因为时间
[12:03] 三十个小时
[12:04] 不太多
[12:05] 而且
[12:06] 然后我又想到一个东西
[12:08] 我在想怎么呈现
[12:10] 就是
[12:11] 其实真正的关键
[12:13] 流量的关键
[12:14] 就是创造互动而已
[12:16] 嗯
[12:17] 我在想怎么样
[12:18] 用很大块的
[12:19] 让老师马上看得懂
[12:20] 就是
[12:21] 我其实因为老师
[12:22] 一直希望我可以用最简单的方式
[12:24] 来来生出来
[12:26] 然后我就想到了几个字
[12:27] 我昨天睡前就想到了几个字
[12:29] 我觉得好像还蛮明确的就是
[12:31] 呃我有把它做在
[12:36] 我在思考要怎么去做呈现
[12:38] 要放在哪里
[12:39] 就是说
[12:40] 例如说
[12:41] 定位就是独特的优势
[12:42] 流量就是创造互动
[12:43] 存量就是
[12:45] 简单的系统
[12:46] 讲完了
[12:48] 就是如果你要讲最简单的方式
[12:50] 你只要记得这12个字
[12:52] 你就会了
[12:54] 真的就这样而已
[12:55] 哪里啊
[12:57] 哪里啊
[12:58] 哪里啊
[12:59] 没有
[13:00] 像我这样不是打
[13:01] 我不是打开画面吗
[13:02] 我在想
[13:03] 我在想要不要
[13:04] 我在想
[13:05] 这样会不会让大家真的觉得
[13:06] 哇真的很简单
[13:08] 因为其实就是
[13:09] 找到你的定位跟独特优势
[13:11] 内外在优势
[13:12] 独特优势
[13:13] 你的定位跟
[13:14] 你的定位找到独特优势
[13:16] 你的流量
[13:17] 创造互动
[13:18] 你的存量
[13:19] 用个简单的系统
[13:20] 全部就是12个字就讲完了
[13:23] 也可以啊
[13:25] 我就觉得
[13:26] 这个好像就
[13:27] 骨核老师要的就是
[13:29] 其实就这么简单
[13:32] 简单系统
[13:33] 可啊
[13:34] 就是我不知道
[13:35] 我刚刚那当然还在想
[13:37] 因为我
[13:38] 如果按照我以前学的学科
[13:40] 就就像你昨天
[13:42] 跟我的反馈
[13:43] 我觉得讲得蛮有道理
[13:45] 就是你听到一那个
[13:46] 那个swat就开始想睡了
[13:48] 进入细节就会
[13:50] 飘走
[13:51] 就会飘啊
[13:52] 那我就是先讲大杠
[13:54] 我可能
[13:55] 还在想说
[13:56] 就是我的行销就只有这12个字
[13:59] 你就会了
[14:00] 他就觉得干好简单哦
[14:01] 这是就是让人觉得
[14:03] 因为真的就是精华
[14:04] 精髓就这样而已
[14:06] 就真的只有这样
[14:08] 就是你只要记得这12个字
[14:10] 哦
[14:11] 当然我可以再加了
[14:13] 我刚还在想要不要再加
[14:14] 例如说
[14:15] 你的
[14:18] 我刚有说好这件事情
[14:20] 例如说
[14:21] 创造价值好了
[14:22] 我们就讲
[14:23] 这什么拿过来
[14:24] 嘿
[14:25] 怎么过去
[14:26] 你就按着他
[14:27] 然后拖一就好了
[14:29] 他不给我拖啊
[14:30] 为什么
[14:31] 有啊你先选取
[14:32] 你拿哪几个要选
[14:34] 不是我要
[14:35] 我要转过去
[14:36] 我为什么画面过不去
[14:37] 为什么
[14:38] 还是我要把他给削
[14:40] 他他这个要
[14:43] 你是要狠疑是不是
[14:45] 画面狠
[14:46] 我是要过去
[14:47] 我要过去这边
[14:48] 按shift再按滚轮
[14:51] 嗯
[14:52] 好
[14:53] 那
[14:56] 就是
[14:57] 像我讲这个你就会想睡吗
[14:59] 呃
[15:02] 如果是
[15:03] 如果是刚要还可以啦
[15:05] 对
[15:07] 就是我的意思是
[15:08] 比如说你提10W
[15:10] 大家知道的10W
[15:11] 但是
[15:12] 如果你在讲刚要的时候你开始
[15:14] 你就开始讲s是什么
[15:15] w是什么
[15:16] o是什么t是什么
[15:17] 这个就会飘掉
[15:19] 对
[15:21] 嗯
[15:22] 讲刚要的时候不要带内容
[15:24] 对啊
[15:25] 因为
[15:26] 只是人只是秀一下说
[15:28] 我们所有内容都是很科学的方式
[15:31] 来让你做出这个结果
[15:33] 嗯好那我知道
[15:35] 就是我是谁我学过什么
[15:37] 我做过什么
[15:39] 结论的时候
[15:40] 我这边会讲到很多
[15:43] 让他们愿意去学的东西
[15:46] 嗯我今天有做好这个
[15:48] 做的新的投影片
[15:50] 就是
[15:51] 好比如说像
[15:53] 像我我我只用一篇贴文
[15:56] 然后呢
[15:57] 我准备了三天就是吃了他很过好
[16:00] 吃了火锅之后那写了贴文
[16:02] 然后做了市场分析之后我只学
[16:04] 我学会这整套
[16:06] 市场分析的系统之后
[16:08] 然后我就帮他再
[16:10] 增加了180万
[16:12] 而且我不用学
[16:13] 就一篇贴文
[16:14] 这样有没有让你们觉得比较简单
[16:16] 因为你昨天让我觉得小
[16:18] 你好像觉得小编很难
[16:19] 我就有改了这一段
[16:21] 准备三天增加180万
[16:24] 每个月领三万块的小编费
[16:26] 再加上
[16:27] 是啊
[16:28] 我会想我会思考说
[16:30] 这个案例现在还适用吗
[16:34] 好你会想的是这个问题
[16:36] 对啊因为
[16:37] 因为其实你这边都没有讲说
[16:38] 这是来年的
[16:39] 但是这个演算法一直在变
[16:42] 一直在改变
[16:43] 对啊
[16:44] 而且如果有些小编
[16:45] 他要投广干嘛
[16:46] 那个Meta的广告系统
[16:48] 是出了名的复杂
[16:51] 都要聘专门的投手这样
[16:53] 广告投手
[16:55] 对啊没错小编
[16:56] 就是而且每一年他都要变
[16:58] 很烦的啊
[16:59] 因为我学广告的时候他
[17:01] 他我20
[17:03] 我2014学的
[17:05] 跟2020学的
[17:06] 跟2023学的都不一样
[17:08] 就我就疯了
[17:09] 然后到2026学的又不一样
[17:12] 所以你这个
[17:14] 你这个案例到底
[17:15] 现在还是不是适用呢
[17:16] 我就不知道了
[17:17] 对
[17:18] 我就会
[17:20] 对
[17:21] 我就会思考的件事情
[17:22] 好我理解
[17:24] 那
[17:25] 我觉得是这样啦
[17:27] 就是
[17:28] 我个人是觉得
[17:31] 其实脆的就是以前的FB
[17:33] 嗯
[17:34] 就这么简单而已
[17:35] 就是他脆本身就是过去的FB
[17:38] 嗯
[17:39] 那你只要
[17:40] 就像你去看脆很多时候
[17:42] 你只要发的那篇贴文
[17:44] 他可能极多少k
[17:46] 有没有
[17:47] 他都只是
[17:48] 呃
[17:50] 都只是那个流量的
[17:54] 呃
[17:55] 怎么讲
[17:56] 不然就是我要贴我最近发的
[17:58] 就是例如说我去年发的一篇接文
[18:00] 他有30万
[18:01] 50万这种流量
[18:02] 给大家看是不是
[18:03] 就是比较近的
[18:05] 对吗
[18:07] 但那时候我还没有要变现
[18:09] 这个就会比较说服你们嘛
[18:11] 嗯
[18:12] 会吗
[18:13] 这种会比较好吗
[18:14] 因为我最近实在是
[18:16] 因为我那时候根本就没有空在网路上啊
[18:18] 老师叫我上台北之后
[18:19] 我几乎都没有空做
[18:21] 做自媒体的
[18:22] 所以我说到去年五六月就
[18:24] 没有在做自媒体了
[18:25] 嗯
[18:26] 可以啦去年就比较近啊
[18:28] 而且是脆
[18:29] 那OK
[18:31] 那我就是写我脆的流量在
[18:35] 在那个时间增加了130万
[18:38] 那个就比较大家可以听得下去
[18:40] 好不好
[18:41] 那个我会写
[18:42] 好
[18:43] 我就写那个流量130万的那个社
[18:45] 然后一篇贴文340万这样
[18:48] 对
[18:49] 我会把这种案例放进去
[18:51] 好不好
[18:52] 你现在是要跟我讲完整的东西
[18:53] 还是怎样
[18:54] 因为我等下时间要去吃饭
[18:56] 好
[18:57] 那你先去吃饭
[18:58] 我只是要跟你
[18:59] 在修头影片的过程
[19:01] 就是我现在是跟你讲
[19:03] 大方向是什么
[19:04] 再来讲整个
[19:05] 我现在是在讲
[19:06] 跟你讲大方向是什么
[19:08] 再来讲这个说明会要讲什么
[19:10] 这样子
[19:11] 我只是跟你
[19:12] 我刚刚要讲的目的就是让你知道说
[19:14] 大方向识堂课吗
[19:16] 对
[19:17] 然后如果有些内容
[19:19] 那举例子说
[19:21] 我举例子说
[19:22] 像适风的课程
[19:24] 你如果听
[19:26] 变成投
[19:27] 举例子说
[19:28] 像投影片我不是还有第2、3次
[19:30] 要发给你吗
[19:31] 然后把它做出来
[19:32] 那它会在哪里
[19:33] 它大概要讲什么内容
[19:35] 我们就可以把投影片先
[19:37] 慢慢的先
[19:38] 先入到第几堂课
[19:40] 这样子
[19:41] 就可以有个团体
[19:42] 如果陈老师要看的时候
[19:43] 可以立刻掉出来说
[19:45] 我这个课做好了
[19:46] 这样
[19:47] 尤其马投影片有东西看
[19:50] 我只要很敢
[19:52] 但是我们就吃马的东西
[19:54] 先给大家看
[19:55] 我们做好了
[19:56] 这样
[19:57] 我就准备得很周全
[19:58] 你要第几堂课
[19:59] 我都可以掉出来给你看
[20:02] 现在脆的
[20:04] 大概也只有流量
[20:05] 对不对
[20:07] 脆的话
[20:08] 它就是在讲
[20:09] 脆的
[20:10] 你可以把原理都写进去
[20:12] 你也可以把文案都写上去
[20:13] 只是
[20:14] 它好像
[20:15] 就是那个什么
[20:16] 见证就不用写了
[20:17] 那其实它也是
[20:18] 两三要四个小时的课
[20:20] 就把这边关进来就好
[20:21] 就是我五六堂就是
[20:23] 拿适风过来操
[20:25] 然后你先做好之后
[20:26] 我就拿来
[20:27] 我就围一条就好了
[20:29] 我就调成我比较
[20:30] 我觉得废话的就不要停了
[20:33] 我觉得它那个三军
[20:35] 对我也没什么
[20:36] 没什么
[20:38] 就
[20:39] 不是那么适合我
[20:40] 它三军视为就不适合我
[20:42] 但是我会把自己
[20:43] 把它删掉
[20:45] 其实那个三军就是
[20:46] 流量跟转换而已
[20:47] 不用讲那么复杂
[20:48] 就流量跟转换而已
[20:50] 就是这样
[20:51] 就是流量
[20:52] 这个叫流量
[20:53] 这个叫转换
[20:54] 然后这个叫
[20:55] 就是这样而已
[20:56] 它就是在行销学的定义
[20:58] 它就是这样而已
[20:59] 对
[21:04] 所以它最
[21:05] 还有四个连结吗
[21:07] 四个连结
[21:09] 我看有穿四个给我
[21:12] 然后我的期待值是
[21:14] 你可以把它做到
[21:15] 你已经知道我的标题
[21:16] 是什么了
[21:17] 你就可以把它做出来
[21:18] 然后我就是
[21:19] 边听头文片
[21:20] 我就边删就好了
[21:21] 我就边删边修边改
[21:23] 那我就可以直接
[21:24] 第四五堂的头文片
[21:25] 我就直接做出来了
[21:26] 因为我还要做
[21:27] 其他八堂
[21:29] 我自己全部做完就疯了
[21:31] 所以我自己要做说明会
[21:32] 跟全部的堂数
[21:33] 所以我这两堂
[21:35] 可能就会先交给你
[21:36] 这样
[21:38] 就是你先用AI
[21:39] 做出来之后
[21:40] 然后我可能就可以先
[21:42] 就是我边听
[21:43] 课边慢慢改
[21:44] 或者是你有
[21:45] 如果你有空就准备
[21:46] 可以把它写好了
[21:47] 这样大概是这样
[21:50] 流量跟什么
[21:51] 稳案
[21:53] 其实它就是
[21:54] 脆在做的事
[21:56] 其实是同一件事
[21:57] 对我而言是同一件事
[22:01] 我只是把四方的东西
[22:02] 变得比较
[22:06] 符合行销学的说法
[22:08] 就是行销学的说法
[22:09] 加加上那个
[22:11] 比较
[22:13] 我可能有些比较
[22:14] 我用了觉得没什么用的
[22:15] 我就把它删掉了
[22:17] 它的有些的文
[22:19] 我觉得我贴的没什么用
[22:22] 它的那个故事写的
[22:24] 有些我觉得没什么用
[22:26] 但是它的
[22:28] 个人版的如何
[22:29] 如何写的
[22:31] 字顶结文那个
[22:32] 我觉得有用
[22:33] 那个我就觉得
[22:34] 该学
[22:35] 但是有些我觉得没什么用
[22:38] 然后我觉得
[22:39] 十四梗真的
[22:40] 超级无敌有效
[22:42] 因为它
[22:43] 就是很夸张
[22:44] 我那篇文
[22:45] 50万的时候
[22:46] 就是那时候是整个
[22:48] 那一半应该是
[22:49] 流量最高的
[22:52] 就是你有十四梗
[22:53] 的时候那时候你搭上一些
[22:55] 十四梗真的是
[22:56] 流量会爆炸
[23:00] 十四梗超重要
[23:01] 因为TREAT的演算法
[23:03] 比较
[23:04] 他们就是要你互动
[23:05] 所以当十四梗那个风潮
[23:07] 整个浪就起来了
[23:08] 很有浪
[23:10] 但是要在最快的时间
[23:11] 然后用两三句搞定
[23:14] 它没有交这个
[23:15] 但是我自己
[23:16] 我自己摸到的
[23:17] 那个流量爆不高
[23:18] 然后可能一篇文
[23:19] 就500个最终
[23:21] 超狂
[23:22] 这样
[23:24] 对 就是那个
[23:26] 就是那个时候
[23:27] 是我很认真做的时候发生的
[23:31] 那自己说演算法
[23:32] 会变其实
[23:33] 其实他们的根本的价值
[23:35] 就是互动而已
[23:37] 所有的自媒体都
[23:38] 都只是要你互动
[23:40] 它才能够有广告费收
[23:41] 因为你的互动
[23:42] 让很多人留在这个平台
[23:43] 所以它这么就有钱赚
[23:45] 就这么简单而已
[23:47] 这个底层逻辑不会变
[23:48] 就是你只要创造最多的互动
[23:50] 留言按赞
[23:51] 你就发了
[23:52] 只是演算法
[23:53] 它会推给的就是
[23:55] 可能符合14个
[23:56] 虽然我第一堂课
[23:57] 会讲产品地
[23:58] 要么独特的卖点
[23:59] 要么14个
[24:01] 要么就是它很有认同度的东西
[24:03] 它就爆了
[24:06] 好东西也会爆
[24:07] 就这样
[24:08] 就其实跟FB小编是一样的
[24:12] 你看那些爆的贴文
[24:13] 要么就是很有肯的
[24:15] 爆肯的那个
[24:17] 主题
[24:18] 要么就是
[24:20] 很聳动的主题
[24:21] 要么就是很有用的内容
[24:23] 要么就是
[24:26] 现在很符合
[24:27] 现在的流量
[24:28] 就是最近的新闻的东西
[24:29] 其实爆的东西
[24:30] FB跟Trade都在爆一样的东西
[24:33] 其实没有变化的
[24:34] 你知道在成修品的课
[24:36] 它是不理这些东西的
[24:37] 它就说
[24:38] 他们只专注于内容
[24:39] 演算法他们不管
[24:40] 因为是一样的
[24:42] FB跟Trade其实差不多
[24:44] 很好啊
[24:45] Sale保贵
[24:47] 它说
[24:48] 我在他的
[24:49] 我问他客人
[24:50] 他说他们只专注于内容
[24:51] 也不用什么养号
[24:52] 也不用什么旗号
[24:53] 都不用学
[24:54] 你就是专注把内容做好就好了
[24:57] 就是那个都
[24:58] 那个因为演算法
[24:59] 你现在学了
[25:00] 隔一个月有变了
[25:01] 你学的干嘛
[25:02] 对
[25:03] 然后其实对呀
[25:04] 那你就专注的
[25:05] 因为内容人性不会变
[25:07] 所以就专注于人性就好
[25:09] 就是要去抄人家
[25:10] 有流量高的那些
[25:12] 你基本上就不会错了
[25:14] 它比较
[25:15] 它比较属于这种
[25:17] 好就这样我把那个
[25:20] 那你这样讲也对
[25:21] 我现在把Trade讲上去
[25:23] 我在努力加
[25:24] 或者是你看到Trade有一篇贴文
[25:26] 假如有这样报告
[25:27] 在最近你可以给我
[25:28] 就我就拆解这篇文
[25:29] 不一定是我做吗
[25:31] 就是有些人他的文
[25:33] 可能这篇很好
[25:34] 我们就拿来做示范
[25:36] 这样子
[25:37] 最近的报文
[25:38] 应该稍微划一下就有
[25:39] 对呀最近前些周涛多的
[25:41] 好就这样我就是跟你讲说
[25:43] 你做出来如果可以的话
[25:45] 最好是你就可以直接
[25:46] 单独做一个PBT
[25:48] 然后我再去修改
[25:49] 这样子我才有
[25:50] 才有足够的时间
[25:51] 做其他课
[25:52] 不然我这样做不完
[25:55] 然后我这边有一个
[25:56] 比较好笑的问题就是
[25:58] 我不知道怎么
[26:01] 这里呀我这边就会找到
[26:03] 这边所有的目的
[26:04] 每一堂课都在慢慢的铺成
[26:06] 它成为我们的代理商
[26:08] 包括他找到
[26:09] 他的独特定位
[26:10] 包括他找到他的那个
[26:12] 这边就会讲到商业模式
[26:14] 我就会讲到
[26:15] 真理关上商业模式
[26:16] 我就会成了铺成进来
[26:18] 这样子
[26:19] 但这边我不知道怎么改字
[26:20] 怎么把那个怎么给
[26:22] 程老师看这个怎么改字体呀
[26:24] 他没有这个功能的样子
[26:27] 没有这个功能
[26:29] 改字体啊
[26:30] X
[26:32] X-Mine改字体
[26:34] 对
[26:36] 就是我要让老师说
[26:38] 我这边就在铺成
[26:39] 他进入我们
[26:40] 成为代理商的合作伙伴了
[26:42] 其实我就是把
[26:43] 特别要标出来
