[00:00] 我就是一個不愛開暖氣的人
[05:35] 就是我很想帶著大家進入的
[05:38] 一個狀態跟大家分享哦
[05:40] 那這個呢是我在
[05:42] 呃北京啦在上海啊
[05:44] 我當時開臨庆課程的時候
[05:48] 的工作房那
[05:49] 那時候最多有將近70個人
[05:51] 一起同步上我的課程好
[05:54] 那呃那我要跟大家講
[05:56] 今天要講的重點就是
[05:58] 我們身心靈工作者
[06:00] 我們的一個挑戰就是內容難產
[06:03] 好那我現在要跟大家快問快達了
[06:06] 大家請多跟我互動哦
[06:08] 請問一下你目前有沒有經營自媒體
[06:11] 如果有的話來你有沒有經營
[06:14] 你可以打A B C D
[06:16] 讓我知道你在哪裡
[06:17] A就是有你有穩定的經營
[06:19] B就是有哦但斷斷續續的
[06:22] 哦然後C就是想做還沒有完全開始
[06:26] 第一完全沒碰哦
[06:27] 米修完全沒有碰哦
[06:29] 所以金沙是B
[06:30] 有我看一下有沒有A跟B做
[06:32] 很多都是C也蠻多的耶
[06:34] 我看一下
[06:36] 天啊竟然都很平均我的天啊
[06:38] B B D B比較多B比較多
[06:41] Hodigase
[06:43] Hodigase
[06:44] 哦哦然後新語有重新做
[06:46] 有重新做是什麼意思哦
[06:48] 好B比較多一點點 ok
[06:50] 好那繼續問哦繼續問哦
[06:53] 好來那麼你主要經營的是哪一個呢
[06:56] 你就是ig
[06:57] 主最主要的就好了哦
[07:00] ig還是臉書
[07:02] 還是脆還是youtube還是沒有
[07:05] 好那如果兩個最主要對就可以打A B
[07:08] 哦有人是A有人B
[07:10] 哦A跟B都有Ttalk也有人做金沙是Ttalk
[07:14] A臉書A B A B C A C ok好AB是AC好ok
[07:23] 那我們再來問一下哦
[07:25] 那你大概多久發一次內容
[07:27] 不論那個內容是什麼
[07:29] 不論你發的是貼文還是短影音
[07:32] 還是長影音不論是什麼你發的頻率大概大概就好了
[07:37] 我看看你們的狀況哦B
[07:40] C C a
[07:42] C跟B B到C之間有人B到C之間C B
[07:46] 哎C跟B是最多哎還有沒有啊
[07:49] 范威威是B
[07:50] 我看一下我覺得B我看看哦
[07:54] B B好像最多
[07:56] 一周那B還算威威還不錯
[07:59] Jimmy想到就一次發好幾遍哦
[08:02] 這樣子ok ok好
[08:05] 1也有1B就是沒有哦ok
[08:09] 呃B跟沒有是一樣的哦好
[08:12] 那我再問一下哦你你最常
[08:14] 就是用的是哪種方式
[08:17] 好再來你最常是用哪種方式
[08:19] 比如說你是寫長文啊寫短文圖文
[08:23] 拍影片或是轉貼分享別人的文章
[08:26] 或是幾乎沒產出
[08:28] 哦我看一下哦
[08:30] 呃B
[08:33] B B
[08:36] a
[08:38] b d b d
[08:39] 我看一下哦1沒有產出B D
[08:42] 所以
[08:44] B然後沒有人幾乎C很少
[08:47] User有B跟C不錯哦好
[08:50] 那User B跟C
[08:52] 通常可能是翠啊加短語音好
[08:56] abc都有哦abc都有Jimmy
[08:59] Jesmy
[09:01] 你是abc的然後金沙C跟D ok好
[09:06] 我看一下大家的狀況
[09:09] 很好
[09:10] B D好好來
[09:13] 來重點來下一個
[09:16] 回我一下哦重好是B好好
[09:18] 我問一下你們哦
[09:20] 經營自媒體你最卡的地方是
[09:22] 不知道寫什麼
[09:24] 拍什麼
[09:25] 然後很難持續
[09:27] 是什麼然後沒有人互動沒成效
[09:29] 技術不會比方式剪片
[09:31] 還是你就哦好累哦沒動力是哪一個
[09:33] 是最卡你最卡寫一個就好了
[09:35] 寫一個就好一個就好嘍
[09:37] 哦如果是最最卡的是哪一個
[09:40] a是a是a是裡面的
[09:45] 王牌
[09:46] a是最多人選的天啊
[09:48] 好不知道寫什麼拍什麼對不對好ok
[09:52] 這就是大家的痛苦點了對不對
[09:54] 痛苦點不知道寫什麼拍什麼
[09:59] 不知道要不要露臉ok這個晚一點
[10:02] 我們可以這個我想想今天會講到
[10:04] 今天會講到好
[10:06] 那我再問一個問題哦
[10:07] 好我們到
[10:09] 現在那大家你好你們邊在回答
[10:12] 你邊問問你自己哦
[10:14] 那我問一下
[10:15] 你如果你看哦經營自媒體最卡
[10:17] 不知道寫什麼拍什麼來我問一下
[10:20] 那你覺得你目前的狀況比較像哪一種
[10:22] 已經 a已經有接案收費了哦
[10:24] 然後偶爾就是你的我這邊講的是
[10:27] 跟費用有關偶爾有人會找你
[10:29] 比如說付費給你
[10:31] 然後或者是沒有但是你很想開始了
[10:34] 然後還沒有開始變現你是哪一個
[10:38] 從這裡開始米秀的話
[10:40] 呃
[10:42] 呃應該是從米秀吧
[10:43] 米秀是b偶爾
[10:45] 我以為也是bb a a到b a到b
[10:48] 目前都是a跟b哦
[10:50] 也有在也有c在學習中
[10:52] 呃還沒有還沒有變現但很想
[10:55] ok a是最多的 ok很好
[10:58] a是最多那我問你哦
[10:59] 好a是最多的幕後療癒師哦
[11:03] 心愈幕後療癒師很棒哦很棒哦好
[11:05] 那我們在最後一題問大家最後一題
[11:09] 如果每天就只要10分鐘
[11:11] 就可以做自媒體你會願意嗎
[11:14] abc
[11:17] 這三個答案是一樣的對不對
[11:19] 大家有沒有發現
[11:21] abc願意當然願意超需要的
[11:24] 好就是語氣不同哦願意嗯很願意啊
[11:28] 哇搞超需要的有沒有語氣不同
[11:31] 哪一個哦你覺得你最就是
[11:35] 就一層比一層渴望就對了
[11:37] 哎看來大家都
[11:39] c越來越多了滿滿的c好了哦
[11:41] 心愈滿滿的c是哦abc ok好
[11:44] 好就是跟大家做一點小小互動
[11:47] 有趣的互動哦
[11:49] 那哎大家有沒有覺得我今天有把控時間
[11:52] 今天是有把控而且有速度感對不對
[11:55] 好那我來跟大家講一下
[11:57] 如果你要經營自媒體的話
[11:59] 各位各位啊你的地基要打好
[12:02] 所以今天我要來跟你們講一個地基的概念
[12:05] 好不好首先來成功的自媒體基礎
[12:08] 來大家看一下哦
[12:10] 我們要打地基是這樣哦
[12:12] 左邊是具有商業價值的靈魂定位
[12:15] 右邊就是你的個案數量實戰經驗
[12:19] 那你的個案實戰經驗是這樣子的哦
[12:22] 就是如果你的右邊是我不能替你
[12:26] 做的你知道嗎
[12:27] 右邊就是你的個案數量有多少
[12:30] 你的實戰經驗逢不逢兵
[12:32] 那是你個人要去執行的理解哦
[12:35] 那但是左邊這一塊很多人有一個點
[12:38] 就是他右邊這一塊
[12:40] 也就是昨天我們看到有很多人填
[12:42] 我們的一對一諮詢表單
[12:44] 那你們點表單說
[12:46] 我們看到很多人的經驗
[12:48] 老實說很多有超過三分之二的經驗值
[12:52] 都是夠的
[12:54] 但是最大的問題是什麼呢
[12:56] 還有一個就是左邊這個商業定位
[12:59] 沒有把它清晰出來
[13:02] 那什麼是具有商業定位的靈魂
[13:05] 定位呢具有商業價值的靈魂定位呢
[13:08] 然後這裡我有提到就是
[13:10] 一個穩定的靈性事業很重要的關鍵
[13:14] 是什麼你的靈魂定位
[13:16] 然後一旦你定位好了
[13:18] 你就是有點像是某定在你自己的中軸
[13:21] 就是替你的事業裝了一個指南針
[13:24] 然後你會清晰知道你的方向
[13:26] 你的目標你的課程的那個走向
[13:29] 你知道嗎就是
[13:30] 你知道你沒有定位你是模糊的
[13:33] 但是一定位就居交
[13:36] 大力嗎居交
[13:38] 那一旦你聚交我就會常常說
[13:41] 靈魂定位就是定你的靈性江山
[13:44] 好那這個就是定位
[13:45] 所以聽到這裡為止
[13:47] 你們知道定位的重要性嗎
[13:49] 有聽懂嗎
[13:51] 如果你真的有聽懂的答
[13:53] 有如果沒有的覺得模糊的答
[13:57] 沒有
[13:58] 如果你覺得有點模糊的答
[14:00] 沒有有嗎你有概念嗎
[14:02] 好很多人都說有
[14:04] 那我來問一下
[14:06] 你有人很很聰明
[14:09] 就是很聰明
[14:10] Key說沒有
[14:11] 那我來講一下
[14:12] 因為像聽著是不是有點
[14:13] 還是有點模糊的樣子
[14:15] 來我問你們一個
[14:16] 大家可能有聽過的
[14:19] 比如說
[14:21] 吸引力法則導師
[14:23] 大家聽一下
[14:24] 吸引力法則導師
[14:26] 請問這是不是一個定位
[14:29] 我們先問你
[14:30] 這是不是一個定位
[14:31] 你覺得是還是不是
[14:33] 打下來是嗎
[14:34] 是一個定位嗎
[14:36] 吸引力法則導師
[14:38] 是不是定位
[14:40] 吸引力法則導師
[14:42] 有人說不是
[14:43] 有人說是
[14:46] 你覺得是不是
[14:47] 有人說是
[14:48] 有人說不是
[14:48] 好我來跟你們說
[14:50] 吸引力法則是一個定位
[14:53] 而吸引力法則導師
[14:55] 有沒有導師是一個定位
[14:57] 只是這個定位以前
[15:00] 如果是在幾年前
[15:01] 三年前好了
[15:02] 我們就說可能三五年前
[15:04] 他可能會是一個什麼
[15:07] 具有商業價值的靈魂定位
[15:10] 但是以現在來說
[15:13] 我會覺得他
[15:14] 對星宇你講到重點
[15:16] 我們給他
[15:17] 姑姑講好不好
[15:19] 重點就是這個
[15:20] 當這個定位被很多人用
[15:23] 用到Line的時候
[15:24] 他就已經不太算是一個好的
[15:28] 具有商業價值的定位了
[15:30] 同意嗎
[15:31] 同意嗎好
[15:32] 那我再講
[15:32] 就是可能每一個人都
[15:34] 所以我們說的定位是什麼
[15:37] 我們說的定位是
[15:39] 你這個定位
[15:40] 是要有你獨特風格的
[15:43] 人家一聽就覺得這是你
[15:46] 然後你最主軸最聚焦就是做什麼
[15:49] 好那我跟大家講以前我早期
[15:51] 我的我那時候接觸升星林
[15:53] 我的定位就是
[15:54] 你是
[15:55] 我是在做靈魂溝通
[15:57] 靈魂解讀
[15:59] 然後所以我那時候在兩岸都在開
[16:01] 靈魂解讀的工作法
[16:02] 靈性解讀工作法
[16:04] 所以呢
[16:05] 那時候常常每個月我都去內地開課
[16:08] 所以在內地的人聽到我
[16:11] 比如說聽到Sally
[16:12] 他們就等號什麼呢
[16:14] 等號等於靈魂解讀
[16:17] 然後聽到靈魂解讀
[16:18] 如果房間大家在說
[16:20] 哎
[16:20] 那個有一種東西叫靈魂解讀
[16:22] 哦那個Sally老師開的是嗎
[16:24] 就是幾乎我的名字
[16:26] 被我的這個定位名稱
[16:28] 給
[16:29] 你知道給畫上等號了
[16:31] 那代表一件事情哦
[16:32] 那其實我不是故意的
[16:33] 但是我真的不知道
[16:34] 那時候我根本不知道怎麼定位自己
[16:36] 那時候我沒學過
[16:38] 但是我只
[16:39] 只是因為我很拒絕專注做這一件事
[16:43] 所以呢
[16:44] 我跟大家講哦
[16:45] 那個李小龍先生說過一句話
[16:48] 就是你會一萬種招式
[16:51] 都不如把一招練一萬次
[16:54] 你可以記下來好不好
[16:55] 會一萬招
[16:56] 不如一招練萬次
[16:59] 好
[16:59] 會一萬招
[17:01] 不如一招練萬次
[17:02] 這就是李小龍先生說過的
[17:04] 所以你把一招
[17:06] 練了一萬次
[17:08] 那麼你就定位定好江山了
[17:11] 同意嗎
[17:12] 好把這句話記下來哦
[17:14] 所以呢
[17:15] 如果你可以把一招好好的學下來
[17:18] 把一個招式好好地做好
[17:21] 你有沒有覺得你就定毛在那裡了
[17:25] 對不對
[17:25] 那但是當然首先是你要那一招
[17:28] 你很愛他啊
[17:29] 你真的很愛他啊對不對
[17:31] 所以那一招才能被你練一萬次
[17:34] 好
[17:34] 所以像我現在我現在做什麼
[17:36] 我現在是零信品排落地實對不對
[17:39] 這是我給自己的定位
[17:40] 那我是不是就一直在優化
[17:43] 深化專研這個部分
[17:45] 理解嗎
[17:46] 我可以我可能去聽不同的課
[17:48] 但是我所有我去聽的課
[17:51] 所有我學的東西都是為了
[17:53] 把我的這個定位生根
[17:56] 所以再幫我打兩個字生根
[17:59] 如果你可以在你的專業領域上
[18:02] 生根的深度足夠的時候哦
[18:05] 當你的專業深度足夠的時候
[18:08] 那我問你人家第一個會想到誰
[18:11] 會想到你吧
[18:12] 或者是因為你生根了
[18:15] 然後你的客戶會不會替你介紹客戶
[18:18] 會吧對不對
[18:19] 就是啊我們去吃一家麵店
[18:21] 那個老闆真的煮得好好吃哦
[18:24] 結果你就忍不住想跟朋友說
[18:26] 因為真的煮得很好吃
[18:28] 開麵店的人請問是不是很多
[18:31] 那他為什麼要介紹這一家
[18:34] 對不對
[18:34] 就是因為真的夠好吃
[18:36] 對吧
[18:37] 那如果你的專業真的足夠生根
[18:40] 那麼人家你的
[18:42] 然後再搭配你的定位很清晰
[18:44] 來我們再回頭看這一張
[18:45] 你看你生根的代表什麼
[18:48] 你的個案數量一定是多的
[18:50] 不會是少的吧
[18:51] 對吧
[18:52] 同意嗎
[18:53] 你不可能跟我說你做三個個案
[18:55] 哇我的實戰經驗真豐富
[18:58] 你有可能嗎
[18:59] 你知道不現實吧
[19:01] 對不對你不可能做三個
[19:02] 你肯定可能做多少個
[19:04] 30個
[19:05] 甚至300個
[19:07] 甚至3000個
[19:09] 對吧
[19:10] 理解嗎
[19:11] 所以我以前那個個案的積累
[19:13] 包含幫助我自己做的
[19:14] 幫我自己做個案
[19:16] 幫別人做全部加起來
[19:17] 一定超過一萬小時
[19:19] 有一段時間我天天都在練
[19:22] 練我的功
[19:23] 然後每天都幫自己幹嘛
[19:24] 做自我療癒
[19:25] 然後每天進入狀況
[19:27] 然後幫自己閱讀
[19:28] 然後我現在怎麼狀況
[19:30] 我怎麼怎麼處理
[19:30] 然後不是只有做而已
[19:32] 做完你還要看績效的
[19:35] 我是這種人
[19:36] 就是比如說我做感情
[19:38] 那我就要看我的感情有沒有變好
[19:41] 那我做家庭關係
[19:42] 我就要看我跟某某人的關係
[19:44] 有沒有變好
[19:45] 以此類推
[19:46] 所以我才會知道
[19:47] 我幫我自己做的
[19:49] 那個個案做的好不好
[19:51] 那個叫做什麼
[19:52] 就是個案數量實戰經驗
[19:54] 做自己也算哦
[19:56] 因為你你會最大量做的
[19:59] 很有可能就是你自己
[20:01] 或者你身邊的親友們
[20:03] 好那你的數量
[20:04] 個案數量實戰經驗夠了
[20:07] 那你就生根了
[20:08] 這時候你生根的這個東西
[20:10] 你在給予他賦予他一個具有
[20:14] 商業價值的靈魂定位的時候
[20:16] 哇那很棒
[20:18] 那你就你就定位定天下了
[20:21] 那心裡說
[20:22] 可是你雖然累積個案很多
[20:24] 但是都是做幕後哦
[20:26] 現在要出來做很多用
[20:27] 有人用這個頭銜了
[20:28] 所以你有可能要調整你的頭銜
[20:31] 有可能這個到時候要去了解
[20:34] 才會知道
[20:35] 好因為
[20:36] 如果是這樣要了解是什麼頭銜了
[20:38] 那再來
[20:39] 那我跟大家講一個事情
[20:41] 以前我是不是在培訓那個靈魂解讀師
[20:45] 好所以呢
[20:46] 我假設我培訓很多人
[20:48] 像可能你培訓很多人
[20:51] 好那假設你是培訓很多人
[20:53] 那你可能就是這些療癒師的頭了
[20:56] 你知道嗎
[20:56] 所以不一樣的等級哦
[20:58] 不一樣你就是叫什麼創辦人創始人哦
[21:01] 不一樣哦
[21:02] 所以我當時是什麼
[21:03] 我培訓了很多靈性解讀師
[21:06] 那我是靈性
[21:07] 我是就是靈魂溝通創始人
[21:10] 我培訓很多靈魂溝通解讀師
[21:12] 理解嗎有理解嗎
[21:14] 所以不同哦
[21:15] 那個等級不同好不好好
[21:19] 那我再跟大家講一下
[21:20] 你知道了靈魂定位之後
[21:23] 我要跟大家講一件事情
[21:25] 很多人可能會有的錯誤觀念
[21:28] 你看一下哦
[21:30] 你可能會怎麼樣呢
[21:32] 你可能會寫下一堆定位
[21:34] 或者是服務內容
[21:36] 然後你覺得我這樣好專業哦
[21:39] 然後但是很多人以為
[21:40] 這樣就等於是定位了
[21:42] 但其實這是服務清單哦
[21:44] 這不是定位哦
[21:46] 所以我剛剛說
[21:48] 哦信立法則導師是一個定位
[21:51] 但他以目前的商業價值交低了
[21:54] 對不對因為很多人都用了
[21:56] 那什麼樣的哦
[21:58] 名稱他會是有價值的
[22:01] 可能跟什麼有關
[22:02] 比如說跟現代
[22:05] 現在要你要跟
[22:06] 你要與時俱進
[22:08] 好又與時俱進的那個名稱
[22:11] 這是第一種嗎
[22:12] 第二種可能是最有你獨特
[22:15] 特質的名稱
[22:18] 好那就是這些都要混合在一起
[22:20] 就會是你等一下我們會跟大家做一個
[22:22] 範例介紹
[22:24] 那我要講的是來
[22:25] 什麼叫做這些就是
[22:28] 呃寫下一堆定位是什麼概念
[22:31] 我舉例給大家聽
[22:33] 好比如說這就是寫下一堆案例
[22:36] 定位案你先看左邊
[22:38] 有的人會這樣哦
[22:39] 我是西太遼遇師
[22:40] 我是導師
[22:41] 我是中國行李諮詢師
[22:43] 我是吹棉導師血白治療
[22:46] 系統導師救警靈氣老師大天使
[22:50] 療癒師金錢靈氣
[22:51] 然後我又說我提供了
[22:53] a a b c d e f
[22:57] 好來請問一下哦
[22:59] 你你大家看左邊
[23:01] 有沒有常
[23:02] 這是不是你有沒有覺得這是常見狀況
[23:05] 你有沒有覺得
[23:06] 然後有沒有常常看到很多人
[23:09] 寫很多這樣的定位下來
[23:11] 有沒有啊
[23:12] 有沒有啊
[23:13] 然後呢
[23:14] 請問你會記得他是做什麼嗎
[23:17] 你會記得他最擅長的是什麼嗎
[23:20] 你覺得會嗎
[23:22] 我問你
[23:27] 還是你就是這樣做的
[23:29] 所以你不敢回我
[23:33] 好你不不不不容易記得他做什麼
[23:37] 對不對為什麼
[23:39] 因為太多了
[23:41] 對吧你看左邊
[23:42] 我們看1 2 3 4 5 6 7 7種
[23:48] 結果呢他又寫的服務是什麼呢
[23:50] 1 2 3 4 5哦還好寫無種
[23:54] 但是我已經眼花療亂了
[23:56] 你有沒有覺得
[23:57] 有沒有眼花療亂的感覺會嗎
[23:59] 有跟我一樣這種感覺的打一
[24:01] 就是有點眼睛花花的
[24:03] 然後對
[24:05] 但不知道怎麼描述自己的服務呢
[24:07] 講到重點了
[24:08] 等一下我們會講好不好
[24:10] 那我們再來看右邊
[24:11] 右邊也是一個類似的概念
[24:13] 就是他寫了自己會什麼你看
[24:15] 1 2 3 4 5 6
[24:19] 哎也是六種哎
[24:20] 但是就是他寫他的
[24:22] 有點像是他是哪裡的講師
[24:24] 哪裡的講師
[24:25] 你看有
[24:26] 呃
[24:27] 但這個比較多元了
[24:29] 你看哦太極查到手工造
[24:33] 品油師
[24:34] 這然後食物創意產品種子培訓講師
[24:40] 自然手作
[24:41] 我靠跟你講哦
[24:42] 我寫了五個對不對
[24:44] 但是我覺得好饒舌哦
[24:47] 然後有沒有覺得什麼叫做
[24:48] 歐洲專業初階品油師這什麼東西啊
[24:53] 我沒聽懂
[24:54] 然後呢
[24:55] 太極查到器
[24:57] 也就是他會的東西
[24:58] 包山包海有沒有發現有沒有覺得
[25:03] 已經有就是
[25:04] 就好像你跟我說
[25:05] 我是數我會數學我會物理
[25:08] 我會化學
[25:09] 我會什麼
[25:11] 你有沒有發現是有點類似這種
[25:13] 我會中文我會英文就就
[25:15] 不是同意領域的
[25:17] 他有點像是不同領域
[25:18] 茶跟手工造是同領域嗎
[25:21] 跟油是同領域嗎
[25:23] 有沒有理解我意思啊
[25:24] 有的大家有好不好
[25:25] 你有沒有覺得像右邊
[25:27] 這個就更混亂了
[25:29] 你有沒有發現左邊這個還
[25:31] 比較都是身心靈圈的
[25:33] 就好像是你跟我講工程師
[25:35] 我是什麼工程師
[25:36] 什麼工程師都還是工程師品品項類的
[25:39] 但是右邊這個品項哇
[25:41] 更多元了
[25:42] 而且更不容易懂了
[25:44] 所以這個就會更難推了
[25:46] 好了
[25:47] 我寫這個不是要告訴你們那些是誰
[25:49] 而是我要你問問你自己
[25:51] 你有做類似的情形嗎
[25:54] 千萬不要這麼做
[25:55] 這就是寫下一堆定位範例
[25:57] 那一堆定位寫了
[26:00] 這種是來我問你們請問
[26:02] 最重要問題來了
[26:04] 請問你覺得這是有效定位
[26:06] 還是無效定位
[26:08] 如果你覺得有效
[26:09] 你幫我打有效
[26:11] 你覺得覺得無效
[26:13] 有效就打個有
[26:14] 無效就打個無
[26:16] 我看你覺得是有效還是無效
[26:18] 你認為他寫的這麼多是
[26:20] 有效定位還是無效定位
[26:30] 好
[26:31] Michel Zoya Livia
[26:34] 然後那個
[26:36] A B
[26:37] 你們都說是5對不對
[26:39] 5其他人呢
[26:41] 還在嗎還在嗎
[26:42] 好
[26:43] 會顯得很厲害
[26:44] 但不太有存焦率
[26:46] 早期我要跟大家講
[26:48] 早期這麼寫是可以的
[26:50] 玉莉哎
[26:50] 台南的玉莉
[26:52] 哦玉莉發生了很棒哦
[26:54] 早期這麼寫或許可以
[26:57] 但是大家聽一下很重要了
[27:00] 大家有沒有發現
[27:02] 自從疫情開始之後
[27:06] 所有的人一窩蜂的人
[27:08] 從現場轉到線上居多了對不對
[27:12] 所以以前你也看手機
[27:14] 但是因為疫情看手機的頻率
[27:17] 跟以前就大幅度的不一樣了
[27:20] 然後大家的學習方式
[27:21] 也大幅度的做一個轉變了
[27:24] 所以哦
[27:24] 你會發現現在什麼都寫
[27:27] 已經不行了沒錯沒錯
[27:30] 好所以那
[27:31] 這就是寫下一堆定位
[27:33] 那我們來看一下
[27:33] 剛剛是不是也有說
[27:34] 也有人會寫下一堆服務內容
[27:37] 我們來看看如果
[27:38] 寫下一堆服務內容是什麼好不好
[27:41] 比如說有的人就會寫說
[27:43] 哦我的服務就是我可能
[27:45] 嗯會銅鑼會昆達
[27:47] 妮妮會數字意經會塔羅
[27:49] 會西塔療癒
[27:50] 哎你看左邊這個人他寫了五種
[27:53] 這麼多
[27:54] 那右邊呢
[27:55] 哎又有精油
[27:56] 又有音樂又沾心又有個案
[27:58] 哎我我沒有亂說
[28:00] 真的很多人是這樣就是
[28:01] 我會什麼就把我會的都寫上來
[28:05] 讓我問大家一個最
[28:07] 真實的狀況
[28:08] 你有這樣子嗎
[28:10] 你也有這樣寫的
[28:13] 打個有
[28:17] 有有沒有
[28:19] 哦妹子說是以前的你對哎
[28:22] 有沒有人有這樣
[28:23] 哎誠實哦沒關係哦
[28:25] 你誠實我可以告訴你怎麼做嗎
[28:27] 哦好心語還好我寫寫沒發出去
[28:30] 好那我
[28:31] 那個威威說有
[28:33] 其實老實說哦如果有是蠻正常的
[28:37] 是蠻正常的
[28:39] 那那該怎麼做才能有是很正常的
[28:43] 我老實說因為為什麼很正常
