[00:00] 能量清理一有
[03:53] 理解嗎
[03:54] 所以你自己要開什麼課
[03:57] 那麼你自己在那個部分的能量要穩
[04:00] 好那如果你今天開的是占卜
[04:03] 是不是你要對你自己的占卜能力要好
[04:06] 對不對就是你要穩
[04:07] 就是你要落地
[04:08] 好你可以講的出人類聽的懂的話
[04:12] 而不是零性語言可以理解嗎
[04:16] 好你們理解我意思嗎
[04:18] 不要講飄飄然的話
[04:19] 好以前我在培訓那個
[04:22] 療癒師的時候我都要
[04:24] 讓他們講人類聽的懂的話
[04:27] 而不是你認為高大上
[04:29] 你認為就是很厲害
[04:31] 但人家聽不懂
[04:33] 這個就是所謂的能力要落地
[04:35] 好那這件事情
[04:37] 呃就是我以前在培訓
[04:39] 療癒師的時候他們都知道我是
[04:41] 我比較偏魔鬼訓練等級的哦
[04:44] 因為那個他們講的
[04:46] 人家聽不懂的時候
[04:47] 我就說你這樣沒有用
[04:49] 你能力再怎麼好
[04:50] 人家聽不懂都是沒有用的
[04:52] 好那最後還有一個
[04:54] 給全職身心靈工作者的建議是什麼
[04:56] 你的收入要跟上哦
[04:58] 你不要自己哦
[04:59] 自就是呃你的能力好是一件事
[05:03] 你的能量穩也很好
[05:05] 那麼接著就是最重要的
[05:07] 你的收入要跟上
[05:09] 如果你收入沒有跟上哦
[05:11] 我可以告訴你
[05:12] 你很有可能會進入到一個什麼
[05:15] 你服務別人了
[05:16] 但是你自己
[05:18] 還內耗
[05:18] 因為你收入沒跟上
[05:21] 然後就像我剛剛說的風水師
[05:22] 或是剛剛我剛剛說的另外那個朋友
[05:25] 哎他們報名的人不多
[05:28] 然後他想服務也沒得服務
[05:30] 然後他還編內耗呢
[05:32] 如果那或者是一種
[05:33] 或者有一種人士
[05:35] 他因為要服務別人
[05:36] 就是我們總是要給一個
[05:38] 有的人會想我一定要給一個超佛心價
[05:41] 所以過度佛心價
[05:42] 他就支持不了自己的生活
[05:45] 支持不了自己的生活
[05:46] 自己就內耗了
[05:48] 有沒有聽到這裡為止
[05:50] 都有
[05:51] 你覺得到目前為止有讓你覺得有收穫嗎
[05:55] 有的打個有
[05:57] 我看一下到目前為止
[06:03] 有收穫哦
[06:04] 好謝謝奇奇利表
[06:06] 謝謝Ruby Michelle
[06:07] 好你們有多回應的人哦
[06:09] 謝謝瑞翔Fan
[06:11] 好那我繼續哦
[06:13] 我繼續哦我們來看看哦
[06:15] 那那接著我要
[06:17] 這個是給全職身心靈工作者的建議對不對
[06:20] 接著我要給
[06:21] 如果你有一技職場
[06:24] 你的專你有一個專長
[06:26] 比如說你的專長是護理師對不對
[06:28] 剛剛是不是有人在說你可能是護理師
[06:31] 你可能是貧管工程師
[06:33] 你是什麼樣職業
[06:35] 然後你想結合身心靈有這樣嗎
[06:38] 有的話打
[06:39] 打個吧
[06:40] 你有你有一個你自己的專長
[06:43] 然後你想結合身心靈嗎
[06:45] 我要告訴你
[06:46] 你們一定要清楚的聽一下
[06:49] 這個是現在
[06:51] 最夯最夯的整合行定位
[06:54] 你一定要仔細聽
[06:56] Woodie仔細聽哦
[06:58] 這就是你們現在最夯的整合行定位
[07:01] 來我告訴你們什麼是整合行定位哦
[07:04] 給你們看一下
[07:05] 我這只是舉例我都舉不完太多例子
[07:08] 比如說整集師成靈氣能量
[07:11] 有沒有我們的同學裡面就有這樣的人
[07:13] 護理師成情緒疏通
[07:15] 健身教練成正念覺察
[07:18] 哎我要告訴你都是
[07:19] 大部分都是我的學員裡面有的哦
[07:22] 所以我要告訴你這現在已經是最夯的整合行
[07:25] 我等一下會告訴你為什麼
[07:27] 我們就是你是什麼職業
[07:29] 成什麼樣的你已經接觸
[07:32] 而且你很喜歡的身心靈的
[07:35] 那個能力跟技能
[07:37] 有理解我在說什麼
[07:39] 好比如說有個企業顧問
[07:41] 他可能是加上NLP的引導對不對
[07:44] 然後瑜伽老師是不是可以加上送博音料
[07:47] 對不對
[07:48] 然後真的有美容方寮老師
[07:50] 他加上生命數字的
[07:52] 我等一下告訴你們怎麼做哦
[07:54] 我等一下會舉一兩個例子
[07:56] 然後保險顧問
[07:57] 如果你是在做保險的
[07:59] 你是不是可以加上像奇普掛
[08:01] 健康推廣成心盤
[08:03] 然後幼教老師
[08:04] 剛有幼教老師
[08:06] 可以成能就加上情緒引導
[08:08] 藝術創作剛好像也有
[08:10] 可以加上比方
[08:11] 我這只是後面這一段
[08:13] 你的你的身心靈學到的
[08:16] 你喜歡的是什麼
[08:17] 你把它融會貫通
[08:19] 我舉例說明你們就會懂了
[08:22] 什麼意思哦
[08:23] 比方說我們有
[08:25] 我看我舉哪一個太多了
[08:27] 哦我舉那個
[08:29] 美容方寮好了哦
[08:31] 我有個朋友呢
[08:32] 他在做美容的
[08:34] 他幫人家做臉部剝筋
[08:36] 大家聽一下他做臉部剝筋
[08:39] 他在做臉部剝筋
[08:40] 還有身體剝筋的時候
[08:43] 他就會邊告訴對方
[08:45] 哎我幫你剝筋
[08:46] 然後啊我發現你這邊帶
[08:48] 就是比如說剝筋剝臉的時候
[08:51] 是不是比如說
[08:52] 臉部跟身體內臟有關嘛
[08:55] 這個有在做身體的
[08:56] 或做臉的你們就會知道哦
[08:58] 然後他就會說哎
[09:00] 你的下巴隨便講
[09:01] 下巴跟腹科有關
[09:03] 然後呢
[09:04] 哦你的副科可能不太好哦
[09:06] 哎我可以透過生命數字
[09:08] 來幫你看一下你的狀況
[09:10] 等一下你要不要我幫你算一下
[09:12] 免費的哦
[09:13] 啊然後10分鐘15分鐘就好
[09:15] 他是先做一個最基礎簡單的
[09:18] 大家聽清楚哦聽一下哦
[09:20] 好最基礎簡單的
[09:21] 他告訴對方之後
[09:23] 哎對方是不是覺得
[09:24] 哇生命臨床那是什麼啊
[09:27] 好了對方是不是問了那是什麼啊
[09:29] 然後這個美容師就
[09:32] 這個波精師就告訴他
[09:33] 我跟你說這個生命臨床好特別哦
[09:36] 他可以算出你生命裡面
[09:38] 可能有沒有財運的感情
[09:41] 然後你的健康你的什麼
[09:44] 也就是說他幫他做臉的時候
[09:47] 然後呢還順便跟他講了這個東西
[09:50] 對不對
[09:51] 那大家聽一下後面都聽一下後面
[09:53] 後結果呢
[09:54] 這個這個客戶做完身體了
[09:57] 做完臉了因為做臉他做得很舒服
[09:59] 然後被弄得漂漂亮亮是不是心情也好了
[10:03] 好心情好了
[10:04] 他就坐下來花個可能10分鐘左右
[10:06] 告訴對方這個人的生命數字
[10:09] 然後生命數字呢哇數字是什麼
[10:12] 什麼嗯我跟你說
[10:14] 那那然後他在跟他在幫客戶做臉的時候
[10:17] 是不是會聊天
[10:19] 聊天的時候就會知道
[10:20] 因為剛才是不是說啊下巴代表什麼
[10:22] 哪裡代表什麼
[10:24] 然後呢可能就會聊到對方的健康
[10:27] 也可能會聊到對方最近心情
[10:30] 預足的事情是什麼
[10:32] 有沒有聽到這裡都有理解哦
[10:34] 然後結果對方可能就說啊
[10:36] 感情如何如何或者是工作如何如何
[10:39] 好隨便講哦
[10:40] 我家裡如何如何是不是會聊
[10:43] 那聊到了之後呢
[10:44] 對方又幫他算了生命數字
[10:46] 我們就假設是感情好了
[10:49] 他就說哎呀你感情我跟你講
[10:51] 為什麼你現在單身
[10:52] 因為你感情裡面缺了什麼什麼
[10:55] 所以我跟你建議哦
[10:57] 你最好買個什麼什麼水晶
[10:59] 然後我跟你說我哪個客戶
[11:01] 他因為買水晶什麼怎麼樣怎麼樣的
[11:04] 之後他感情就變得如何如何
[11:06] 他就會舉一兩個例子給他聽
[11:09] 然後怎麼來補水晶
[11:11] 他就會跟對方說
[11:12] 然後所以我跟你們說哦
[11:14] 來那個如果你是這種
[11:16] 整合行定位的人聽清楚了
[11:19] 你們原本的收入
[11:21] 可能在4到8萬之間
[11:24] 對吧
[11:24] 你們原本的收入可能可能更多
[11:27] 4到8萬
[11:28] 但是你加上身心靈的這個
[11:31] 這個定位之後
[11:32] 就加上融會關通
[11:33] 到你本來的專業裡面的時候
[11:36] 你會發生一個東西叫做直變
[11:41] 大家寫下來
[11:42] 你會發生一件事情叫做直變
[11:44] 什麼意思
[11:46] 你本來是美容方寮
[11:48] 外面一大堆人都美容方寮對吧
[11:51] 理解嗎
[11:52] 但是你加了一個
[11:54] 就是所以你會吸引來的客戶
[11:56] 他本來沒有
[11:57] 或本來可能沒有接觸身心靈
[12:00] 或者他接觸了一點身心靈
[12:02] 然後但他接觸不多
[12:04] 淺淺的有可能
[12:05] 好但是因為你接觸到身心靈
[12:08] 這些東西
[12:08] 然後你把你知道的這個東西幫他算
[12:11] 然後這個客戶就會覺得很特別
[12:13] 那不論你的客戶才剛接觸
[12:16] 或是接觸很久不管哦
[12:18] 他都會因為
[12:19] 哎你也懂身心靈
[12:21] 耶
[12:22] 然後他就會對你產生不一樣的印象
[12:26] 大家理解我的意思嗎
[12:28] 到目前有理解的
[12:30] 打個打個8
[12:31] 我就知道你理解打個8
[12:33] 有沒有理解
[12:34] 到目前有理解我嗎
[12:36] 然後他因為你們產生直變了
[12:39] 那產生直變會造成什麼事情
[12:42] 他對你的印象
[12:44] 跟對其他的方寮式的印象是不是不一樣
[12:48] 是不是不一樣
[12:49] 因為你的特殊定位
[12:51] 你的定位比起一般的
[12:53] 那個方寮式你的定位更加特殊
[12:56] 他除了找你做方寮
[12:57] 以後可能想找你做生命數字
[12:59] 好那我們再來說保險顧問
[13:02] 啊這裡好像沒有保險顧問對不對
[13:04] 有嗎
[13:05] 有嗎
[13:06] 如果有在舉沒有就算了我舉別的哦
[13:08] 哦
[13:09] 但是就是或者是你是說
[13:12] 做健康的
[13:13] 或者就比如說做大健康的做什麼的哦
[13:16] 我們說做大健康好了
[13:19] 好你可能在做一些健康推廣
[13:21] 但是呢不論你說保險或健康
[13:24] 大家有沒有發現
[13:25] 我想聽護理的哦
[13:26] 好好我講護理的好了
[13:28] 我跟你講護理師是這樣子
[13:31] 護理師你也可以加上情緒溝通
[13:34] 或者加上你本來會的
[13:36] 好比如說我們也有一個同學他是護理師
[13:39] 然後他我跟你們講護理師
[13:41] 你本來收入就不錯了對不對
[13:44] 好可能是我猜我我我大約
[13:47] 知道在五萬多到八萬上下不等
[13:50] 大概大概這個range
[13:51] 所以你看你們的本來的本業
[13:55] 就已經收入不錯了對不對
[13:57] 但是可能護理師常常可能日夜點導啦
[14:00] 或者是工作比較忙啦
[14:02] 那你們可能在你們的環境裡面
[14:06] 你們會學會更多的是
[14:08] 比如說保護自己的能量
[14:10] 或者是支持到別人的情緒對不對
[14:14] 所以當你這個護理師
[14:16] 如果你還可以支持到來
[14:18] 來看診的病人
[14:20] 去做相關的情緒溝通
[14:22] 然後這都是有方法的
[14:24] 所以護理師呢
[14:26] 他就開始把他的
[14:28] 第二可能性的那個定位
[14:30] 讓他的就是來來訪者知道
[14:34] 那來訪者知道
[14:35] 當然我們會有方式教大家
[14:37] 現在那個時間關係不方便說
[14:40] 因為這個是很個人的方式
[14:42] 到時候有機會我跟大家說
[14:45] 然後讓這個護理師開始可以做
[14:48] 跟別人不一樣的引流的方法
[14:50] 所以呢他的
[14:52] 他的客戶呢
[14:52] 可能都是這些病人
[14:54] 然後他就會幫助他們
[14:55] 可能都是要就是護理還有看
[14:58] 分是哪個護理
[14:59] 在大醫院或是小診所
[15:02] 然後這個是在大醫院的
[15:04] 那在大醫院呢
[15:05] 你就會常常截圖到很多病人
[15:07] 然後他們的情緒是不是需要得到
[15:10] 疏通是不是需要得到支持
[15:13] 好需要得到支持就不一樣了
[15:15] 所以呢
[15:16] 這個護理師他就開始
[15:18] 多了一個副業收入
[15:20] 為什麼呢
[15:21] 因為當他護理師
[15:23] 曾經情緒疏通的時候呢
[15:25] 他就支持到那些情緒
[15:27] 很需要得到舒緩的
[15:29] 然後這些病人就會
[15:30] 或是病人或者是
[15:32] 病人的家屬
[15:34] 就會去找到他
[15:36] 理解哦
[15:37] 然後然後這個護理師是不是
[15:39] 他的定位就有別於一般的護理師了
[15:42] 就不同了
[15:43] 然後還有我覺得最重要的是什麼
[15:45] 你們開始會覺得自己不再只是
[15:49] 好不再只是一個健身教練了
[15:52] 也不再只是一個護理師了
[15:54] 你會發現你的等
[15:56] 有沒有開始覺得你把你的生命高度
[15:59] 拉高了一個幾次
[16:01] 大家幫我打上生命高度
[16:04] 就是整合行定位的人
[16:06] 你們的生命高度已經不再只是
[16:09] 你以為的幼教老師了
[16:12] 你以為的企業顧問
[16:13] 你以為的保健品指銷不是的
[16:17] 你的生命高度拉高了
[16:19] 被你自己拉高了一個幾次
[16:22] 然後因為你的生命高度拉高了
[16:25] 所以你就會吸引到什麼
[16:28] 就是你就更
[16:30] 你是不是量
[16:31] 你是不是更亮了
[16:32] 對不對你就更亮一點了
[16:34] 所以你就會吸引到人們
[16:36] 對你的注意力產生
[16:38] 那注意力產生代表什麼
[16:40] 這就是你的定位就不一樣了
[16:41] 但是如果你沒有訴說出去
[16:44] 人家怎麼知道你有這個定位呢
[16:46] 對不對
[16:47] 所以有知道嗎
[16:48] 所以現在整合行定位是不是很重要
[16:52] 你的專長結合身心靈
[16:54] 現在最夯的整合行定位
[16:57] 那全職身心靈工作者也很夯
[17:00] 這兩個都是夯的
[17:02] 然後這兩者呢
[17:03] 我會告訴你們怎麼結合
[17:06] 就是你本來會的
[17:07] 然後再加上現在新的定位
[17:09] 你怎麼支持到你自己
[17:11] 這個是
[17:12] 所以呢
[17:14] 準備起航囉
[17:15] 我剛剛只是那個開胃菜而已
[17:18] 現在我要開始告訴你們
[17:20] 年收百萬的秘訣囉
[17:23] 然後來到這三天的先修班呢
[17:26] 的同學們
[17:27] 我先說明一下
[17:29] 你們來到這三天的先修班
[17:30] 我們會正送這三個禮物給你們
[17:33] 這三天的講座也是送給大家的
[17:36] 有沒有
[17:37] 已經很豐富了
[17:38] 還送不夠耶
[17:39] 還要再送三個東西
[17:41] 這三個是什麼啊
[17:42] 第一個臨性顯化招生落地表
[17:44] 我幫你去對照出顯化沒有落地的關鍵點
[17:49] 快速找到你的卡關位置
[17:51] 這樣你才會知道到底是哪個地方讓你沒有顯化
[17:55] 然後第二個呢是一對一的一個品牌診斷
[18:00] 協助你們來釐清你的品牌現狀
[18:02] 還有提供專業的建議
[18:04] 好
[18:04] 然後第三個禮物呢
[18:06] 就是一個一人臨性學院的收入地圖哦
[18:10] 然後這個地圖裡面呢
[18:11] 你可以清楚的去看到你的
[18:13] 從你的個案啊
[18:14] 課程啊
[18:15] 系統
[18:15] 它是一個如何穩健的一個完整的路徑
[18:19] 好
[18:20] 那既然呃
[18:21] 這是我們晚一點會送給大家的哦
[18:24] 好
[18:25] 那我們繼續今天的那個課程哦
[18:27] 那首先為你介紹一下我自己哦
[18:29] 就是我做到的一點點小小的成績
[18:32] 不是多
[18:33] 不是多厲害的成績
[18:35] 但是我只是想跟大家說
[18:37] 當一人公司微型創業的時代來臨了
[18:40] 不論你是全職或者是你是
[18:43] 呃整合型的呃整合真心靈領域的
[18:47] 不論你是哪一種
[18:49] 現在都是我們微型創業的時代
[18:51] 那我自己呢在2021年那12月的時候呢
[18:56] 我剛學習到了一個方法
[18:59] 他有點像是顧問成交的方法
[19:01] 那我用了那個方法呢
[19:03] 幫助我那兩個禮拜呢
[19:05] 台幣大約是17萬的進賬
[19:08] 然後呢
[19:09] 當然我慢
[19:10] 那是在2021年奧利夏也已經有好幾年了
[19:13] 然後呢
[19:13] 我在2023年的時候呢
[19:16] 我開始學習到呃
[19:18] 就是顧問成交
[19:20] 如果再加上呃成交系統
[19:24] 這兩個東西
[19:25] 那可以怎麼樣
[19:26] 所以呢
[19:26] 我就那時候
[19:27] 我把後面兩個加在一起之後呢
[19:30] 就一個禮拜的時間開始
[19:32] 台幣47萬進賬
[19:34] 那當然呢到了
[19:36] 人總是會進步的嗎
[19:37] 那當然我到了2023年那兩個月
[19:40] 我把這三個方式都加在一起之後呢
[19:44] 呃那兩個當然我還有
[19:46] 幫忙我的就是合作人員
[19:48] 有兩個合作人員
[19:49] 所以那時候那兩個月
[19:50] 我們創造大約台幣170萬的進賬
[19:54] 然後到了今
[19:55] 去年
[19:56] 去年的7月
[19:58] 我用了一樣這樣的方式
[20:00] 然後呢
[20:01] 那就是一樣的方式了
[20:03] 自媒體加顧問加成交系統
[20:05] 大概是這樣的概念
[20:06] 然後我就用三個禮拜的時間
[20:08] 去達到了107萬的進賬
[20:11] 那給大家看一下
[20:13] 這個就是呃
[20:14] 當時我有進賬的一些紀錄
[20:16] 就為了要讓大家知道這是真的
[20:19] 我盡可能的截圖
[20:22] 呃
[20:22] 然後那兩個月的時間
[20:25] 運用顧問成交
[20:26] 就台灣大陸都有
[20:28] 呃那我是誰呢
[20:29] 的收就是的
[20:31] 學生都有
[20:32] 那我是sally
[20:33] 我是零信品牌
[20:35] 落地師
[20:35] 我也是沙利小宇州的創辦人
[20:39] 那我呢
[20:40] 是有已經有20年的
[20:41] 升星林的教學經驗了
[20:43] 然後我在兩岸
[20:44] 已經有數百場的實戰受課經驗
[20:47] 不論是現場或線上
[20:49] 我都有受課經驗
[20:51] 而且
[20:52] 其實如果有機會
[20:53] 你們來我現場
[20:54] 課
[20:54] 我的現場受課也是挺挺好的
[20:57] 哦我自己自認為哦
[20:59] 那我是一個可以陪你
[21:01] 把你的專長還有升星林結合在一起
[21:04] 然後讓你用一個很有系統的方式
[21:07] 然後幫助你去持續產生你的
[21:10] 收入的一個
[21:11] 呃一個對象哦
[21:13] 那我可以幫助你的是
[21:14] 呃從靈魂定位到品牌系統
[21:17] 到你的文件收入
[21:18] 這個是我希望可以支持到
[21:20] 呃人們落地的地方
[21:23] 好那呃這是我
[21:25] 以前
[21:26] 開課的照片
[21:28] 好以前可能在兩岸
[21:29] 開課的一些照片
[21:31] 然後這個是有一次
[21:32] 我很喜歡的照片
[21:34] 就是我們在一個
[21:35] 呃酒店開課
[21:36] 然後開完之後那個酒店走出去
[21:39] 一分就是
[21:40] 對不起
[21:40] 我是跟證哦
[21:41] 走出去幾秒鐘
[21:43] 我們就到這邊大草原
[21:45] 然後那裡有草泥馬
[21:46] 有很多野生動物我非常喜歡
[21:48] 所以我總是得把那張照片放進來哦
[21:52] 好那現在我要來跟大家講
[21:54] 就是升星林工作者
[21:55] 我們剛剛是不是說有這三個挑戰
[21:57] 今天我們要來特別說
[21:59] 第一個挑戰的部分哦
[22:01] 就是收入不穩定靠介紹靠
[22:04] 緣分成交來
[22:06] 我問一下大家
[22:07] 呃你們有沒有人啊
[22:09] 你是現在還是靠人家介紹
[22:13] 或是靠緣分你才會有客戶
[22:15] 有嗎
[22:15] 誠實告訴我就是
[22:17] 大多數來說大多數不是
[22:20] 就是呃大多數來說
[22:21] 你可能是要靠介紹才有人
[22:24] 那如果沒有介紹
[22:25] 你的收入就不穩定
[22:26] 有嗎
[22:27] 有沒有
[22:28] missou 有
[22:29] 然後彥宇說有
[22:31] 然後Luna
[22:33] Nasha
[22:34] 好然後呃
[22:36] 尼恩對哎
[22:37] 大家都很誠實的肉依好
[22:40] 非常感謝你們的誠實
[22:42] 那我問你們一個問題哦
[22:44] 呃你們
[22:46] 你們的呃你們是靠介紹對不對
[22:49] 那人家都怎麼介紹人給你
[22:52] 比如說打電話給你嗎
[22:55] 還是怎麼給你們
[22:56] 他都是通過什麼渠道
[22:59] 來幫你介紹的
[23:01] 可以告訴我嗎
[23:06] 打電話啦
[23:07] 打電話找你啦
[23:08] 還是賴你啦
[23:09] 還是email給你啦
[23:12] 還是什麼message給你啊
[23:14] 我問一下哦
[23:15] luna
[23:15] 賴
[23:16] nasha
[23:16] 賴
[23:17] 呃
[23:18] fan
[23:19] 彥宇都是賴對不對
[23:20] 好都有
[23:21] 大部分都是賴對不對
[23:23] 賴是我們現在
[23:24] 最常用的工具大家同意嗎
[23:28] 我們是不是天天都會用賴
[23:31] 如果你天天都會用賴的
[23:33] 你幫我打個天天
[23:35] 如果你天天都會用賴的人
[23:37] 你幫我打個天天
[23:40] 我不是說你天哦
[23:41] 但是我們真的天天賴哦
[23:43] 有沒有好
[23:44] 那我問一下各位
[23:45] 所以賴
[23:46] 我可以這麼說嗎
[23:47] 你們你們
[23:49] 絕不覺得賴就是我們的什麼
[23:51] 思慾流量池同意嗎
[23:55] 賴是不是就是我們的思慾流量池了對不對
[23:58] 好那我們來看一下
[23:59] 賴我們是怎麼用的
[24:01] 我們有個人的賴
[24:02] 我們有賴的群組
[24:04] 我們有賴社群
[24:05] 我們有賴o a對不對
[24:07] 我們有這些東西
[24:08] 那人家如果介紹朋友給你
[24:11] 就是賴到你的個人對不對
[24:14] 大部分來說
[24:15] 除非你有自己弄了一個賴 o a
[24:17] 對不對就是賴 o a
[24:18] 就是官方賴的意思
[24:20] 那如果你沒有用這個東西
[24:22] 那對方就會幫你介紹到你的個人
[24:25] 就大部分是這樣子嘛
[24:27] 那或者呢
[24:28] 你也可能會有一個賴的群組
[24:30] 或者是你弄了一個賴的社群
[24:32] 但是如果要人家要介紹給你
[24:34] 通常賴社群不合適
[24:36] 我來說明一下
[24:37] 賴群組呢
[24:38] 有的人可能不知道哦
[24:40] 賴群組是可以讓你跟對方
[24:43] 附加個人的賴
[24:45] 但是賴社群就不行
[24:47] 而且賴就是賴社群就是比較
[24:49] 保護各資的概念就是
[24:51] 如果比如說
[24:53] 我我們彼此都是不能加彼此的好友的
[24:58] 但是賴群組可以
[25:00] 然後賴 o a
[25:01] 又有一個什麼好處呢
[25:03] 賴 o a 就是官方賴
[25:04] 你們可能就比如說你們加了一個
[25:07] 叫我的叫做沙利小宇宙官方賴
[25:09] 對不對
[25:10] 那這個賴就是你們可以跟我對話的地方
[25:14] 然後我的工作人員也會在那邊
[25:16] 來支持你們
[25:18] 然後我然後一般而言
[25:20] 我比我的學生跟我不會有我
[25:23] 他們不會有我的個人賴
[25:25] 但是他們會有我的官方賴
[25:27] 這樣子理解哦
[25:28] 那如果人家介紹客戶給你
[25:31] 他們都是大部分可能就在你的個人賴
[25:34] 對不對
[25:35] 那如果賴到你個人裡面
[25:39] 你才會有生意對不對
[25:41] 但是我們剛剛說了
[25:42] 如果你的生意就是收入不穩定
[25:45] 那你有可能會做什麼事情
[25:47] 我們我們來看看我們可能做什麼
[25:50] 因為收入不穩
[25:51] 而如果你又是全職的
[25:54] 在做神行靈工作
[25:56] 那這時候是不是心裡有點小慌慌
[25:58] 怎麼辦我全職
[26:00] 但是收入不穩定會慌吧
[26:02] 對不對全職工作者會不會
[26:04] 你告訴我會不會
[26:05] 你打個會或不會
[26:07] 啊全職工作者可能還有一個點啦
[26:09] 說不定你
[26:10] 對不起有點熱講到都熱血沸騰
[26:12] 我脫隔外套
[26:14] 講到都熱血沸騰了
[26:15] 然後如果如果家裡有支持
[26:18] 那當然可能就不會慌
[26:20] 但是如果家裡沒有支持
[26:22] 就是沒有另外一個人支持好
[26:23] 你得自己就是
[26:25] 還得付下個月的帳單
[26:27] 那麼會不會慌
[26:29] 會還沒全職
[26:30] 資隱
[26:31] 資隱你講的太邪實了
[26:34] 還沒全職就慌了
[26:35] 是的是的
[26:36] 可能還沒全職就慌了
[26:37] 對吧
[26:38] 那怎麼辦
[26:39] 如果慌了會幹什麼事
[26:40] 我問你們
[26:41] 我問那個會慌的人
[26:43] 我問你哦
[26:44] 你誠實回答我會慌的人
[26:46] 請問你會做什麼事
[26:49] 你們如果會慌的話
[26:50] 請問你因為因為
[26:52] 我們在賴已經有私欲流量池了
[26:54] 對不對
[26:55] 我們手邊有什麼
[26:57] 我們手我們的手機裡面
[26:59] 有很多好友對不對
[27:00] 賴好友對不對
[27:02] 請問你會不會發訊息
[27:04] 給你的賴好友
[27:06] 通知他你可能有什麼個案
[27:08] 或你有什麼課程
[27:09] 會幹這種事嗎
[27:11] 會不會啊
[27:12] 會的打會不會打不會
[27:14] 有幹過這個事情嗎
[27:17] 或者是
[27:18] 不會有沒有幹過這個事情
[27:20] 我先問問有沒有我有
[27:22] 我有幹過這個事
[27:25] 有沒有人有過
[27:26] 我先問問看
[27:29] 有嗎
