[00:00] 大家都知道2024到2043這20年是很具有潛力的
[03:46] 所以我要問你們一件事情
[03:49] 你到底有沒有下定決心要改善改變
[03:54] 你的生活
[03:55] 你的水平
[03:56] 還有你今天來到這邊
[03:57] 你只是想聽聽技術嗎
[04:00] 那個是重點嗎
[04:01] 重點是你的心裡有沒有準備好
[04:04] 你下定決心你要改變你的人生
[04:08] 這件事情才是我覺得最重要的
[04:11] 如果這件事情是成立的話
[04:14] 那麼接下來你聽他才會真的支持你
[04:17] 但是如果你連你要走到哪裡
[04:20] 你都沒有那個強大的渴望
[04:23] 那我可以告訴你
[04:24] 你就那個可能這堂課就沒有那麼必要聽
[04:28] 你知道嗎
[04:29] 因為我們真正需要就是
[04:31] 我真正想支持的是那種
[04:34] 他知道他很想要幫助自己
[04:36] 幫助身邊的人
[04:38] 甚至幫助自己的家人
[04:40] 你們過上
[04:41] 是真的過上安心的日子
[04:43] 我不敢保證什麼多好的日子
[04:46] 多豐盛多財富多怎麼樣的日子
[04:49] 但是我覺得
[04:50] 讓你的收入穩定
[04:51] 讓你的生活安定安心
[04:54] 我覺得這件事情是很重要的
[04:56] 如果你也覺得這是很重要的
[04:58] 如果你也真的有這個渴望的
[05:01] 你刷個巴巴巴讓我知道好不好
[05:03] 我確認一下
[05:04] 你是不是真的跟我同品
[05:07] 而不是我們
[05:08] 一下要一下不要一下要一下不要
[05:11] 然後你不斷尋尋覓覓
[05:12] 然後不斷的行動力不足
[05:15] 你知道嗎
[05:16] 如果你的行動實有實無
[05:19] 然後你有時候又要有時候不要
[05:21] 那那個東西不會是我想給你的
[05:25] 真的
[05:25] 因為我知道那個過程不容易
[05:28] 我也知道身心工作者
[05:30] 你們上三輪很強
[05:32] 但是我現在要給你的
[05:34] 不是上三輪的東西
[05:36] 我要幫你落地
[05:38] grounding
[05:38] 然後落地這個東西
[05:40] 他強度比較強一點
[05:43] 然後他技術上多一點
[05:45] 我知道他可能有一點硬沒有錯
[05:49] 因為他沒有辦法
[05:50] 都是輕飄飄的舒服的
[05:52] 但是他真的可以讓你的生活
[05:55] 變得更自在
[05:56] 然後讓你真的實現了你
[05:59] 對於你內在想要前進到哪裡的渴望
[06:02] 我跟你們說一件事情好不好
[06:05] 這件事情我之前跟我朋友講到會哭
[06:07] 我告訴你們這真實狀況好不好
[06:09] 你要聽嗎
[06:10] 我的我們我家裡真的有一個真實狀況
[06:13] 好就是之前我媽媽
[06:15] 你知道我幾年前
[06:16] 就是中間我跟我媽媽其實
[06:19] 我我先回到這兒有
[06:21] 那個中間我跟我媽媽
[06:23] 有很長一段時間
[06:24] 那時候我們是沒有聯絡的
[06:27] 那為什麼沒有聯絡呢
[06:28] 因為
[06:29] 我媽媽他當時總是在給我們很
[06:32] 他就像無底洞
[06:33] 就金錢無底洞
[06:35] 就是如果你有錢他就會給你拿錢
[06:37] 你沒有錢他還會叫你借錢
[06:39] 你借不了錢他借錢怎麼樣
[06:42] 他會說那時候流行
[06:43] 那什麼什麼什麼
[06:46] George & Mary大家還有印象嗎
[06:48] 就是叫你去遇見現金
[06:50] 我媽媽就會叫我們去遇見現金
[06:52] 你遇見不了了
[06:54] 他就說你的老闆也可以見
[06:56] 你的哪個朋友
[06:56] 我媽媽會戲屬我的朋友誰誰誰
[07:00] 然後所以就叫我去跟那些人借錢
[07:02] 那請問聽到這裡你會覺得要是
[07:04] 那個這個是你媽媽你會覺得很
[07:07] 很難過
[07:08] 就是他一直要把你的信用
[07:10] 然後我的信用卡我的信用
[07:12] 我這個人就整個狀況變得很不好
[07:15] 所以以前我有很長一段時間
[07:18] 是不跟我媽媽聯絡的
[07:19] 因為聯絡等於什麼你們知道嗎
[07:21] 聯絡等於是我要我永遠
[07:25] 存不了錢
[07:26] 好所以
[07:27] 那但是當我接觸生性靈質後
[07:29] 我知道
[07:31] 我要療癒這件事情
[07:32] 對不對
[07:33] 然後所以
[07:34] 從不聯絡好幾年不聯絡
[07:36] 然後我有喘息
[07:38] 到了我決定我要好好療癒
[07:40] 我跟我媽媽的關係
[07:41] 到我決定重新跟他相處
[07:45] 然後我們重新相處我發現的一件事情
[07:47] 因為那時候我們都沒有住在一起了
[07:48] 媽我已經成年了
[07:50] 他們他住他的我住我的
[07:52] 然後結果你知道嗎
[07:53] 有一次我去我媽媽住的地方
[07:55] 那時候我那幾年前我才意識到一件事
[07:59] 我媽媽
[08:00] 他那時候
[08:02] 50幾還60了吧
[08:04] 然後你知道嗎
[08:05] 他住在一個套房
[08:07] 然後他住在套房
[08:09] 你知道我那時候一進去那個套房
[08:11] 我不誇張
[08:12] 我眼淚都快飆出來了
[08:14] 我是忍住的
[08:15] 因為那時候還好我姐姐也在
[08:17] 所以大家好像一副歡歡樂樂的走進去
[08:20] 但是你們知道為什麼我那時候很想哭嗎
[08:23] 因為我媽媽
[08:25] 他現在講到都會覺得有點
[08:27] 有點震盪
[08:30] 因為我媽媽他住的地方沒有廚房
[08:33] 然後你知道嗎
[08:34] 他的願望就是他的願望就是
[08:36] 他要有一個廚房
[08:39] 然後我為了這件事情
[08:41] 我當時覺得怎麼會有
[08:43] 然後你們知道我住在哪裡嗎
[08:45] 我那時候給讓自己住在一個
[08:47] 就是我恢復單身了
[08:49] 然後我就住在兩房的空間
[08:51] 兩房一定會帶廚房
[08:52] 然後一個房間就是我的工作室
[08:55] 一個房間就是我睡覺
[08:56] 我睡覺的地方
[08:57] 然後我以後有個廚房
[08:59] 然後我有個餐廳
[09:00] 我有個客廳
[09:02] 然後我有兩隻小貓咪
[09:04] 然後看著幸福對不對
[09:06] 但是當我去我媽媽那邊的時候
[09:08] 我突然意識到一件事情
[09:10] 我要有一個願望
[09:12] 我的願望就是什麼
[09:14] 我的願望就是我要給我媽媽
[09:16] 一個有廚房的家
[09:19] 你們知道嗎
[09:20] 這件事情就成為了我的動力
[09:24] 然後那個動力你們知道有多強大嗎
[09:28] 你們有沒有這樣的動力
[09:30] 那個動力是什麼強大到
[09:33] 你如果跌倒了受傷了
[09:36] 哪裡不舒服了
[09:37] 那個動力永遠都會提醒你
[09:41] 你有能力的
[09:42] 你站起來
[09:44] 你可以的
[09:45] 因為還有一個人等著你照顧
[09:48] 然後那個人是誰
[09:51] 然後我希望喚醒你的這個動力
[09:54] 然後很多人不敢相信自己
[09:57] 就是不敢去正視這個渴望
[09:59] 你知道為什麼嗎
[10:01] 因為你們可能會覺得自己能力不足
[10:04] 你們可能覺得自己能力不足
[10:06] 我做得到嗎
[10:07] 因為我怕我做不到
[10:09] 所以我不敢有夢想
[10:10] 我不敢有很大的渴望
[10:12] 我不敢說我要買一間房子給我家人
[10:16] 我不敢說我要帶我家人去旅行
[10:19] 類似這樣的想法
[10:21] 所以呢我就弱
[10:22] 所以我們不敢下訂單的時候
[10:25] 那會造成什麼
[10:26] 你的訂單只是下一個叫做
[10:28] 潛層的訂單
[10:29] 欣賞是不成是為什麼
[10:31] 因為你下的訂單叫做潛層的
[10:34] 它不是深層的
[10:36] 跟你的內在無法真正深層勾住綁定的
[10:40] 所以我現在要跟各位說
[10:43] 你們
[10:44] 如果你有一個
[10:46] 願望
[10:47] 然後那個願望就是發自於你底層的
[10:51] 那個才會是你的動力燃油
[10:54] 好嗎
[10:54] 那我要先講這件事情是因為
[10:56] 這件事情就是我的動力燃油
[10:58] 那當然我不只這個是我的動力燃油
[11:01] 我還有其他的
[11:02] 我只是舉一個例子給你們聽
[11:04] 你去想一下你有什麼動力燃油
[11:07] 然後那個是讓你願意持續前進
[11:11] 勇往前行
[11:12] 你不會突然
[11:14] 你不會今天愛做不做
[11:15] 你不會自己在那邊內耗
[11:17] 然後你不行動的
[11:19] 因為最終你要去做的就是行動
[11:22] 好嗎
[11:23] 好那來到今天這三天的活動的同學
[11:27] 如果你還沒有領到著聲落地表
[11:30] 修入地圖或品牌診斷之
[11:32] 等一下我們會告訴你去哪裡領取
[11:35] 然後這是我前兩天會做的介紹
[11:37] 那我今天略略的帶過好不好
[11:40] 因為我們今天要做事情太多了
[11:43] 好
[11:43] 然後我就稍微帶過一下就可以了
[11:46] 好嗎
[11:47] 然後那個因為我剛剛講了就是
[11:51] 對不起
[11:52] 就帶過太快了
[11:53] 那個我要回到大家的初心
[11:57] 你的初心是什麼
[11:58] 然後你的內在渴望你什麼
[12:00] 你的動力燃油是什麼
[12:02] 在這裡我很希望可以提醒你
[12:05] 換行務
[12:06] 不要忘了你內在的那個渴望
[12:09] 好
[12:10] 然後那個渴望會是什麼
[12:11] 什麼才能夠支持著你前進
[12:14] 那當然我也是因為
[12:15] 我小時候家裡真的很辛苦
[12:17] 所以我知道那個動力是在這裡
[12:20] 那不是說每個人一定要家裡
[12:22] 很辛苦才能怎麼樣也不是的
[12:24] 每一個人的動力燃油是不同的
[12:28] 然後我只能說你去找到你的那個動力燃油
[12:31] 像我還有一個動力
[12:32] 我還有一個動力就是我要
[12:34] 像我有兩個媽媽
[12:36] 我的舊媽也是我的媽媽
[12:38] 然後他也對我非常好
[12:40] 我也非常愛他
[12:41] 我的另外一個動力就是
[12:42] 我要讓我的舊媽那個晚年幸福
[12:45] 然後健康幸福
[12:47] 所以呢
[12:48] 我
[12:49] 而且就是都要就是
[12:51] 孩子都會對他好
[12:53] 所以呢
[12:54] 我就是他的孩子之一
[12:55] 對不對
[12:56] 我控制不了他的其他孩子
[12:58] 但是我可以控制我自己
[13:01] 對不對
[13:01] 以前我跟我舊媽住在同一個城市的時候
[13:04] 我每個禮拜一定會去看他風雨無阻
[13:07] 那現在我們住在不同城市了
[13:09] 我每個月也會去看他一次風雨無阻
[13:12] 這就是我對他的愛
[13:14] 那所以我要說的事情呢是
[13:17] 那個渴望是什麼
[13:19] 你有沒有為你的渴望付諸行動
[13:22] 就像我愛我舊媽
[13:24] 然後我知道他需要陪伴
[13:26] 所以我每個月
[13:27] 不論如何我一定會上台北一次
[13:29] 我一定會去看他
[13:30] 我只要上台北
[13:31] 我所有的朋友都知道
[13:33] 我一定有一個行程就是要去看我舊媽
[13:35] 有時候一個月一到兩次不等
[13:37] 好
[13:38] 所以這個就是我的初心
[13:40] 好
[13:40] 那既然我有這個初心
[13:42] 那當然我也知道
[13:43] 因為這個初心我走過了一些路
[13:45] 所以我當然知道
[13:47] 升星林工作者的挑戰
[13:49] 還有一個點
[13:50] 也是我以前有經歷過的
[13:52] 就是什麼
[13:53] 單次收費不穩定
[13:54] 所以我不知道客人什麼時候再來嘛
[13:57] 對不對
[13:57] 那有過這個狀況的朋友嗎
[14:00] 有的話你可以幫我按個
[14:03] 有
[14:03] 你可以讓我知道你有這個狀況嗎
[14:06] 如果有的話
[14:07] 我們來看一下
[14:09] 這個是我前兩天
[14:12] 前幾天我是不是
[14:13] 跟你們講到
[14:14] 成功的領性自媒體的成功基礎架構
[14:17] 我們講了底下這兩個隊
[14:19] 我們也講了
[14:20] 報款貼文跟短訊
[14:21] 對不對
[14:22] 今天我要跟你們講服務方案
[14:24] 還有提供服務跟方案
[14:26] 那至於如何好好服務學
[14:28] 那個設施也是你們的功夫了
[14:31] 對不對
[14:31] 你看你的實戰經驗
[14:33] 我可以替你做嗎
[14:34] 不行
[14:35] 你的個案數量
[14:36] 我可以替你做嗎
[14:37] 不行
[14:37] 那你的服務學員服務的好不好
[14:39] 那跟什麼有關
[14:40] 跟你的心態有關
[14:42] 對不對
[14:42] 所以我能夠支持你嗎
[14:44] 不行
[14:44] 但是我可以支持的是其他的部分
[14:47] 對不對
[14:47] 好
[14:48] 那我今天來告訴你方案這件事情
[14:51] 那
[14:52] 然後方案呢
[14:53] 我要先跟大家說
[14:55] 你如何可以達到一個內外
[14:57] 兼修的豐盛生活呢
[15:00] 這裡呢
[15:01] 是我認為你可以打造一個
[15:03] 萬元級別的服務方案
[15:06] 兼入年入百萬的品牌系統的方式
[15:09] 那我們是不是第一天
[15:11] 有跟大家講兼系統
[15:12] 對不對
[15:13] 他很重要
[15:14] 然後呢
[15:15] 再來今天要跟大家講
[15:16] 接案服務
[15:17] 還有開設課程這兩個事情
[15:19] 那至於可從銷商品
[15:21] 他不在我們這次想要說的
[15:24] 但是我也想要提到
[15:25] 他是因為
[15:27] 我覺得身心靈圈
[15:28] 你看
[15:29] 比如說你如果是做塔羅斯
[15:31] 你可能可以賣什麼塔羅牌
[15:33] 對不對
[15:34] 我隨便講
[15:35] 那如果是做水晶
[15:36] 或者是做生命零數
[15:38] 或者是做什麼
[15:40] 這些東西象棋占卜
[15:41] 你是不是都有可能
[15:43] 因此會賣水晶
[15:44] 賣一些相關產品
[15:46] 有沒有
[15:47] 懂得打懂
[15:48] 所以呢
[15:48] 這邊有可能會有你的重銷商品
[15:51] 好
[15:52] 那
[15:53] 那但是我要說
[15:54] 除非你的可重銷商品
[15:56] 他是很
[15:57] 就是很價格很高的
[16:00] 可以利潤很好的
[16:02] 不然他可能這裡面的占比
[16:04] 說不一定到那麼的高
[16:06] 有可能是這樣子
[16:08] 所以我今天會特別針對
[16:10] 你會真正讓你的收入穩健的
[16:14] 他會讓你真的穩健的
[16:15] 更多的會是你的
[16:17] gm服務
[16:17] 或是開設課程
[16:18] 這兩個東西
[16:20] 好
[16:20] 那我現在要告訴你的東西
[16:23] 是付費級學員
[16:25] 才會知道的秘密
[16:26] 哦
[16:28] 好
[16:28] 我們關於個案提供的策略
[16:31] 在這裡
[16:31] 我要告訴大家了
[16:32] 就是提提供一個體驗個案服務
[16:36] 來
[16:37] 大家聽一下這個東西
[16:38] 這個很重要
[16:39] 因為這個真的是我們付費級學員才會知道
[16:42] 但我現在要告訴你
[16:44] 什麼叫做體驗個案服務
[16:46] 來
[16:46] 我問一下你們
[16:47] 你們現在的個案費用
[16:49] 來打上來告訴我
[16:50] 你不論你是一小時
[16:52] 一個半小時多長時間
[16:54] 你就直接把你的費用
[16:56] 正常的個案費用打上來
[16:58] 哦
[16:59] 那個三千就打三千
[17:00] 六千就打六千
[17:01] 以此類推
[17:02] 你的個案費用是多少
[17:04] 一千五你就打一千五
[17:06] 我看一下你的個案
[17:07] 正常個案費用正常的
[17:09] 你打你正常的個案費用
[17:11] 然後我會告訴你這是什麼意思
[17:13] 哦
[17:14] 好
[17:15] 我看到有有四千三千一千八
[17:18] 好一千八
[17:19] 一千八好有兩位
[17:21] 好兩千四
[17:24] 嗯
[17:25] 兩千五好
[17:27] ok 好
[17:28] 那這個都是我們正常的一個個案費用
[17:31] 對不對
[17:32] 一般來說啦
[17:34] 身心靈工作者
[17:35] 他的個案就是
[17:37] 如果是比較偏身心靈權
[17:39] 或是偏命理
[17:40] 好
[17:40] 那你的個案費用抽成不太
[17:43] 抽成跟我們給個案是不一樣
[17:45] 因為你是跟老師配合吧
[17:47] 是不是
[17:47] 哦
[17:48] 然後如果呢你是
[17:50] 好
[17:50] 你是那個療癒師
[17:52] 你通常做一個個案
[17:54] 可能你的收費
[17:55] 從一千八到六千不等
[17:58] 那如果知名一點的話
[18:00] 可能
[18:01] 到八千一萬二
[18:03] 一萬五都有可能哦
[18:04] 那再更知名
[18:05] 肯定也不舉這個價錢了
[18:07] 那但是當然他也不是
[18:09] 只是知名度問題而已
[18:10] 有些知名度很高的老師
[18:12] 他說的價錢一樣
[18:14] 一直都可能維持在三千六之類的
[18:17] 他沒有因為這樣就變
[18:18] 從三千六變三萬六
[18:20] 也是有可能的
[18:21] 只是
[18:22] 我知道有的老師
[18:23] 他是
[18:23] 嗯
[18:24] 可能一直維持三千六
[18:26] 然後但是呢
[18:26] 他可能已經排了好幾個月的個案
[18:29] 哦
[18:29] 他是用這樣的方式也有的
[18:31] 就是
[18:32] 能就是他的個案能力真的很強的
[18:35] 好
[18:36] 那我為什麼要講這個呢
[18:38] 是因為你們
[18:38] 你們都知道你們正常費用對不對
[18:41] 那我來告訴你哦
[18:42] 我問你們一個問題
[18:44] 我問你
[18:45] 嗯
[18:46] 現在
[18:47] 你覺得現在在做身心靈的人
[18:49] 有沒有多比方
[18:50] 嗯
[18:51] 做西塔療癒
[18:52] 或是做塔羅牌占卜
[18:54] 然後或者是做靈氣
[18:57] 你覺得
[18:58] 現在身心靈
[19:00] 就是學身心靈的人多不多
[19:02] 你覺得多就打多少就打少
[19:04] 你覺得多的打多少的打少
[19:07] 沒關係
[19:07] 你就你就真實的告訴我你的想法
[19:11] 哦
[19:11] 米秀
[19:12] 嗯
[19:12] 卡羅
[19:13] 什麼
[19:13] Kiruna
[19:15] 哦
[19:15] 你們
[19:16] 然後
[19:16] A比
[19:17] 你們都說多
[19:18] 哦
[19:19] 好
[19:19] 然後呢
[19:20] 我告訴你沒件事情
[19:21] 好不好
[19:22] 現在的確是學習身心靈的人
[19:25] 比以前更多了
[19:27] 那這個是好事嘛
[19:28] 對不對
[19:29] 這是好事
[19:30] 但是大家想一下
[19:31] 以前早期
[19:33] 你們在給正式的個案費用
[19:36] 然後人家因為看到你去找你
[19:38] 這是很正常的方式
[19:39] 對不對
[19:40] 以前的方式都沒有問題
[19:42] 但是來
[19:43] 請大家幫我打幾個字
[19:45] 與時俱進
[19:47] 請你務必與時俱進的
[19:50] 去看看現在的狀況
[19:53] 那現在因為療癒失變多了
[19:55] 好
[19:55] 比方說我舉例
[19:57] 比方說現在塔羅失變多了
[19:59] 好
[19:59] 所以呢
[20:00] 你的一個
[20:01] 你的個案一千八
[20:03] 他也一千八
[20:03] 大家都差不多一千八好了
[20:05] 我舉例
[20:06] 但是呢
[20:07] 大家都差不多一千八
[20:08] 所以這個
[20:09] 你的這個客人
[20:10] 有可能會比較一號
[20:11] 二號
[20:12] 三號
[20:12] 四號
[20:13] 他會去一個一個比
[20:14] 然後他搞不清楚
[20:17] 他到底找誰
[20:18] 誰比較厲害
[20:19] 你們覺得是不是這樣
[20:21] 你覺得是嗎
[20:21] 是的
[20:22] 打是
[20:23] 他搞不清楚
[20:24] 誰比較厲害
[20:24] 於是他產生了一個問題
[20:27] 他有選擇困難症
[20:28] 因為他就那個一千八
[20:30] 對不對
[20:30] 然後但他不可能
[20:32] 五個人的一千八都去做吧
[20:34] 你同意嗎
[20:35] 他不可能幹這件事
[20:36] 所以怎麼辦呢
[20:38] 那我提供了一個方案
[20:41] 然後這個方式
[20:43] 大大的幫助我的學員們
[20:46] 得到一個很好的
[20:47] 一個
[20:48] 就是得到更多的客戶
[20:50] 來到他面前
[20:52] 就是我現在告訴你的
[20:53] 提供體驗
[20:55] 負個案的服務
[20:56] 來我問你們
[20:57] 你們想一下
[20:58] 這個其實在身心鳴居
[21:00] 有做到這件事情的不多
[21:02] 很少
[21:02] 你們只有一個時間
[21:04] 會幹這個事情是什麼
[21:05] 就是你剛學完一個技術
[21:07] 你需要練習
[21:09] 你才給體驗方案
[21:10] 是不是這樣
[21:11] 你自己說
[21:12] 是還是不是
[21:14] 好
[21:14] 然後呢
[21:15] 你練習完了
[21:17] 好了
[21:17] 你就直接收一個正式費用了
[21:20] 然後你就突然發現
[21:21] 一個很殘酷的現象是什麼
[21:24] 怎麼沒有人了
[21:25] 有這個狀況的
[21:26] 請幫我刷個5
[21:28] 你有這個狀況
[21:29] 就是
[21:29] 奇怪了
[21:30] 我好像本來蠻多人找我的
[21:32] 那你體驗完了
[21:33] 怎麼都沒人了
[21:35] 哎呀
[21:35] 自己是那邊失落
[21:37] 所以你已經好不容易練功成功了
[21:40] 應該正式
[21:41] 對
[21:41] 我怎麼
[21:42] 因為我知道
[21:43] 應該正式這時候
[21:44] 要大展宏圖的時候
[21:46] 結果沒有人
[21:48] 好
[21:48] 那我跟大家分享以前
[21:49] 我有一個
[21:51] 一個
[21:51] 就是那時候
[21:52] 一個學生
[21:53] 他那時候也是來
[21:54] 跟我學習完了之後
[21:56] 然後那時候我幫他引流
[21:58] 那時候在內地
[21:59] 所以人比較多
[22:00] 你知道我幫忙他們
[22:01] 一領
[22:02] 有兩個
[22:02] 那時候兩個人
[22:04] 這兩個人
[22:05] 我分別都幫他們引流了
[22:06] 一百多個
[22:07] 各一百多個人
[22:08] 你知道這個一百多個
[22:09] 那個兩個人都
[22:10] 哇
[22:10] 意氣風發
[22:11] 你知道嗎
[22:13] 結果重點來了
[22:15] 當就是體驗
[22:16] 體驗個案結束的時候
[22:18] 然後呢
[22:18] 後面正式收費就沒有人
[22:20] 為什麼
[22:21] 因為他們不知道怎麼去鋪店
[22:23] 他們也不知道怎麼跟人家說
[22:25] 他們就覺得
[22:26] 我體驗完
[22:27] 我提供了
[22:28] 那個就是免費個案
[22:29] 你也自己該懂付費了吧
[22:31] 那你也自己下次應該要自來
[22:33] 自己知道來找我吧
[22:35] 然後他們又不好意思說
[22:36] 所以後面都沒有後續了
[22:39] 好
[22:39] 所以現在我來告訴你
[22:40] 一個秘密
[22:41] 怎麼怎麼做
[22:42] 就是提供體驗個案
[22:44] 什麼意思
[22:45] 我來
[22:46] 所有的人
[22:47] 不論未來你
[22:49] 會不會成為
[22:50] 我們後續的學生
[22:51] 我要告訴你這件事
[22:53] 都是希望可以支持你
[22:55] 好不好
[22:55] 你把這一招拿去用
[22:58] 你就會很好用了
[22:59] 好嗎
[23:00] 雖然我的付費學生
[23:01] 可能會想K我
[23:03] 但是我真的是太想告訴你們
[23:05] 你們如果策略方式錯誤
[23:08] 你們現在
[23:09] 因為你知道為什麼
[23:09] 我想告訴你們嗎
[23:11] 我跟你們講實話好不好
[23:13] 因為我看到你們填
[23:14] 那個諮詢表單過來
[23:15] 我其實
[23:16] 我蠻心疼的
[23:17] 你知道嗎
[23:18] 因為我看到有一些人
[23:19] 他們就是收入不穩定
[23:21] 都是落在兩萬三萬
[23:22] 兩萬三萬之間
[23:24] 那我就在想說
[23:25] 我可以如何支持你們
[23:26] 所以我要告訴你這件事情
[23:29] 是因為你們值得
[23:30] 但是你們不知道你值得
[23:33] 你們懂我意思嗎
[23:34] 你不知道你值得
[23:36] 你不知道你卡在哪裡
[23:38] 所以內耗
[23:39] 但是我今天提供的策略方法
[23:41] 就需要協助你解決這個問題
[23:44] 所以你一定要仔細聽
[23:45] 我今天是帶著
[23:47] 我一定要來支持你
[23:48] 幫助你的想法
[23:50] 那我也希望你仔細聽
[23:52] 好不好
[23:53] 然後來聽一下
[23:54] 你的個案服務
[23:56] 你要怎麼提供體驗呢
[23:57] 我告訴你們一個秘密
[23:59] 這個秘訣就是
[24:02] 如果你今天的粉絲量
[24:04] 超過兩萬三萬五萬
[24:06] 你可以不要聽
[24:08] 那如果你沒有超
[24:09] 而且我說的是深度
[24:11] 比較已經是你的鐵粉的
[24:14] 如果一萬以上的鐵粉
[24:16] 那你不要說一萬
[24:18] 就五千個以上的鐵粉也可以
[24:21] 但是如果你的鐵粉
[24:23] 記得鐵粉沒有到那麼多
[24:25] 那你一定永遠務必
[24:27] 都用我這個方法知道
[24:29] 可能我們整個朝代
[24:31] 又變得不一樣再說
[24:33] 什麼意思呢
[24:33] 就是你永遠都要提供一個
[24:36] 超便宜的體驗個案服務
[24:38] 超便宜的體驗個案服務
[24:40] 永遠不論你
[24:42] 你現在已經有
[24:45] 兩百個三百個五百個的
[24:47] 個案的經驗
[24:49] 你永遠都給別人體驗個案服務
[24:52] 來舉例說明
[24:54] 今天你是塔羅斯
[24:56] 然後別人你身邊一堆塔羅斯
[24:58] 我們就所有10個塔羅斯
[25:00] 10個塔羅斯
[25:01] 都給一個個案
[25:02] 一千八或兩千五好了
[25:04] 都大概這樣的價格嘛
[25:05] 對不對
[25:06] 今天你要怎麼破圈圖為呢
[25:09] 很簡單
[25:10] 今天你比方我舉例
[25:12] 你可能提供一個
[25:13] 一百一十一兩百二十二的費用
[25:17] 請問你有沒有覺得
[25:19] 哇靠有夠便宜
[25:20] 有沒有來
[25:21] 你會覺得哇靠
[25:23] 這個人老師有夠便宜的
[25:24] 有沒有
[25:25] 有好
[25:26] 那很便宜之後
[25:27] 請問這一排
[25:28] 我今天在臉書上
[25:30] 在ig上
[25:31] 我看到了一堆老師
[25:33] 然後這一堆老師
[25:34] 因為我現在對於塔羅有興趣
[25:37] 然後我要找
[25:38] 想要找塔羅斯
[25:40] 結果呢
[25:40] 每一個都一千八到兩千五
[25:43] 那因為我現在月收入
[25:44] 可能三萬多四萬塊
[25:46] 我就那我要花一個一千八兩千五
[25:48] 我也會斟酌的嘛
[25:50] 我肯定想找一個可以
[25:52] 就是讓我覺得好的
[25:53] 結果有一個人他寫了一百一十一塊
[25:56] 那那對我來說
[25:58] 一百一十一塊
[25:59] 天哪
[25:59] 連個便當都不用
