[00:00] 我這幾天在閉關
[06:18] 我們就在他們在天上
[06:20] 我們在地上爬這種感覺
[06:23] 我覺得我感覺
[06:25] 好像在教自己
[06:27] 我個人是這樣想
[06:29] 我覺得靈性那塊給陳老師教就好
[06:32] 但是生跟心的基礎的
[06:35] 是要學
[06:37] 舉例子說
[06:39] 我舉例子說
[06:41] 禮貌這種東西
[06:42] 靈性可能不會教你
[06:44] 但這個很重要
[06:46] 例如說你說話要引導他人
[06:48] 是正面的影響
[06:50] 然後我自己觀察
[06:52] 這些靈性
[06:54] 從小到大人
[06:55] 他們的想法都反覆面
[06:57] 因為他們小時候可能
[06:58] 就是不被理解的對象
[07:00] 所以他是小時候的
[07:02] 我們以前的語言叫硬痕
[07:04] 是因為他們小時候
[07:06] 他們小時候
[07:07] 他們小時候
[07:08] 他們小時候
[07:10] 他們小時候
[07:11] 他們小時候
[07:12] 他們小時候
[07:13] 他們小時候
[07:14] 他們小時候
[07:15] 他們小時候
[07:16] 他們小時候
[07:17] 他們小時候
[07:18] 他們小時候
[07:19] 他們小時候
[07:20] 他們小時候
[07:21] 他們小時候
[07:22] 他們小時候
[07:23] 他們小時候
[07:24] 他們小時候
[07:25] 他們小時候
[07:26] 他們小時候
[07:27] 他們小時候
[07:28] 他們小時候
[07:29] 他們小時候
[07:30] 他們小時候
[07:31] 他們小時候
[07:32] 他們小時候
[07:33] 他們小時候
[07:34] 他們小時候
[07:35] 他們小時候
[07:36] 他們小時候
[07:37] 他們小時候
[07:38] 他們小時候
[07:39] 他們小時候
[07:40] 他們小時候
[07:41] 他們小時候
[07:42] 他們小時候
[07:43] 他們小時候
[07:44] 他們小時候
[07:45] 他們小時候
[07:46] 他們小時候
[07:47] 他們小時候
[07:48] 他們小時候
[07:49] 他們小時候
[07:50] 他們小時候
[07:51] 他們小時候
[07:52] 他們小時候
[07:53] 他們小時候
[07:54] 他們小時候
[07:55] 他們小時候
[07:56] 他們小時候
[07:57] 他們小時候
[07:58] 他們小時候
[07:59] 他們小時候
[08:00] 他們小時候
[08:01] 他們小時候
[08:02] 然後再想要再學校的教育
[08:04] 跟是
[08:05] 在出了社會
[08:06] 連對你的認同感
[08:07] 或是
[08:08] 你在
[08:09] 在群體之間
[08:10] 在群體之間
[08:11] 被獲得的認同感
[08:12] 對你之間
[08:13] 被獲得的認同感
[08:14] 對你之間
[08:15] 被獲得的認同感
[08:16] 對你之間
[08:17] 被獲得的認同感
[08:18] 對你之間
[08:19] 被獲得的認同感
[08:20] 對你之間
[08:21] 被獲得的認同感
[08:22] 對你之間
[08:23] 被獲得的認同感
[08:24] 對你之間
[08:25] 被獲得的認同感
[08:26] 對你之間
[08:27] 被獲得的認同感
[08:28] 對你之間
[08:29] 被獲得的認同感
[08:30] 對你之間
[08:31] 每個人的亮點
[08:33] 跟我就舉例這個點好了
[08:34] 我覺得這個點
[08:35] 就是這很基本
[08:36] 我很想要建立的團體
[08:38] 就是可以看到每個人的亮點
[08:39] 然後他
[08:40] 因為感恩就會
[08:41] 他會做感恩
[08:42] 他就會習慣性看到的是好的
[08:44] 光是這一點
[08:46] 他們就很值得學
[08:47] 我就舉例
[08:48] 他們要學東西
[08:49] 真的很多
[08:50] 這麼簡單
[08:51] 我覺得是一般人要會的東西
[08:53] 但很多人不會
[08:54] 怎麼樣去
[08:57] 塑造這個神經鏈
[08:59] 我們叫神經鏈的習慣
[09:01] 這是可以做到的
[09:02] 據說
[09:03] 我看到很多身心老師來抽煙
[09:05] 像話嗎
[09:06] 我舉例
[09:07] 我就用這麼簡單的舉例
[09:08] 我覺得也是教生
[09:09] 跟心跟領導
[09:10] 你那邊抽煙跟抖角
[09:12] 我就覺得
[09:13] 我的天啊
[09:14] 但是
[09:15] 我們以前也都有個溝通
[09:17] 我們也寫學MAC
[09:18] 寫技能溝通書的時候
[09:19] 就要講
[09:20] 怎麼樣戒嚴
[09:21] 就是
[09:22] 我自己在學溝通書的時候
[09:23] 是有學的
[09:24] 那我知道那個
[09:25] 我以前在七月火的時候
[09:26] 學的是原生家庭
[09:27] 這些生細老師連生
[09:29] 延伸家庭都沒學過的
[09:31] 我記得覺醒
[09:33] 我記得
[09:34] 因為我之前學的是
[09:35] 創造覺醒體系
[09:36] 他講惡原對立
[09:37] 再講
[09:38] 原生家庭
[09:39] 他們連這個都沒學過的
[09:41] 他們又是出來一個學個
[09:45] 可能外面上一張
[09:46] 學個兩張
[09:47] 你就出來教的
[09:48] 我覺得
[09:50] 我看到的都是這樣
[09:51] 他們的基本的底子
[09:52] 滿符
[09:55] 非常薄弱
[09:57] 非常薄弱
[09:58] 你可能跟他講
[09:59] 對啊
[10:00] 就是
[10:01] 他們學的東西都很
[10:03] 怎麼講
[10:05] 因為他們直接進領的那一塊的人
[10:07] 他們身跟心的基礎
[10:09] 我覺得不怎麼樣
[10:11] 不
[10:12] 很普通
[10:13] 就是我自己在看
[10:14] 說原生家庭的這個基本
[10:15] 就是你太膽子
[10:16] 因為就是我上上對他們互動
[10:18] 是這種感覺的
[10:19] 就是
[10:20] 你不覺得他們的
[10:22] 他們的教育
[10:24] 在學教育是很贏的嗎
[10:26] 他們的學歷
[10:28] 各方面都不怎麼樣
[10:30] 對啊
[10:32] 應該是
[10:33] 或者是根本不完整
[10:34] 然後他們的父母
[10:35] 給他們教育
[10:36] 就是幾乎沒有
[10:37] 就是家教也滿差
[10:38] 除了子宇
[10:39] 子宇
[10:40] 就是你
[10:41] 但是他公
[10:43] 被集在那裡
[10:44] 那裡有便當基
[10:46] 他們就很像當基
[10:47] 簡單講就是鬥陶哥
[10:49] 對
[10:50] 就是當基
[10:51] 就是一堆
[10:52] 對
[10:53] 學歷
[10:54] 當然沒有說不好
[10:55] 學歷
[10:56] 不好可能這個人
[10:57] 也比較創造型
[10:58] 可是他們的
[10:59] 我覺得
[11:00] 因為
[11:01] 他們可能在
[11:02] 零屆也沒有錯
[11:03] 但是我以身心靈的
[11:05] 大眾對於身性老師的角度
[11:07] 他就要講話
[11:08] 脾氣要很好
[11:09] 他說話要讓人家很舒服
[11:11] 就講這兩件事情
[11:12] 就做不到了
[11:13] 這裡面只有子宇跟你做得到
[11:15] 講難聽一點就是你們兩個
[11:17] 因為我自己看過他們嘛
[11:19] 只有兩個
[11:20] 但是隨準以上的
[11:22] 其他
[11:23] 我沒看到有這個隨準
[11:25] 就是你說話人家很舒服
[11:27] 今天不是本來
[11:29] 本來你跟老師是約的嗎
[11:31] 老師都現在還沒跟我約啊
[11:32] 他只是說回國跟我約
[11:33] 他們沒有跟我講
[11:34] 確切的時間
[11:35] 我估計一定是顏後的
[11:37] 我估計他一定顏後這樣
[11:40] 因為反正
[11:42] 我猜他顏後的
[11:44] 所以我還把客成都
[11:47] 沒有吹他
[11:48] 我就不會去吹他
[11:49] 他忙
[11:51] 我都是很為人想
[11:53] 我想他這麼忙就別吹了
[11:55] 人家一定是現在
[11:56] 人家忙
[11:57] 我只提醒過一次
[11:59] 問他什麼時間
[12:00] 他說回國在約
[12:01] 我就好
[12:02] 你忙吧
[12:03] 我是一個也不太喜歡
[12:06] 我知道一個人忙的時候
[12:07] 會被吹是很煩的時候
[12:09] 就讓他忙
[12:10] 一定有變速
[12:12] 那變速就別吹他了
[12:14] 我就純粹講這個
[12:18] 你們就是例如說
[12:21] 像原生家庭
[12:22] 你怎麼從內部去翻轉
[12:24] 然後怎麼樣是
[12:25] 可以進入到每一件事情
[12:28] 可以給予他一個定義
[12:30] 去做你內在的翻轉
[12:32] 這件事情他們也不強
[12:34] 所以你說要學什麼
[12:35] 我這邊覺得反正
[12:36] 就整套了
[12:37] 這個是這個
[12:38] 是很系統
[12:39] 系統你的東西
[12:40] 你不把這塊打通
[12:41] 就是你會那麼多的樹
[12:43] 你沒把
[12:44] 你沒把到
[12:46] 通的時候
[12:47] 樹再多是沒有用的
[12:49] 他就變成一個殺人武器
[12:52] 你知道上面
[12:53] 我有一個朋友
[12:54] 講了一句話
[12:55] 真的是超經典
[12:56] 他發了一篇文
[12:57] 他說
[12:58] 他經過30年過後
[13:00] 20年過後
[13:01] 花了那麼多錢
[13:02] 他建議他去找心理之商吃
[13:05] 因為很多生心老師
[13:06] 在你最脆弱的時候
[13:07] 他會在猛勢你好幾刀的
[13:10] 給你更多的三分
[13:13] 因為他們不知道自己講話是給人
[13:15] 就是動手術的時候
[13:17] 又多抽籃
[13:18] 人家的那一張的感覺
[13:19] 就是我講這些
[13:21] 先信老師
[13:22] 我看起來的角度就是這樣
[13:24] 我說實在
[13:25] 我們整套
[13:26] 我們到單獨來上整套的謙虛
[13:30] 就是
[13:32] 天手訓練師
[13:34] 天訓的時候
[13:36] 天手訓練師
[13:37] 就是跟大被
[13:38] 這個關係
[13:39] 印象上
[13:40] 天手訓練師一樣的意思
[13:42] 這個是訓練師
[13:44] 他動手三個接段
[13:46] 他走三個接段
[13:47] 右接段就是
[13:48] 把你打碎
[13:49] 打碎
[13:50] 打碎
[13:51] 用七天的時間把你打碎
[13:53] 很滿靠
[13:54] 爸爸
[13:55] 爸爸你同年
[13:57] 爸爸
[13:58] 你的最不對
[14:00] 不被你們剪的部分
[14:02] 內在的小孩
[14:04] 把那些東西都先把你打碎
[14:07] 通常你七天
[14:09] 結束完回來之後
[14:10] 你要回人間休
[14:12] 去休息
[14:15] 第一節段
[14:16] 七天回來之後
[14:18] 幾乎有很多人
[14:20] 要我們那一件
[14:22] 幾乎很多人都生病
[14:24] 而且是生重病
[14:26] 我要就生重病
[14:28] 內在的
[14:29] 有釋放
[14:30] 要不要回來
[14:31] 就是非常倒霉
[14:33] 我們以前參加覺醒的
[14:35] 覺醒後都是這樣
[14:37] 參加覺醒後也是一樣
[14:39] 他也是七天
[14:40] 回來就沒個好病
[14:42] 都這樣
[14:43] 然後第二節段
[14:45] 就是重整
[14:47] 把你破碎的東西
[14:48] 幫你重整
[14:50] 拿第四節
[14:52] 第三節重整
[14:53] 然後再回來
[14:54] 再休息
[14:55] 然後再回去的時候
[14:56] 那就生病
[14:57] 你生病的生病
[15:02] 然後管著21天
[15:03] 就是21天的學史
[15:05] 之後你想做訓練時
[15:07] 再往
[15:08] 再繼續走
[15:09] 走3天
[15:10] 2天
[15:11] 3天
[15:12] 一年打學會
[15:14] 打學會
[15:15] 一年打學會
[15:16] 那一年在上
[15:17] 不是說你學
[15:18] 那就融入
[15:19] 很多人都去附訓了
[15:22] 兩次
[15:23] 三次
[15:25] 同樣的課程
[15:26] 就不需要兩次
[15:27] 因為
[15:28] 人回到人間
[15:30] 就會要我鬼怪在一起
[15:32] 你去到那個空間
[15:34] 就會跟神心在一起
[15:39] 但是有沒有用
[15:41] 因為他是完整的
[15:42] 理解下來
[15:43] 幫你編
[15:44] 編特幫你幫
[15:45] 幫他那個
[15:46] 那個
[15:47] 清理吧
[15:48] 清理
[15:49] 但是要不要隨時清
[15:50] 隨時要清理
[15:51] 尤其是我們這些同小
[15:52] 就可能被打壓的
[15:53] 那一段不夠堅強的
[15:55] 不可以得感重的
[15:57] 然後
[15:58] 團團遇到事情
[15:59] 他又破很多編點
[16:00] 因為
[16:01] 因為你要改變
[16:02] 人這個部分是
[16:04] 很艱難的
[16:07] 我理解
[16:08] 我理解這個艱難
[16:10] 所以
[16:12] 所以
[16:13] 等於說
[16:14] 例子行善
[16:15] 有的我心出來
[16:16] 又不等我
[16:17] 因為每個人的
[16:18] 每個人的這個
[16:19] 整合是不一樣
[16:20] 每個人內在
[16:21] 跟著是不一樣
[16:27] 這個我理解的
[16:29] 那就是你講
[16:31] 這個這個部分
[16:32] 我覺得你
[16:33] 你
[16:34] 你最大
[16:35] 你先要
[16:36] 先要成立的部分
[16:38] 就是
[16:39] 先把
[16:41] 硬體尖搞出來
[16:45] 對啊
[16:46] 前1到3個月
[16:47] 先搞半公室
[16:49] 然後增注力
[16:51] 然後增
[16:52] 就是增
[16:53] 所有行政
[16:54] 要先到位嘛
[16:55] 就是裝慌
[16:56] 各方面要先到
[16:57] 我這才是第一步嘛
[16:58] 然後
[16:59] 1到3個月
[17:01] 每一季都有寄目標嘛
[17:02] 對啊
[17:03] 當然你講的沒有錯
[17:04] 可能你有別的想法
[17:05] 我自己設計的是
[17:07] 就是寄目標
[17:08] 就是先
[17:09] 前面3個月
[17:10] 就是把硬體先搞出來
[17:12] 然後才是
[17:14] 增人嘛
[17:15] 大量的增人
[17:16] 例如說我們就
[17:17] 超大量還選
[17:18] 就還選出40個
[17:19] 我跟你講
[17:20] 是44個是基本啊
[17:22] 40到
[17:23] 40到
[17:24] 40到個
[17:25] 助理嗎
[17:26] 行政嗎
[17:27] 不是不是
[17:28] 我說老師啊
[17:29] 行政
[17:30] 助理一個就好了
[17:31] 特助一個
[17:32] 對對
[17:33] 特助一個就好了
[17:34] 就是然後把
[17:35] 整個
[17:37] 整個辦公室先弄起來
[17:39] 你可能出起來要增個什麼人
[17:41] 然後
[17:42] 然後
[17:43] 3個月後的
[17:44] 辦公室像個樣子之後
[17:45] 就大量增老師
[17:47] 然後大量增老師
[17:48] 可能還選
[17:49] 有點像那個
[17:50] 那個寫演員有沒有
[17:51] 還選了
[17:52] 還選中止老師
[17:55] 然後可能就還選出
[17:57] 我是想跟老師
[17:58] 講一個還選的方式
[18:01] 包括你是過去看過的
[18:02] 你就全部從海
[18:03] 因為你要
[18:05] 量體
[18:06] 因為量體夠大
[18:07] 這個是很簡單
[18:08] 就對我而言
[18:09] 我只要準備大量的
[18:10] 還選
[18:11] 那
[18:12] 人們看到
[18:13] 有些人
[18:14] 為什麼
[18:15] 他會
[18:16] 有一些驕傲
[18:18] 因為他覺得這群人
[18:19] 中過得厲害
[18:20] 可是你看到還選小時候
[18:21] 只要只要
[18:22] 3百個人
[18:23] 人就會知道自己
[18:25] 不要那麼囂張
[18:26] 因為我看到幾個
[18:27] 太囂張了
[18:28] 對
[18:29] 所以就是
[18:31] 就很自奧啊
[18:32] 我就覺得你們
[18:33] 這麼多
[18:34] 還要自奧什麼
[18:35] 你可能
[18:36] 來得一去
[18:37] 透明特意工人團
[18:38] 就會覺得
[18:39] 你真的不怎麼樣
[18:40] 這樣子
[18:41] 因為我們看多了
[18:42] 就會覺得你們
[18:43] 都在教老師
[18:44] 我自己就是看的
[18:46] 就是
[18:47] 你們看我們就是個
[18:49] 我看這群人
[18:50] 就是一群
[18:51] 三系靈界的屁孩
[18:52] 你知道嗎
[18:53] 除了三年
[18:54] 出來三年
[18:55] 後來就把自己
[18:57] 講得多教好這樣
[18:58] 我看起來
[18:59] 就三五年混
[19:00] 然後就覺得多厲害
[19:01] 就是你可能
[19:02] 就覺得
[19:03] 男人意識看多了
[19:04] 覺得你們很可笑
[19:05] 就是覺得
[19:06] 就不知道什麼叫做
[19:08] 就還選
[19:09] 三百個
[19:10] 來還選
[19:11] 會五百個
[19:12] 反正前面前三個
[19:13] 因為我都在鋪層做
[19:14] 就是半個三個
[19:15] 前前
[19:16] 就把半個是出一號
[19:17] 打電號之後
[19:18] 就大量還選
[19:19] 真人
[19:20] 對
[19:22] 還選完之後
[19:23] 因為是給我們
[19:24] 是給錢的嘛
[19:25] 一一對人來選啊
[19:26] 就從這邊挑
[19:27] 然後你跟子雲
[19:28] 我的安排
[19:29] 是你跟子雲
[19:30] 是絕對是面試
[19:32] 絕對面試管這樣子
[19:33] 然後梗針陳老師
[19:35] 其他的文幕前還沒想到
[19:37] 但我都覺得
[19:39] 可能在看
[19:40] 看在手
[19:42] 然後
[19:43] 然後這是
[19:44] 疫情人來還選嘛
[19:45] 然後還選完之後
[19:47] 再選人送訊
[19:49] 所以我就知道
[19:50] 這邊就很多費用了
[19:51] 一次假設一次賠訊
[19:53] 我就
[19:54] 因為你一次的課程
[19:55] 就是一次的費用嘛
[19:57] 對嘛
[19:59] 我一次就一次
[20:00] 割到位
[20:01] 一次送進去
[20:02] 這個來源根據是因為
[20:04] 阿密陀佛曾經跟陳
[20:07] 對
[20:08] 其實還選完
[20:10] 之後我再賠訊的過程裡面
[20:12] 還是要塞掉了
[20:13] 就選個100個出來
[20:15] 再把他塞掉
[20:16] 對
[20:17] 沒錯
[20:18] 一定是選多
[20:19] 之後用嚴格的方式考慮
[20:21] 他們就會害怕
[20:22] 對
[20:23] 我覺得有需要嗎
[20:24] 應該說
[20:25] 有達成這個標畢物
[20:26] 有這個資格的人
[20:28] 就留下來
[20:29] 我給你上課
[20:31] 不上課我要檢驗的
[20:32] 檢驗你們的
[20:34] 出來的結果是什麼
[20:35] 你們都夠提醒
[20:36] 才夠我給你個個案
[20:37] 你能做到什麼程度
[20:39] 你口才也是很重要的
[20:41] 好不好
[20:42] 我覺得
[20:44] 對
[20:45] 然後我甚至覺得
[20:46] 要有所謂的標準教材
[20:47] 例如說
[20:48] 你要解釋什麼
[20:49] 是神興靈
[20:50] 就給我備好
[20:51] 備滿
[20:52] 而且備到你這個
[20:53] 這一間內容
[20:54] 是給我法律要通過的
[20:55] 這個才是
[20:57] 保障我們的安全
[20:58] 至少我拿那部教育資料
[21:00] 你不會
[21:01] 台灣不會罵你
[21:02] 因為台灣的法官
[21:03] 很急車講
[21:04] 神興靈都
[21:05] 隨便講都會出事
[21:07] 我覺得你是
[21:08] 觀力量很深
[21:09] 就是你要講的科學
[21:10] 你既然講
[21:11] 你的Q&A都要
[21:12] 請我備到一支不
[21:14] 至少
[21:15] 那為什麼
[21:16] 我都覺得好奇
[21:17] 那這些
[21:18] 妙雲的當地
[21:19] 每一年的
[21:20] 那個什麼
[21:21] 媽祖
[21:22] 群友啊
[21:23] 這些當地
[21:24] 你說這些人
[21:25] 他沒有好東西
[21:26] 他們
[21:27] 他們
[21:28] 他們是合法的嗎
[21:29] 問事是
[21:30] 問事是在民俗間
[21:31] 是社合法的
[21:32] 民俗間啊
[21:33] 可以的
[21:34] 可以的
[21:35] 這是可以的
[21:36] 但是有些人
[21:37] 講的過
[21:38] 選或過
[21:39] over
[21:40] 我們就變公廟了
[21:41] 那我們就被套以公
[21:43] 應該是說
[21:44] 我們一定要有
[21:45] 一個安全的說法
[21:47] 例如說你問我們
[21:48] 什麼是什麼
[21:49] 然後那個都
[21:50] 不能講得太over
[21:51] 就是
[21:53] 例如說這個
[21:54] 這個這樣
[21:55] 好這種話
[21:56] 能講嗎
[21:57] 就是
[21:58] 這個
[21:59] 你有關
[22:01] 聊一下
[22:02] 這個就
[22:03] 不是我覺得不能
[22:04] 就是你要
[22:05] 很客觀的
[22:06] 去講說
[22:07] 我們可以出也是靈魂
[22:08] 但是如果
[22:09] 你這個地方
[22:10] 還是我們
[22:11] 真說在那邊
[22:12] 你可以去看專業的儀式
[22:13] 我們出現的靈魂
[22:14] 但是有
[22:15] 助於你的身體
[22:16] 健康促進
[22:17] 因為健康促進
[22:18] 是安全合法
[22:19] 促進
[22:20] 安全
[22:21] 有時候才會在
[22:22] 把
[22:23] 所以你去找那個
[22:24] 因為我是
[22:25] 負責靈魂
[22:27] 溝通的老師
[22:28] 但是我不是
[22:29] 負責身體的
[22:30] 你就要做
[22:31] 轉界了
[22:32] 這就是安全
[22:33] 而且絕對
[22:34] 安全的做法
[22:35] 超安全
[22:36] 基督安全
[22:37] 台灣講心理事
[22:38] 還有心理事法
[22:39] 如果講心理治療
[22:40] 你也是要觸發的
[22:41] 所以你就是
[22:42] 講到心理治療
[22:43] 你去找原生家庭的部分
[22:45] 我可以跟你講
[22:46] 你前次的關係
[22:47] 但是
[22:48] 如果你要找到原生家庭
[22:49] 心理治療
[22:50] 治療
[22:51] 你的教育症
[22:52] 這五個知識處法
[22:53] 你要去找心理事
[22:55] 我舉例子
[22:56] 就用這麼簡單的
[22:57] 說法
[22:58] 一定要安全
[22:59] 不然我這邊被告
[23:01] 我就吃完的
[23:02] 法單了
[23:03] 每個錄音完
[23:04] 那就告我
[23:05] 這樣
[23:06] 一下就回
[23:08] 一下
[23:09] 我想再給
[23:11] 真的事
[23:12] 我想再
[23:13] 真的是
[23:14] 太爆炸了
[23:15] 太爆炸了
[23:16] 什麼東西
[23:18] 陳老師那個說法
[23:20] 在這邊講
[23:21] 我已經在玩了
[23:22] 陳老師是
[23:23] 因為他人家是
[23:24] 在領悅有位置的
[23:25] 一般人
[23:26] 講說
[23:27] 這個全部都會好
[23:28] 我的媽呀
[23:29] 這個
[23:30] 這不能拿
[23:31] 我那天跟一個朋友
[23:33] 吃飯
[23:34] 然後他也是在
[23:35] 我內
[23:36] 也是做這款生心理
[23:37] 就說
[23:38] 現在做很多的
[23:39] 殺龍象
[23:40] 就是做療癒龍講講
[23:42] 這個療癒
[23:43] 他們現在
[23:45] 療癒進進入到
[23:46] 身體裡面的
[23:47] 心肝裡面
[23:48] 腎
[23:49] 然後脫過
[23:50] 就是你出身
[23:51] 你人家
[23:52] 人家
[23:53] 太有一套
[23:54] 系統
[23:55] 就沒法
[23:56] 人家
[23:57] 親比較強
[23:58] 什麼
[23:59] 肝比較強
[24:00] 什麼
[24:01] 肝比較強
[24:02] 什麼
[24:03] 肝比較強
[24:05] 什麼
[24:06] 肝沒有
[24:07] 然後對應
[24:08] 就是你的
[24:09] 內在的勇氣
[24:10] 哪塊勇氣
[24:11] 哪塊勇氣
[24:12] 哪塊勇氣
[24:13] 你有沒有什麼
[24:14] 什麼
[24:15] 什麼
[24:16] 肝
[24:17] 他就把它
[24:18] 吸縫化
[24:19] 然後
[24:21] 然後
[24:22] 現在
[24:23] 現在
[24:24] 現在
[24:26] 現在
[24:27] 現在
[24:28] 現在
[24:29] 現在
[24:30] 現在
[24:31] 現在
[24:32] 現在
[24:33] 現在
[24:34] 現在
[24:35] 現在
[24:36] 現在
[24:37] 現在
[24:38] 現在
[24:39] 現在
[24:40] 現在
[24:41] 現在
[24:42] 現在
[24:43] 現在
[24:44] 現在
[24:45] 現在
[24:46] 現在
[24:47] 現在
[24:48] 現在
[24:49] 現在
[24:50] 現在
[24:51] 現在
[24:52] 現在
[24:53] 現在
[24:54] 現在
[24:55] 現在
[24:56] 現在
[24:57] 現在
[24:58] 現在
[24:59] 現在
[25:00] 現在
[25:01] 現在
[25:02] 現在
[25:03] 現在
[25:04] 現在
[25:05] 現在
[25:06] 現在
[25:07] 現在
[25:08] 現在
